"id","name","nickname","dob","age","height","weight","reach","stance","winstreak","wins","losses","draws","belt","SLpM","Str_Acc","SApM","Str_Def","TD_Avg","TD_Acc","TD_Def","Sub_Avg"
1,"Tom Aaron","","Jul 13, 1978",46,"",155,0.0,"",0,5,3,0,0,0.0,0,0.0,0,0.0,0,0,0.0
2,"Danny Abbadi","The Assassin","Jul 03, 1983",42,"5' 11""",155,0.0,"Orthodox",0,4,6,0,0,3.29,38,4.41,57,0.0,0,77,0.0
3,"Nariman Abbasov","Bayraktar","Feb 01, 1994",31,"5' 8""",155,66.0,"Orthodox",0,28,4,0,0,3.0,20,5.67,46,0.0,0,66,0.0
4,"David Abbott","Tank","Apr 26, 1965",60,"6' 0""",265,0.0,"Switch",0,10,15,0,0,1.35,30,3.55,38,1.07,33,66,0.0
5,"Hamdy Abdelwahab","The Hammer","Jan 22, 1993",32,"6' 2""",264,72.0,"Southpaw",0,6,1,0,0,3.49,49,4.49,51,1.33,66,100,0.0
6,"Mansur Abdul-Malik","","Oct 07, 1997",27,"6' 2""",185,80.0,"Orthodox",4,9,0,0,0,4.27,48,3.49,51,0.49,33,82,0.0
7,"Shamil Abdurakhimov","Abrek","Sep 02, 1981",43,"6' 3""",235,76.0,"Orthodox",0,20,8,0,0,2.41,44,3.02,55,1.01,23,45,0.1
8,"Hiroyuki Abe","Abe Ani","",0,"5' 6""",145,0.0,"Orthodox",0,8,15,3,0,1.71,36,3.11,63,0.0,0,33,0.0
9,"Daichi Abe","","Nov 27, 1991",33,"5' 11""",170,71.0,"Orthodox",0,6,2,0,0,3.8,33,4.49,56,0.33,50,0,0.0
10,"Papy Abedi","Makambo","Jun 30, 1978",47,"5' 11""",185,0.0,"Southpaw",0,10,4,0,0,2.8,55,3.15,48,3.47,57,50,1.3
11,"Ricardo Abreu","Demente","Apr 27, 1984",41,"5' 11""",185,0.0,"Orthodox",0,5,1,0,0,3.79,31,3.98,68,2.13,42,100,0.7
12,"Klidson Abreu","White Bear","Dec 24, 1992",32,"6' 0""",205,74.0,"Orthodox",0,15,4,0,0,2.05,40,2.9,55,0.64,20,80,0.0
13,"Cyborg Abreu","","Dec 20, 1980",44,"",0,0.0,"",0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0
14,"Daniel Acacio","","Dec 27, 1977",47,"5' 8""",180,0.0,"Orthodox",0,30,18,0,0,3.52,36,2.85,62,0.33,20,81,0.0
15,"John Adajar","The Outlaw","Jun 22, 1991",34,"5' 9""",170,75.0,"Orthodox",0,6,2,0,0,3.9,52,6.28,44,0.0,0,0,0.0
16,"Scott Adams","","",0,"6' 0""",225,0.0,"Southpaw",1,8,1,0,0,0.0,0,0.0,0,0.0,0,0,0.0
17,"Juan Adams","The Kraken","Jan 16, 1992",33,"6' 5""",265,80.0,"Orthodox",0,5,3,0,0,7.09,55,4.06,34,0.91,66,57,0.0
18,"Anthony Adams","Sugafoot","Jan 13, 1988",37,"6' 1""",185,76.0,"Orthodox",0,8,2,0,0,3.17,41,5.93,44,0.0,0,0,0.0
19,"Zarrukh Adashev","The Lion","Jul 29, 1992",32,"5' 5""",125,65.0,"Southpaw",0,4,4,0,0,3.65,40,3.04,64,0.0,0,100,0.5
20,"Israel Adesanya","The Last Stylebender","Jul 22, 1989",35,"6' 4""",185,80.0,"Switch",0,24,5,0,0,4.02,48,3.2,55,0.05,11,76,0.1
21,"Sam Adkins","The Experience","Apr 26, 1965",60,"6' 3""",225,0.0,"Orthodox",0,7,20,2,0,0.0,0,0.0,0,0.0,0,0,0.0
