title,text,publish_date,url
"UFC Fight Night prediction -- Derrick Lewis vs. Tallison Teixeira: Card, odds, start time, where to watch","UFC Fight Night prediction -- Derrick Lewis vs. Tallison Teixeira: Card, odds, start time, where to watch One of the heavyweight division's most enduring veterans fights an intriguing new addition Derrick Lewis will cash a check against anyone. Tallison Teixeira seeks to expedite his rise by beating a heavyweight stalwart. Their clashing philosophies meet at UFC Fight Night in Nashville on Saturday. Lewis (28-12, 1 NC) has carved his niche in mixed martial arts. ""The Black Beast"" is the record holder for most UFC knockouts and has fought twice for UFC gold. Most fighters are obsessed with being a champion, but Lewis' outlook is refreshingly grounded. Lewis, 40, does not care who stands across from him so long as he's getting paid. MMA is prize fighting after all. ""It's always been the number one thing, even when I started,"" Lewis told CBS Sports. ""I was fighting every other month before I was in the UFC. That's how I'd pay my rent. My rent was $525 a month. I'd fight every other month, $500 to show and $500 to win. That's how we'd make ends meet. ""I never care who's next. So long as I get to fight, it's all I care about."" Check out the full interview with Derrick Lewis below. Teixeira (8-0) is the latest rookie testing himself against the KO artist. Teixeira enters UFC Fight Night as the betting favorite despite having five times less experience than Lewis. What little we've seen from the towering heavyweight, whose reach exceeds Alexander Volkov's, is impressive. Teixeira has racked up eight consecutive first-round KOs, recently stopping Justin Tafa in 35 seconds. He's already ranked No. 13 in the shallow heavyweight division. Beating 11-year veteran Lewis likely ranks him in the top 10 after only two Octagon appearances. ""Training for Derrick was different than ever before. It was very intense,"" Teixeira told CBS Sports through a Portuguese interpreter. ""He's a tough opponent. When heavyweights connect with four-ounce gloves, you go out. He's very dangerous. ""Look at how tall and strong I am. I think I can be a bigger problem for him than everyone has ever been."" Saturday's main event won't jump off the page but should produce a great KO. Fortunately, it's supported by intriguing main card fights. Stephen ""Wonderboy"" Thompson fends off Gabriel Bonfim. Steve Garcia and Calvin Kattar promises great MMA boxing. Beloved brawler Nate Landwehr is also on the card. Below is the rest of the fight card for Saturday with the latest odds before we predict the main event. UFC Fight Night card, odds | Favorite | Underdog | Weight class | |---|---|---| | Tallison Teixeira -280 | Derrick Lewis +210 | Heavyweight | | Gabriel Bonfim -410 | Stephen Thompson +320 | Welterweight | | Steve Garcia -125 | Calvin Kattar +105 | Featherweight | | Morgan Charriere -270 | Nate Landwehr +220 | Featherweight | | Vitor Petrino -750 | Austen Lane +525 | Heavyweight | | Junior Tafa - 162 | Tuco Tokkos +136 | Light heavyweight | UFC Fight Night viewing information Date: July 12 | Start time: 9 p.m. ET (main card) Location: Bridgestone Arena -- Nashville TV channel: ESPN | Stream: fubo (try for free) Prediction Derrick Lewis vs. Tallison Teixeira: The evolution of Teixeira's footwork is paramount to how this fight looks. Teixeira's reach and power will cause issues if Lewis can't close the distance. Just look at Lewis' fight with Volkov. Teixeira's finishing ability means Lewis must enter range carefully. If ""The Black Beast"" gets in close, he'll have ample room to fire big shots through his opponent's guard. It's tough assessing a young fighter who has never gone past the first round. How will fatigue affect Teixeira late? Will his power carry late? Are his skills refined enough to execute backup plans? With so many questions about an unproven commodity, I'm inclined to side with Lewis. Make no mistake, though, Teixeira is capable of an early finish. Lewis via KO3",2025-07-11,https://www.cbssports.com/mma/news/ufc-fight-night-prediction-derrick-lewis-vs-tallison-teixeira-card-odds-start-time-where-to-watch/
UFC Nashville live results: Derrick Lewis faces Tallison Teixeira - FIGHTMAG,"UFC Nashville features Derrick Lewis vs Tallison Teixeira, live from Bridgestone Arena in Nashville, TN on Saturday, July 12. The pair square off in a five-round main event bout at heavyweight. Former title challenger Lewis (28-12, 1 NC) of New Orleans, LA stopped Rodrigo Nascimento in the third round last May. Unbeaten Teixeira (8-0) of Brazil defeated Justin Tafa via a 35-second TKO in February. The co-main event is a welterweight bout between Stephen Thompson and Gabriel Bonfim. Thompson (17-8-1) of Simpsonville, SC lost two fights in a row against Joaquin Buckley and Shavkat Rakhmonov. Bonfim (17-1) of Brazil submitted Kalinn Williams in the second round in February, earning his second straight victory. Also on the card two featherweight bouts as Calvin Kattar (23-9) of Methuen, MA meets Steve Garcia (17-5) of Albuquerque, NM, and Nate Landwehr (18-6) of Clarksville, TN takes on France’s Morgan Charriere (20-11-1). Plus, Vitor Petrino (11-2) of Brazil and Austen Lane (13-6, 1 NC) of Evanston, IL clash at heavyweight. UFC Nashville live blog UFC Nashville: How to watch & start time UFC Nashville airs live on ESPN+. The start time is 9:00 PM ET / 6:00 PM PT for the main card, with the prelims starting at 6:00 PM ET / 3:00 PM PT. UFC Nashville results Get UFC Fight Night: Lewis vs Teixeira full fight card and stay tuned for live results below. Main Card (9:00 PM ET / 6:00 PM PT) - Derrick Lewis vs. Tallison Teixeira - Stephen Thompson vs. Gabriel Bonfim - Calvin Kattar vs. Steve Garcia - Nate Landwehr vs. Morgan Charriere - Vitor Petrino vs. Austen Lane - Junior Tafa vs. Tuco Tokkos Prelims (6:00 PM ET / 3:00 PM PT) - Max Griffin vs. Chris Curtis - Jake Matthews vs. Chidi Njokuani - Lauren Murphy vs. Eduarda Moura - Kennedy Nzechukwu vs. Valter Walker - Mitch Ramirez vs. Mike Davis - Fatima Kline vs. Melissa Martinez",2025-07-12,https://www.fightmag.com/ufc-nashville-lewis-vs-teixeira-results/
"Derrick Lewis vs. Tallison Teixeira prediction, pick: Who gets KO'd at UFC Nashville?","Derrick Lewis vs. Tallison Teixeira prediction, pick: Who gets KO'd at UFC Nashville? Heavyweights headline UFC's return to 'Music City' MMA Junkie analyst Dan Tom goes in-depth to break down the biggest fights in the UFC. Today, he takes a closer look at the UFC on ESPN 70 main event between Derrick Lewis and Tallison Teixeira. Derrick Lewis UFC on ESPN 70 preview Staple info: - Record: 28-12 MMA, 19-10 UFC - Height: 6'3"" Age: 40 Weight: 261 lbs. Reach: 79"" - Last fight: TKO win over Rodrigo Nascimento (May 11, 2024) - Camp: Main Street Boxing and Muay Thai (Texas) - Stance/striking style: Orthodox/kickboxing - Risk management: Fair Supplemental info: - + Legacy FC heavyweight title - + Regional MMA accolades - + 23 KO victories - + 1 submission win - + 9 first-round finishes - + KO power - + Dangerous overhands and uppercuts - + Underrated kicks and knees - + Strong inside the clinch - ^ Strikes well off the breaks - + Shows improved wrestling - + Deceptive scrambling/getup ability - + Devastating ground striker Tallison Teixeira UFC on ESPN 70 preview Staple info: - Record: 8-0 MMA, 1-0 UFC - Height: 6'7"" Age: 25 Weight: 259 lbs. Reach: 83"" - Last fight: TKO win over Justin Tafa (Feb. 8, 2025) - Camp: Team Lucas Mineiro (Brazil) - Stance/striking style: Orthodox/kickboxing - Risk management: Fair Supplemental info: - + Brazilian jiu-jitsu black belt - + Multiple grappling accolades - + Muay Thai red kruang - + 7 KO victories - + 1 submission win - + 8 first-round finishes - + KO power - + Dangerous right hand - + Dynamic kicks - ^ Variates looks and levels - + Servicable takedown game - ^ Favors doubles along the fence - + Competent submission skills Derrick Lewis vs. Tallison Teixeira point of interest: Heavyweight hands The main event in Nashville features a heavyweight showdown between Derrick Lewis and Tallison Teixeira. Stepping onto the scene as an unabashed brawler, Lewis has shown some signs of improvement underneath the scary destructions that often take place in his fights. An athletic mover for his size, Lewis can throw accurate knees and head kicks with little signs of struggle. A downright scary distance closer when he chooses to be, Lewis can force his opponents into the fence whether or not he lands on them, almost in a juggernaut-like fashion. With a frame that is hard to control in close, the 40-year-old slugger does his best work when striking off the breaks, maintaining a dangerous potency in small spaces that go deep into the fight. Lewis also has an appetite for the counter, showing that he’s not beyond setting traps and playing possum in order to draw his opponents into his uncanny power. That said, Lewis will still need to respect what is coming his way this Saturday. Enter Teixiera. Although Teixiera is clearly lacking in the experience department, I can see why many are high on the prospects of this young heavyweight. Despite Teixeira's insane height, he actually moves quite well for a big man and is not afraid to utilize tools like a long jab. The Brazilian also packs wicked power in his rear hand, but kicks, particularly to the body, may serve Teixeira well in this spot. Teixeira may not go to the body as much as I'd like, but he has shown some decent change-ups from front teeps to Thai kicks that help exentuate his length. Teixeira will blitz forward in combination when he's feeling in stride, but he'll need to be careful about crowding his work into the clinch – an area where Lewis can stage comebacks. Derrick Lewis vs. Tallison Teixeira breakdown: Potential grappling threats Considering the high potential for chaos on the feet, no one should be shocked if this party hits the floor. Despite Lewis showing improved offensive wrestling and a surprising ability to hit inside trips in recent years, Teixeira is the more dangerous grappler on paper. Although we've seen very little of Teixeira's ground game, the 25-year-old owns a Brazilian jiu-jitsu black belt and has apparently been grappling since childhood. Teixeira only has one submission win on his resume, but between that win being an inverted triangle-armbar to his history training with Antonio Rodrigo Nogueira, I suspect that the lengthy heavyweight has solid dexterity to boot. When it comes to wrestling, Teixeira has shown a servicable double leg he can go to when his opponents find their back against the fence. That said, effectively taking down and grounding someone like Lewis is easier said than done. Traditionally dealing with fighters who are trying to grapple him, Lewis wields deceptively effective counter-grappling tactics. Whether he’s hoisting his opponent up with a whizzer or shucking someone off with an underhook, Lewis has been hard to take down along the fence, as single legs or outside trips in open space seem to be what gets him grounded most. Even when successfully taken down, Lewis still offers a lot of sneaky static in regard to stymying submission attempts and strikes. Like a sand shark lying in wait, Lewis plays a conservative game when put on his back, keeping his arms in tight for safety while waiting for the right moment to explode (usually timing his opposition when they’re in transition). Once allowed the smallest of space for momentum, Lewis will force his way to his base, turtling to a tripod position to stand. As someone who is a fan of this style of get-up, I can tell you that it can be a nightmare to encounter when executed properly. For example, Lewis – while keeping his base firmly beneath him – will maintain an angle on his back that resembles a steep ski slope. Although this tripod position invites back-takes to the naked eye, the downward slope Lewis keeps serves as a trap, making eager back takers ultimately slide forward and lose position (all while allowing the Texas native to stand back up). And if Lewis is able to end up on top via swimming for underhooks and shucking, then we could see a drastic shift in this matchup’s momentum given the hellfire of ground-and-pound he provides. Derrick Lewis vs. Tallison Teixeira odds The oddsmakers and the public are favoring the undefeated fighter, listing Teixeira -245 and Lewis +186 via FanDuel. Derrick Lewis vs. Tallison Teixeira prediction, pick Considering how high the MMA gambling world gets over youthful, undefeated products, I can't say that I'm surprised to see Teixeira installed as the betting favorite despite being relatively unproven. Should Teixeira come out and light Lewis up with some body kicks, then no one should be shocked if the Brazilian can find a finish soon after. That said, Lewis has had a penchant for both countering and coming back from effective body kicks – particularly against taller opponents. In fact, whenever facing fighters of a similar height to Teixeira, Lewis has traditionally done fairly well (going 3-0 in the UFC opposite the likes of Travis Browne, Alexander Volkov and Jack May). And if Teixeira decides to revert to his base of grappling, then he could find himself in a frying pan-to-frier situation. Despite logic saying that Lewis should be beatable on the ground, only a select few fighters (Daniel Cormier, Serghei Spivac and Jailton Almeida) have been able to truly out-grapple the American, as anyone who tries to grapple Lewis has traditionally done poorly. Should Teixeira fall into this classic trap, then he'll need to be careful not to end up underneath Lewis, which is almost a death sentence given his lethal ground striking. I ultimately suspect that it's a strike off the break that sparks things off for Lewis, likely after having to survive some scares first. The pick is Lewis by knockout in Round 2. Prediction: Lewis inside the distance Derrick Lewis vs. Tallison Teixeira start time, how to watch As the main event, Lewis and Teixeira are expected to make their walks to the octagon at approximately 11:45 p.m. ET. The fight airs on ESPN and streams on ESPN+.",2025-07-11,https://mmajunkie.usatoday.com/story/sports/ufc/2025/07/11/derrick-lewis-vs-tallison-teixeira-ufc-nashville-prediction-expert-pick/84597650007/
"Derrick Lewis vs. Tallison Teixeira, UFC Fight Night | MMA Bout | Tapology","Fighter Comparison | Lewis | Teixeira | ||| | #11 HeavyW (Worldwide) | Ranking | #25 HeavyW (Worldwide) | || | 28-12-0 MMA | Pro Record | 8-0-0 MMA | || | 2024 2022 | Last 5 Fights | 2025 2023 | || | +200 (Moderate Underdog) | Betting Odds | -260 (Moderate Favorite) | || | | Nation | | || | Houston Texas | Fights out of | Sao Jose de Rio Preto Sao Paulo | || | 40 +5 mos, 5 days | Age at Fight | 25 +7 mos, 5 days | || | 261.0 lbs (118.4 kgs) | Weigh-In Result | 259.0 lbs (117.5 kgs) | || | 6'3"" (191cm) | Height | 6'7"" (201cm) | || | 79.0"" (201cm) | Reach | 83.0"" (211cm) | || | Silverback Fight Club | Gym | Team Lucas Mineiro | Lewis vs. Teixeira Fight Predictions Fight Predictions Tapology Community Picks: 3,914 Bout Information Event Poster Fight Details - Event: UFC Fight Night: Lewis vs. Teixeira - Date: Saturday 07.12.2025 at 06:00 PM ET - Referee: N/A - Venue: Bridgestone Arena - Enclosure: Octagon - Location: Nashville, Tennessee, United States - Bout Billing: Main Event (fight 12 of 12) - Pro/Am: Professional - Weight: 265 lbs (120.2 kg) - Event Links: - Bout Links:",2025-04-03,https://www.tapology.com/fightcenter/bouts/982651-ufc-fight-night-derrick-the-black-beast-lewis-vs-tallison-xicao-teixeira
UFC Fight Night | UFC,"UFC Fight Night Lewis vs Teixeira Sat, Jul 12 / 9:00 PM EDT Bridgestone Arena, Nashville United States UFC Fight Night Sat, Jul 12 / 9:00 PM EDT . How to watch Bridgestone Arena, Nashville United States Sponsored By Main Card - #9Heavyweight Bout#13Derrick LewisHeavyweight BoutTallison TeixeiraUnited States+210 odds -280BrazilRoundTimeMethod - #12Welterweight BoutStephen ThompsonWelterweight BoutGabriel BonfimUnited States+320 odds -410BrazilRoundTimeMethod - #14Featherweight BoutCalvin KattarFeatherweight BoutSteve GarciaUnited States+105 odds -125United StatesRoundTimeMethod - Featherweight BoutNate LandwehrFeatherweight BoutMorgan CharriereUnited States+220 odds -270FranceRoundTimeMethod - Heavyweight BoutVitor PetrinoHeavyweight BoutAusten LaneBrazil-750 odds +525United StatesRoundTimeMethod - Light Heavyweight BoutJunior TafaLight Heavyweight BoutTuco TokkosAustralia-162 odds +136EnglandRoundTimeMethod Prelims - Welterweight BoutMax GriffinWelterweight BoutChris CurtisUnited States+260 odds -325United StatesRoundTimeMethod - Welterweight BoutJake MatthewsWelterweight BoutChidi NjokuaniAustralia+124 odds -148United StatesRoundTimeMethod - Women's Flyweight BoutLauren MurphyWomen's Flyweight BoutEduarda MouraUnited States+455 odds -625BrazilRoundTimeMethod - Heavyweight BoutKennedy NzechukwuHeavyweight BoutValter WalkerNigeria-205 odds +170BrazilRoundTimeMethod - Lightweight BoutMitch RamirezLightweight BoutMike DavisUnited States+650 odds -1000United StatesRoundTimeMethod - Women's Strawweight BoutFatima KlineWomen's Strawweight BoutMelissa MartinezUnited States-1200 odds +750MexicoRoundTimeMethod Early Prelims How to Watch Main Card - Prelims6:00 PM EDT - Main Card9:00 PM EDT Tickets - Wed, May 2811:00 AM EDTPresale - UFC Fight Club - Thu, May 2911:00 AM EDTPresale - UFC Newsletter - Fri, May 3011:00 AM EDTOn Sale - Public - Main Card - Prelims6:00 PM EDT - Main Card9:00 PM EDT - - Tickets - Wed, May 2811:00 AM EDTPresale - UFC Fight Club - Thu, May 2911:00 AM EDTPresale - UFC Newsletter - Fri, May 3011:00 AM EDTOn Sale - Public - Prelims Fatima Kline vs Melissa Martinez LIVE NOW Round Time Method Mitch Ramirez vs Mike Davis LIVE NOW Round Time Method Kennedy Nzechukwu vs Valter Walker LIVE NOW Round Time Method Lauren Murphy vs Eduarda Moura LIVE NOW Round Time Method Jake Matthews vs Chidi Njokuani LIVE NOW Round Time Method Max Griffin vs Chris Curtis LIVE NOW Round Time Method Main Card Card Junior Tafa vs Tuco Tokkos LIVE NOW Round Time Method Vitor Petrino vs Austen Lane LIVE NOW Round Time Method Nate Landwehr vs Morgan Charriere LIVE NOW Round Time Method Calvin Kattar vs Steve Garcia #14 LIVE NOW Round Time Method Stephen Thompson vs Gabriel Bonfim #12 LIVE NOW Round Time Method Derrick Lewis vs Tallison Teixeira #9 #13 LIVE NOW Round Time Method",2025-05-19,https://www.ufc.com/event/ufc-fight-night-july-12-2025
UFC Fight Night: Lewis vs. Teixeira Live Fight Coverage - ESPN,"UFC Fight Night: Lewis vs. Teixeira July 12, 2025 Bridgestone Arena, Nashville, TN Main Card ESPN/ESPN+9:00 PM Prelims ESPN/ESPN+6:00 PM Main Card Heavyweight - Main Event Derrick Lewis 28-12-0 ESPN/ESPN+ Tallison Teixeira 8-0-0 USA +230 -280 Brazil - 6' 3""Height6' 7"" - 261 lbsWeight259 lbs - 40Age25 - 79""Reach83"" - OrthodoxStanceOrthodox - 2.48SIG STR LPM14.61 - 52.94%SIG STR ACC60.32% - 0.57TD AVG0.00 - 26.32%TD ACC0.00% - 0.00SUB AVG0.00 Welterweight Stephen Thompson 17-8-1 ESPN/ESPN+ Gabriel Bonfim 17-1-0 USA +325 -450 Brazil Featherweight Calvin Kattar 23-9-0 ESPN/ESPN+ Steve Garcia 17-5-0 USA EVEN -120 USA Featherweight Nate Landwehr 18-6-0 ESPN/ESPN+ Morgan Charrière 20-11-1 USA +200 -250 France Heavyweight Vitor Petrino 11-2-0 ESPN/ESPN+ Austen Lane 13-6-0 Brazil -700 +450 USA Light Heavyweight Junior Tafa 6-3-0 ESPN/ESPN+ Tuco Tokkos 10-5-0 Australia -180 +150 England Prelims Welterweight Max Griffin 20-11-0 ESPN/ESPN+ Chris Curtis 31-12-0 USA +250 -320 USA Welterweight Jake Matthews 21-7-0 ESPN/ESPN+ Chidi Njokuani 25-10-0 Australia +130 -155 USA Women's Flyweight Lauren Murphy 16-6-0 ESPN/ESPN+ Eduarda Moura 11-1-0 USA +475 -750 Brazil Heavyweight Kennedy Nzechukwu 14-5-0 ESPN/ESPN+ Valter Walker 13-1-0 Nigeria -200 +170 Brazil Lightweight Mitch Ramirez 8-2-0 ESPN/ESPN+ Mike Davis 11-3-0 USA +650 -1100 USA Women's Strawweight Fatima Kline 7-1-0 ESPN/ESPN+ Melissa Martinez 8-1-0 USA -1500 +750 Mexico Latest Videos 50 States in 50 Days: South Dakota's sports Mount Rushmore Paddy Pimblett confronts Ilia Topuria in the cage Joshua Van, Brandon Royval lay it all out in epic finish",2020-11-01,https://www.espn.com/mma/fightcenter/_/id/600054061/league/ufc
"UFC Fight Night: Lewis vs. Teixeira : Fight Card, Start Time, TV & Tickets","est. walkout: 2025-07-13T03:40:00Z () broadcast start time: US - Sat 9:00pm EST / UK - Sun 2:00am US streams Stream Lewis vs Teixeira on ESPN+ UFC Fight Night: Lewis vs. Teixeira Details UFC Fight Night: Lewis vs. Teixeira news UFC Fight Night: Lewis vs. Teixeira streams UFC Fight Night: Lewis vs. Teixeira US streams Great Price & Big Action You can stream UFC Fight Night: Lewis vs. Teixeira via the ESPN+ app. This is a standalone service from regular ESPN, so you don’t need to be an existing TV subscriber. You can download the app for PC, Apple, Android, Fire TV, Roku, your Smart TV and many others. | 1 Month | $10.99 | | 1 Month (Disney+/Hulu) | $14.99 | | 1 Month (Disney+/Hulu No Ads) | $24.99 | | 1 Year | $109.99 | UFC Fight Night: Lewis vs. Teixeira UK streams discovery+ Premium You can stream UFC Fight Night: Lewis vs. Teixeira on TNT Sports, and all their MMA cards, via discovery+ Premium app and web player. You don’t need to be a BT broadband customer to enjoy discovery+ Premium, and you are only tied to a 1 month contract that you can cancel at any time! You get all 4 TNT Sports channels + EuroSport 1 & 2. | 1 Month | £29.99 | UFC On TNT You can stream UFC Fight Night: Lewis vs. Teixeira on TNT Sports, and all their MMA cards, via the TNT Sports app and online player. This is included for free if you order TNT Sports on Sky TV, TalkTalk TV or BT TV. If you don’t have a TV package, it’s only available as a standalone app to existing or new BT broadband customers. Note, it’s not currently available on Roku or NowTV sticks, or games consoles. | Existing Customers | Free | | 1 Month (Not Including Broadband) | £18 | UFC Fight Night: Lewis vs. Teixeira tickets UFC Fight Night: Lewis vs. Teixeira Tickets Bridgestone Arena, Nashville United States Show open: TBA Main card starts: 9pm (EST) Where can I get Tickets for UFC Fight Night: Lewis vs. Teixeira? Tickets for UFC Fight Night: Lewis vs. Teixeira are officially on sale from Ticketmaster but currently under limited availability or sold out. You can also buy UFC Fight Night: Lewis vs. Teixeira tickets on the resale market for this fight from TicketNetwork. Tickets are exchanging hands between $107 and $2475. StubHub also has resell tickets available from $110. Finally, SeatGeek also has tickets available . Tickets are currently under limited availability or sold out. Leave a Reply You must be logged in to post a comment.",2025-07-11,https://cagewalks.com/events/ufc-fight-night-nashville/
UFC Nashville fight card picks & predictions for Derrick Lewis vs. Tallison Teixeira,"UFC Nashville fight card picks & predictions for Derrick Lewis vs. Tallison Teixeira The UFC returns this weekend with a UFC Fight Night card in Nashville, TN, and MMA KO’s Drew Beaupré is here to provide predictions for all 12 fights on the card. The event is headlined by top-ranked heavyweights Derrick Lewis and Tallison Teixeira, who debuted in the UFC with a 35-second knockout earlier this year and now gets a huge step up in competition against the promotion’s all-time leader in knockouts. The night’s co-main event is a welterweight bout featuring former title challenger Stephen “Wonderboy” Thompson and Gabriel Bonfim. Thompson comes into the night looking to snap a two-fight skid and collect his first win since 2022, while Bonfim has won two fights in a row after being upset by Nicolas Dalby in 2023. UFC Nashville Main Card Predictions Derrick Lewis vs. Tallison Teixeira This may finally be the fight where Lewis comes up short against a rising heavyweight prospect, but until I see that happen I have to pick “The Black Beast” to score another finish and add to his legacy as the UFC’s all-time knockout leader. (Pick: Lewis) READ MORE: UFC star Conor McGregor eyes return at White House card despite Dana White's doubt Stephen Thompson vs. Gabriel Bonfim Thompson has obviously slowed down considerably at this stage of his career, but given that Bonfim’s best path to victory is on the ground I’m going to slightly lean with “Wonderboy” to stifle the Brazilian’s takedown attempts and pull off an upset in Nashville. (Pick: Thompson) Calvin Kattar vs. Steve Garcia While Garcia’s current streak of knockouts is certainly impressive, Kattar’s own striking skills and the fact that he’s never been knocked out should allow him to spoil his opponent’s momentum and also snap his current four-fight skid. (Pick: Kattar) Nate Landwehr vs. Morgan Charriere This is one of the best matchups at UFC Nashville as well as a potential Fight of the Night contender. Charriere is certainly the more technical fighter, but I think that Landwehr can survive any big shots and outwork “The Last Pirate” to get back into the win column. (Pick: Landwehr) Vitor Petrino vs. Austen Lane I don’t know how far Petrino will be able to go in the UFC heavyweight division in the long run, but he does have the knockout power necessary to stop Lane and kick off his time in a new weight class with a big victory. (Pick: Petrino) Junior Tafa vs. Tuco Tokkos Tafa is in the opposite position of Petrino as a former heavyweight dropping down to 205 lbs., but as long as his power translates to a new division then he should be able to handle Tokkos in what could be the 35-year-old’s final fight in the UFC. (Pick: Tafa) READ MORE: Merab Dvalishvili teases next fight plans after meeting with UFC brass UFC Nashville Preliminary Card Predictions Chris Curtis vs. Max Griffin There was a point in Griffin’s career where I think he’d be able to stifle Curtis’ striking and pull of the upset here, but at this stage I think “The Action Man” will just be too much too much for him to handle. (Pick: Curtis) Jake Matthews vs. Chidi Njokuani Njokuani is currently on the best run of his UFC career after snapping a three-fight losing streak. Matthews will certainly be a tough test, but if the American can keep things standing then he should be able to get the job done here. (Pick: Njokuani) Lauren Murphy vs. Eduarda Moura Murphy is the kind of experienced veteran that could have bested the younger Moura at one point in her career, but this is a tough matchup for her to come back to after two and a half years out of the cage. (Pick: Moura) Kennedy Nzechukwu vs. Valter Walker Despite the fact that Nzechukwu is a more than 2-1 favorite, this feels like one of the tougher fights to call at UFC Nashville. Walker has never been knocked out, but even if he can’t stop him with strikes I still think Nzechukwu is well-rounded enough to earn his third-straight win. (Pick: Nzechukwu) READ MORE: UFC CEO Dana White claims Fourth of July White House event will be 'exceptional' Mike Davis vs. Mitch Ramirez Davis’ four-fight win streak came to an end in his last outing against Fares Ziam, but this matchup with Ramirez is a good spot for “Beast Boy” to get back on track ahead of what will hopefully be a more active schedule going forward. (Pick: Davis) Fatima Kline vs. Melissa Martinez Kline’s debut loss in a short-notice flyweight bout with Jasmine Jasudavicius has aged well given that Jasudavicius is now the promotion’s #5-ranked flyweight contender, and “The Archangel” should move closer towards the strawweight rankings with a win over Melissa Martinez in Nashville. (Pick: Kline) MMA KO will be providing comprehensive coverage for UFC Nashville all throughout fight week, and be sure to check back on our homepage tomorrow for live results and highlights on fight night. More MMA Knockout News • Surging UFC fighter puts win streak on the line with dangerous Paris matchup • 3 possible opponents for UFC Heavyweight Champion Tom Aspinall • 19-year-old UFC fighter set to make history with September debut • Ex-champion's return fight reportedly targeted for Noche UFC 3 Stick with MMAKnockout for more FREE coverage of the UFC and MMA.",2025-07-11,https://www.si.com/fannation/mma/news/ufc-nashville-fight-picks-predictions-derrick-lewis-tallison-teixeira
"UFC Nashville: Lewis vs Teixeira date, time, tickets, stream - FIGHTMAG","UFC Fight Night: Lewis vs Teixeira takes place at Bridgestone Arena in Nashville, Tennessee. In the main event, former heavyweight title challenger Derrick Lewis of the U.S. faces Brazil’s Tallison Teixeira. Lewis aims for his second victory following a third-round stoppage of Rodrigo Nascimento last May. Unbeaten Teixeira is coming off a win via first-round TKO against Justin Tafa in February. In the co-main event, Stephen Thompson of the U.S. takes on Gabriel Bonfim of Brazil at welterweight. Also on the card, Calvin Kattar fights Steve Garcia in an all-American bout at featherweight. Nate Landwehr of the U.S. goes up against Morgan Charriere of France at featherweight. Plus, Australian Junior Tafa meets Tuco Tokkos of England at light heavyweight. UFC Nashville tickets are on sale now via Ticketmaster. UFC Nashville fight card Main card - Derrick Lewis vs. Tallison Teixeira, heavyweight - Stephen Thompson vs. Gabriel Bonfim, welterweight - Calvin Kattar vs. Steve Garcia, featherweight - Nate Landwehr vs. Morgan Charriere, featherweight - Vitor Petrino vs. Austen Lane, heavyweight - Junior Tafa vs. Tuco Tokkos, light heavyweight Prelims - Max Griffin vs. Chris Curtis, welterweight - Jake Matthews vs. Chidi Njokuani, welterweight - Lauren Murphy vs. Eduarda Moura, flyweight - Kennedy Nzechukwu vs. Valter Walker, heavyweight - Mitch Ramirez vs. Mike Davis, lightweight - Fatima Kline vs. Melissa Martinez, strawweight *Card, ticket and broadcast information subject to change",2025-07-12,https://schedule.fightmag.com/events/ufc-fight-night-july-12-2025/
UFC Fight Night: Lewis vs. Teixeira Live Fight Coverage - ESPN,"UFC Fight Night: Lewis vs. Teixeira July 12, 2025 Bridgestone Arena, Nashville, TN Main Card ESPN/ESPN+9:00 PM Prelims ESPN/ESPN+6:00 PM Main Card Featherweight Nate Landwehr 18-6-0 ESPN/ESPN+ Morgan Charrière 20-11-1 USA +200 -250 France - 5' 9""Height5' 8"" - 146 lbsWeight146 lbs - 37Age29 - 72""Reach69"" - OrthodoxStanceOrthodox - 5.59SIG STR LPM3.46 - 49.16%SIG STR ACC56.57% - 0.85TD AVG1.91 - 41.67%TD ACC50.00% - 0.85SUB AVG0.38 Heavyweight - Main Event Derrick Lewis 28-12-0 ESPN/ESPN+ Tallison Teixeira 8-0-0 USA +230 -280 Brazil Welterweight Stephen Thompson 17-8-1 ESPN/ESPN+ Gabriel Bonfim 17-1-0 USA +325 -450 Brazil Featherweight Calvin Kattar 23-9-0 ESPN/ESPN+ Steve Garcia 17-5-0 USA EVEN -120 USA Heavyweight Vitor Petrino 11-2-0 ESPN/ESPN+ Austen Lane 13-6-0 Brazil -700 +450 USA Light Heavyweight Junior Tafa 6-3-0 ESPN/ESPN+ Tuco Tokkos 10-5-0 Australia -180 +150 England Prelims Welterweight Max Griffin 20-11-0 ESPN/ESPN+ Chris Curtis 31-12-0 USA +250 -320 USA Welterweight Jake Matthews 21-7-0 ESPN/ESPN+ Chidi Njokuani 25-10-0 Australia +130 -155 USA Women's Flyweight Lauren Murphy 16-6-0 ESPN/ESPN+ Eduarda Moura 11-1-0 USA +475 -750 Brazil Heavyweight Kennedy Nzechukwu 14-5-0 ESPN/ESPN+ Valter Walker 13-1-0 Nigeria -200 +170 Brazil Lightweight Mitch Ramirez 8-2-0 ESPN/ESPN+ Mike Davis 11-3-0 USA +650 -1100 USA Women's Strawweight Fatima Kline 7-1-0 ESPN/ESPN+ Melissa Martinez 8-1-0 USA -1500 +750 Mexico Latest Videos 50 States in 50 Days: South Dakota's sports Mount Rushmore Paddy Pimblett confronts Ilia Topuria in the cage Joshua Van, Brandon Royval lay it all out in epic finish",2020-11-01,https://www.espn.com/mma/fightcenter/_/id/600054061/league/ufc/fightId/401790367
