title,text,publish_date,url
"Martin Buday vs. Marcus Buchecha, UFC Fight Night | MMA Bout | Tapology","Fighter Comparison | Buday | Buchecha | ||| | #24 HeavyW (Worldwide) | Ranking | #50 HeavyW (Worldwide) | || | 15-2-0 MMA | Pro Record | 5-1-0 MMA | || | 2025 2023 | Last 5 Fights | 2024 2021 | || | +250 (Moderate Underdog) | Betting Odds | -300 (Moderate Favorite) | || | | Nation | | || | Trnava Trnava Region | Fights out of | Long Beach California | || | 33 +8 mos, 2 wks, 1 day | Age at Fight | 35 +6 mos, 2 wks, 4 days | || | 266.0 lbs (120.7 kgs) | Weigh-In Result | 254.0 lbs (115.2 kgs) | || | 6'4"" (193cm) | Height | 6'3"" (191cm) | || | 77.0"" (196cm) | Reach | 80.0"" (203cm) | || | Ground System Gym Nitra | Gym | N/A | Buday vs. Buchecha Fight Predictions Fight Predictions Tapology Community Picks: 3,627 Bout Information Event Poster Fight Details - Event: UFC Fight Night: Whittaker vs. de Ridder - Date: Saturday 07.26.2025 at 12:00 PM ET - Referee: - Venue: Etihad Arena - Enclosure: Octagon - Location: Abu Dhabi, United Arab Emirates - Bout Billing: Preliminary Card (fight 1 of 12) - Pro/Am: Professional - Weight: 265 lbs (120.2 kg) - Event Links:",2025-03-20,https://www.tapology.com/fightcenter/bouts/1019953-ufc-fight-night-martin-badys-buday-vs-marcus-buchecha
"Martin Buday vs. Marcus Buchecha prediction, odds, pick for UFC Abu Dhabi","UFC Abu Dhabi: Robert Whittaker versus Marcus Buchecha kicks off the prelims with a fight between Martin Buday and Marcus Buchecha in the heavyweight division on Saturday. Check out our UFC odds series for our Buday-Buchecha prediction and pick. Martin Buday (15-2) has won back-to-back decisions, most recently outmuscling Uran Satybaldiev with his size for a unanimous nod after edging out veteran Andrei Arlovski by split decision. Now, Buday will attempt to extend his streak and spoil Marcus “Buchecha” Almeida’s rise at UFC Fight Night this weekend. Marcus “Buchecha” Almeida (5-1) rebounded from his first career loss, a grueling decision against Oumar Kane, by submitting Amir Aliakbari with a decisive first-round rear-naked choke at ONE 169. Buchecha now looks to impose his world-class grappling and halt Martin Buday’s UFC momentum in their heavyweight showdown this weekend. Here are the UFC Abu Dhabi Odds, courtesy of DraftKings. UFC Abu Dhabi odds: Martin Buday-Marcus Buchecha odds Martin Buday: +250 Marcus Buchecha: -310 Over 1.5 rounds: -130 Under 1.5 rounds: +100 *Watch sports LIVE with fuboTV (Get Access | Save $30)* Why Martin Buday will win - Last Fight: (W) Uran Satybaldiev – DEC - Last 5: 4-1 - Finishes: 9 (6 KO/TKO/3 SUB) Martin Buday’s vast UFC experience gives him a critical advantage over Marcus “Buchecha” Almeida as they head into their heavyweight clash in Abu Dhabi. Buday has already tested himself against some of the division’s most durable and skilled competitors, collecting victories with a blend of methodical striking, clinch pressure, and top-tier fight IQ. That maturity under the brightest lights is something Buchecha, a submission legend but MMA novice, cannot replicate yet. Another key is Buday’s remarkable takedown defense, he boasts a perfect 100% takedown defense throughout his UFC tenure, consistently thwarting opponents who specialize in grappling. While Buchecha’s jiu-jitsu is world-class, he’s yet to prove he can adapt that style for MMA takedowns against cage-seasoned heavyweights, especially when his ability to initiate shots under fire is unexplored territory in the UFC. On the feet, Buday employs sharp, efficient boxing and a 54% significant striking accuracy, punishing opponents for closing distance and forcing hesitant strikers to second-guess entry attempts. Buchecha, by contrast, enters this fight with no proven striking credentials, making him a major target for Buday’s straight punches and clinch offense, especially in the opening rounds. If Buchecha cannot get this fight to the canvas, expect Buday’s composure, physicality, and experience edge to break down the jiu-jitsu ace and secure a statement UFC victory. Why Marcus Buchecha will win - Last Fight: (W) Amir Aliakbari – SUB R1 - Last 5: 4-1 - Finishes: 5 (1 KO/TKO/4 SUB) Marcus “Buchecha” Almeida enters this matchup with a grappling pedigree unparalleled in MMA history. His 17 BJJ world championships and multiple ADCC titles reflect an ability to impose his will on even the most experienced opponents, and if he secures a takedown against Martin Buday, the fight will almost certainly become a one-sided affair on the mat. No heavyweight can match Buchecha’s submission arsenal; his back takes, choke variations, and relentless ground pressure are second to none. Buchecha’s transition to MMA has been marked by explosive first-round finishes, leveraging his Brazilian Jiu-Jitsu mastery into quick submissions against a host of dangerous heavyweights. Against Buday, a fighter who prefers clinch battles and methodical striking—Buchecha’s superior athleticism and scramble ability present a nightmare stylistic matchup. Even though Buday boasts impressive takedown defense, he has never faced a grappler with the speed, creativity, and chaining of attacks that Buchecha brings. On the feet, Buchecha’s relentless forward pressure and willingness to close distance without fear of counters will stress Buday’s striking and cardio, forcing mistakes and desperate defenses. The moment Buday overcommits or gets trapped along the cage, Buchecha’s world-class jiu-jitsu will take over and decide the outcome. This weekend in Abu Dhabi, expect Buchecha’s legendary grappling acumen to make the difference and set the stage for a statement UFC debut. Final Martin Buday-Marcus Buchecha prediction & pick Marcus “Buchecha” Almeida enters as the favorite in this highly anticipated heavyweight clash, with oddsmakers and analysts clearly valuing his world-class submission game and undefeated record in MMA competition outside the UFC. His unparalleled grappling résumé, highlighted by multiple BJJ world titles, gives him the edge if he can secure an early takedown. Buchecha’s ability to dominate on the ground and finish fights quickly remains his clearest path to victory. Martin Buday’s strengths lie with his well-rounded striking, veteran composure, and exceptional takedown defense, which has thus far remained perfect in his UFC tenure. If Buday can weather Buchecha’s early grappling storm and keep the fight standing, he has a real chance to frustrate the newcomer with volume striking and cage control. This matchup boils down to whether Buchecha can implement his grappling before Buday’s experience and striking begin to take over. The edge goes to Buchecha, likely via early submission, but Buday’s toughness ensures it won’t come easy. Final Martin Buday-Marcus Buchecha Prediction & Pick: Marcus Buchecha (-310), Under 1.5 Rounds (+100)",2025-07-24,https://clutchpoints.com/betting/martin-buday-vs-marcus-buchecha-prediction-odds-pick-for-ufc-abu-dhabi
Fight: Buday vs. Buchecha,"15-2 #1 Heavyweight Odds 2.62 1.44 5-1 Fight: Buday vs. Buchecha 26 JUL SAT '25 4:00 PM prelim • 3 rounds Top News Main Info nickname Badys - Forms W W L W W W L W W W Nationality Slovakia Brazil Age (1991-11-11) 33 35 (1990-01-08) Weight (102+ kg) 225+ lbs 225+ lbs (102+ kg) Height (193 cm) 6′4″ 6′3″ (191 cm) Reach (196 cm) 6′5″ 6′8″ (203 cm) Gym Win-Loss Records Wins 15 6 KO/TKO - 35% 3 submission - 18% 6 decision - 35% 5 17% - 1 KO/TKO 67% - 4 submission 0% - 0 decision Losses 2 1 KO/TKO - 6% 0 submission - 0% 1 decision - 6% 1 0% - 0 KO/TKO 0% - 0 submission 17% - 1 decision Past Opponents Show Cancelled Fights Frequently Asked Questions About Buday vs. Buchecha Which event are Marcus Buchecha and Martin Buday fighting in? They are set to face each other in UFC Fight Night: Whittaker vs. de Ridder. How many rounds is the Marcus Buchecha vs. Martin Buday? The bout is scheduled for a standard 3-round UFC fight. Which organization is hosting the Marcus Buchecha vs. Martin Buday? The fight is organized by the Ultimate Fighting Championship (UFC). When is the Marcus Buchecha vs. Martin Buday fight? The fight is scheduled to take place on July 26, 2025 Go Top",2024-12-07,https://mmatown.com/fights/marcus-buchecha-vs-martin-buday-641183
Martin Buday vs Marcus Buchecha Live Score & Stream - UFC,"--:-- -- UTC Martin Buday vs Marcus Buchecha Live Score & Stream UFC - MMA Match Status scheduled Martin Buday VS Match starts soon Sat, Jul 26, 2025 - 4:00 PM (UTC) Marcus Buchecha Streaming & Broadcast Event Details League: UFC Teams: Martin Buday vs Marcus Buchecha Date: Saturday, July 26, 2025 Time: 4:00 PM (UTC) Venue: Etihad Arena About This Match on Sportsurge Find details, and Sportsurge streaming information for Martin Buday vs Marcus Buchecha. This UFC MMA match features Martin Buday facing off against Marcus Buchecha at Etihad Arena on Saturday, July 26, 2025 at 4:00 PM. Check Sportsurge for live updates and post-match analysis.",2025-07-26,https://www.sportsurge1.com/events/martin-buday-vs-marcus-buchecha-600053545_401800977
Martin Buday vs Marcus Buchecha: Odds & Analysis,"Martin Buday vs Marcus Buchecha Fight Analysis Introduction On Saturday, July 26, 2025, fight fans will be treated to a compelling heavyweight clash on the Preliminary Card of UFC Fight Night: Whittaker vs de Ridder. The bout is slated to begin at 4:00 PM UTC (local time in Abu Dhabi) inside the state-of-the-art Etihad Arena. As the main event pits two former champions against each other, this undercard showdown between seasoned contender Martin Buday and BJJ legend Marcus “Buchecha” Almeida carries its own intrigue, pitting a ranked UFC heavyweight against one of the greatest grapplers in history making his Octagon debut. Setting the Stage - Event: UFC Fight Night: Whittaker vs de Ridder - Date: July 26, 2025 - Time: Preliminary Card kicks off at 4:00 PM UTC - Venue: Etihad Arena, Abu Dhabi, United Arab Emirates The Favorite and the Underdog Bookmakers have installed Marcus Buchecha as the clear favorite in this matchup. Across top sportsbooks like Caesars and DraftKings, Buchecha sits at roughly -205 in the moneyline, reflecting the high expectations on his submission pedigree and world-class grappling résumé. Despite having no professional MMA fights to date (0-0-0 record), his decorated background—11-time IBJJF World Champion and multiple ADCC titleholder—positions him as the man to beat. On the flip side, Martin Buday enters as the underdog at around +170. The #14-ranked heavyweight carries a 15-2 professional record into this contest, showcasing a well-rounded skill set that mixes 7 knockouts, 2 submissions, and a penchant for late-round resilience. A proven veteran of three UFC appearances, Buday offers a reliable blend of 54% significant strike accuracy, 55% strike defense, and a spotless 100% takedown defense in the Octagon. Why This Fight Matters - Experience vs. Hype: Buday’s UFC tenure and durable frame counterbalance Buchecha’s all-time grappling legend status but MMA-novice tag. - Stylistic Contrast: Will Buchecha dictate the fight on the ground, or can Buday keep it standing and exploit striking gaps? - Ranking Implications: A win propels Buchecha into immediate heavyweight title contention chatter, while Buday stakes his claim to climb closer to a top-10 ranking. With both fighters boasting unique strengths—Buchecha’s unparalleled submission arsenal and Buday’s well-rounded, battle-tested approach—this heavyweight showdown promises fireworks. In the following sections, we’ll break down their complete fight histories, statistical matchups, and key betting angles to help you make the most informed pick. Live odds Live and historic odds as well as more fighter statistics and insights for Martin Buday vs Marcus Buchecha can be found on the fighter matchup page. All the fighter matchups and live odds for Whittaker vs de Ridder can be found on the Whittaker vs de Ridder event page. Matchup and Fighter Profiles Martin Buday Profile Age: 33 Country: Slovakia (Nitra) Fighting Style: Brazilian Jiu-Jitsu, well-rounded striker Recent Form (Last 5 Fights) - Win vs. Uran Satybaldiev (Decision – Unanimous) – Apr. 5, 2025 - Win vs. Andrei Arlovski (Decision – Split) – Jun. 29, 2024 - Loss vs. Shamil Gaziev (KO/TKO – Round 2) – Dec. 16, 2023 - Win vs. Josh Parisian (Submission – Round 1) – Aug. 12, 2023 - Win vs. Jake Collier (Decision – Unanimous) – Apr. 29, 2023 Buday enters this bout on a 4–1 run, showcasing resilience and finishing ability. His only setback—a knockout loss to Gaziev—came against a heavy hitter, but he rebounded quickly and secured a first-round submission over Parisian just four months later. Strengths - Striking Precision: 54% significant strike accuracy, demonstrating efficient output against durable opponents. - Strike Defense: 55% significant strike defense, enabling him to absorb and evade incoming shots. - Takedown Defense: A perfect 100% takedown defense in UFC competition; he rarely relinquishes top position. - Finishing Instinct: 7 knockout wins and 2 submissions on his 15–2 résumé, with 6 first-round finishes. Weaknesses - Takedown Offense: 20% takedown accuracy suggests limited wrestling initiation; if Buchecha keeps it upright, Buday may struggle to impose grappling dominance. - Cardio in Late Rounds: Average fight time of 10:50 hints at potential gas tank concerns in extended battles, especially if he overcommits early. - Durability Question Mark: The loss to Gaziev exposed vulnerability to heavy strikers; Buchecha’s power generation in close range remains untested but poses a risk. Marcus “Buchecha” Almeida Profile Age: 35 Country: Brazil (State of São Paulo) Fighting Style: Elite Brazilian Jiu-Jitsu, submission specialist Recent Form - Professional MMA: 0–0–0 (UFC debut) - Grappling Pedigree: 11× IBJJF World Champion, multiple ADCC gold medals Buchecha arrives in the Octagon as one of the most decorated grapplers in history but with no pro MMA fights to gauge his striking, wrestling, or cardio. His debut will test whether world-class BJJ seamlessly translates under MMA rule sets against a durable, UFC-seasoned foe. Strengths - Submission Arsenal: Unparalleled guard passing, chokes, and joint locks—he can end the fight instantly on the mat. - Experience Under Pressure: Years of tournament competition against the globe’s best, honing his composure in high-stakes moments. - Grappling Transitions: Elite ability to chain submissions and scramble back to dominant positions when threatened. Weaknesses - Striking Volume & Defense: Unknown. Without professional bouts, his stand-up skills — both offense and counter-strikes — remain entirely speculative. - Wrestling & Takedown Defense: Transitioning from gi and no-gi grappling to MMA wrestling requires adapting to underhooks, pummeling, and takedown sprawls. - Cardio Under MMA Pace: Tournament jiu-jitsu matches are short bursts compared to three-round MMA fights; endurance in clinch battles and striking exchanges will be tested for the first time. Head-to-Head Dynamics This fight represents a classic experience vs. pedigree matchup. Buday’s proven UFC durability and striking chops will be pitted against Buchecha’s historic BJJ excellence. Buday must keep the fight upright and avoid Buchecha’s dangerous guard and clinch submissions, while Buchecha needs to survive early striking onslaughts and take Buday to the canvas. Ultimately, the clash of styles—Buday’s balanced offense and Buchecha’s submission mastery—makes this heavyweight showdown one of the most intriguing Preliminary Card bouts of the UFC Fight Night. Betting Odds and Line Movement Current Odds Overview As of the latest update on July 14, 2025, the moneyline for this heavyweight clash shows a clear favorite and underdog: - Marcus Buchecha: –205 (DraftKings, Caesars) | –200 (BetOnline.ag) - Martin Buday: +170 (all major books) Buchecha enters as the favorite, while Buday is the underdog. The gap of roughly 370 points (-205 vs. +170) underlines bettors’ confidence in Buchecha’s submission pedigree against an MMA newcomer. Line Movement History Tracking the odds over the past two weeks reveals modest shifts rather than dramatic swings: - Buchecha - July 12: –212 (BetOnline.ag) - July 14: –200 (BetOnline.ag) - Stable at –205 on Caesars & DraftKings - Buday - July 12: +182 (BetOnline.ag) - July 14: +170 (BetOnline.ag, Caesars & DraftKings) These movements (Buchecha easing from –212 to –200, Buday firming from +182 to +170) suggest balanced action—some backing for the underdog, but still a lean toward Buchecha. Best Sportsbook to Bet On For favorites, smaller juice is ideal. - Buchecha’s best line: –200 at BetOnline.ag (vs. –205 elsewhere). For underdogs, bigger odds maximize profit. - Buday’s line is identical (+170) across all tracked books, making DraftKings or Caesars equally suitable given liquidity and promotional offers. Payout Scenarios & Implied Probabilities If you wager $1,000: - On Marcus Buchecha (–200) at BetOnline.ag: - Profit: ~$500 - Total Return: ~$1,500 - Implied Win Chance: ~67% - On Martin Buday (+170) at DraftKings/Caesars: - Profit: $1,700 - Total Return: $2,700 - Implied Win Chance: ~37% Key Takeaways - Underdog Appeal: Buday’s odds firming (from +182 to +170) show growing confidence among bettors who value his UFC experience and durable skill set. - Sharp Money on Favorite: Buchecha’s line easing slightly hints at professional action on the favorite, signaling respect for his elite grappling translating to MMA. - Best Value Plays: - Buchecha backers secure the best price at –200 with BetOnline.ag. - Buday supporters enjoy uniform +170 odds but should consider DraftKings or Caesars for user experience and deposit bonuses. Whether you favor the grappling legend or the battle-tested Slovak contender, understanding these odds dynamics and line histories empowers smarter wagers on this intriguing heavyweight showdown. AI Pick: Martin Buday Click the buttons below to read more about why the AI picked Martin Buday, or see all the AI picks for Whittaker vs de Ridder. Our AI is trained on our fight data and picks winners for every fight. You can track all the picks, accuracy, and profit for free on our ai-picks page.",2025-07-14,https://www.ufcbetcompanion.com/event-fighter/3955-Martin%20Buday%20vs%20Marcus%20Buchecha/fight-analysis/2400
UFC Fight Night: Whittaker vs. De Ridder,"""Badys"" | Martin Buday | Marcus Buchecha | | |---|---|---| | Tale of the tape | || | Wins/Losses/Draws | 15-2-0 | 5-1-0 | | Average Fight Time | 10:50 | | | Height | 6' 4"" | 5' 4"" | | Weight | 265 lbs. | 255 lbs. | | Reach | 77"" | 77"" | | Stance | Orthodox | Orthodox | | DOB | Nov 11, 1991 | Jan 08, 1990 | | Striking (Significant Strikes) | || | Strikes Landed per Min. (SLpM) | 4.67 | 0.00 | | Striking Accuracy | 53% | 0% | | Strikes Absorbed per Min. (SApM) | 5.00 | 0.00 | | Defense | 55% | 0% | | Grappling | || | Takedowns Average/15 min. | 0.17 | 0.00 | | Takedown Accuracy | 20% | 0% | | Takedown Defense | 100% | 0% | | Submission Average/15 min. | 0.2 | 0.0 | | Most recent fights (Newest First) | || | Win - Satybaldiev | | | | Win - Arlovski | | | | Loss - Gaziev | | | | Win - Parisian | | | | Win - Collier | |",No date found,http://ufcstats.com/fight-details/0a598768f5c8d540
"Marcus Buchecha Scheduled for UFC Debut, Gets Martin Buday at UFC Abu Dhabi","Former ONE Championship heavyweight Marcus Buchecha (properly Marcus Almeida) has signed with the UFC. Almeida (5-1), a highly decorated BJJ champion, will make his promotional debut at UFC Abu Dhabi later this month, where he will take on Martin Buday (15-2). Robert Tellez (Bert MMA) was first to report news of the match-up. Marcus Buchecha claimed gold medals at multiple Brazilian Jiu-Jitsu World Championships between 2012 and 2019, and took gold at the ADCC World Championship in 2013 and 2017. He signed with ONE Championship in 2020, making his MMA debut the following year and winning his first four fights with the promotion. He then ran into Oumar Kane, a.k.a. “Reug Reug,” losing a decision (Kane would go on to claim the heavyweight title). Almeida bounced back with a win over Amir Aliakbari in November 2024 but has struggled to find a fight since. For Buday, who is 6-1 under the UFC banner, it’s a chance to extend a two-fight win streak. The Slovakian heavyweight’s lone loss in the promotion came against Shamil Gaziev in 2023. UFC Abu Dhabi takes place on July 26, 2025 at the Etihad Arena in Abu Dhabi, UAE, and is headlined by another former ONE Championship star, Reinier de Ridder. He faces ex-UFC champ Robert Whittaker, with the main card airing on ABC. The following match-ups have been reported for the event: - Robert Whittaker vs. Reinier de Ridder - Movsar Evloev vs. Aaron Pico - Petr Yan vs. Marcus McGhee - Bryce Mitchell vs. Said Nurmagomedov - Sharabutdin Magomedov vs. Marc-André Barriault - Nikita Krylov vs. Bogdan Guskov - Asu Almabayev vs. Ramazan Temirov - İbo Aslan vs. Billy Elekana - Amanda Ribas vs. Tabatha Ricci - Muslim Salikhov vs. Carlos Leal Miranda - Da’Mon Blackshear vs. Davey Grant - Mohammad Yahya vs. Steven Nguyen - Marcus Almeida vs. Martin Buday",2025-07-08,https://cagesidepress.com/2025/07/08/marcus-buchecha-scheduled-ufc-debut-gets-martin-buday-ufc-abu-dhabi/
"Martin Buday vs Marcus Buchecha Odds & Betting Lines - Jul 26, 2025","Latest Martin Buday vs Marcus Buchecha Odds Buday Days Hours Minutes Seconds Buchecha Total rounds odds Buday vs Buchecha odds explained Two of the most common ways to bet on the UFC is to bet the moneyline or who will win the fight, and the Over/Under for the number of rounds the fight will last. Almost all sportsbooks and betting sites offer UFC odds. Get in the game with the best UFC betting sites! UFC Moneyline odds The moneyline represents the odds for who will win the fight outright. These odds are listed in American format and the best odds are identified in green. When betting a favorite — identified by the minus sign in front of the odds number — in American odds, you need to wager the amount of the odds to win $100. For example, a -250 favorite would need a $250 wager to profit $100. When betting an underdog — identified by the plus sign in front of the odds number — in American odds, you can win the amount of the odds listed with a $100 wager. For example, a +180 underdog would profit $180 on a $100 bet. UFC Total rounds odds When making a wager on the total rounds odds, you’re betting as to how long the fight will last. For example, by taking the Under 2.5 rounds, you’re betting that the fight will end before the midway point of the third round. So, you're hoping the fight ends in Round 1, Round 2, or before the clock ticks below 2:30 in the third round. Again, the odds are listed in American format and the best odds are highlighted in green. You can convert American odds to other formats using our odds converter. Buday vs Buchecha FAQs Almost all sportsbooks and betting sites will offer UFC odds. Check out the best online sportsbooks in your area. No one can accurately predict who will win each UFC fight, but the favorite to win the fight is identified by the negative odds (i.e. -150). The underdog is identified by the positive odds (i.e. +200). Check out our UFC picks and predictions for betting advice on UFC events.",2025-07-26,https://www.covers.com/sport/mma/ufc/matchup-buday-vs-buchecha-odds-12971
UFC on ABC 9: Make your predictions for Robert Whittaker vs. Reinier de Ridder,"UFC UFC on ABC 9: Make your predictions for Robert Whittaker vs. Reinier de Ridder Matt Erickson MMA Junkie We want your predictions for UFC on ABC 9. Our staff picks feature includes the consensus picks from MMA Junkie readers. Simply cast your vote for each bout below, and we'll use the official tallies that are registered by Friday at noon ET (9 a.m. PT). Those reader consensus picks will be part of the main card staff predictions we release ahead of UFC on ABC 9 (ABC, ESPN, ESPN+), which takes place Saturday at Etihad Arena in Abu Dhabi. Make your picks below. Marcus Buchecha vs. Martin Buday - Records: Buchecha (5-1 MMA, 0-0 UFC), Buday (15-2 MMA, 6-1 UFC) - Past five: Buchecha 4-1, Buday 4-1 - Division: Heavyweight - Rankings: None - Odds (as of 07.21.25): Buchecha -310, Buday +245 Steven Nguyen vs. Mohammad Yahya - Records: Nguyen (9-2 MMA, 0-1 UFC), Yahya (12-5 MMA, 0-2 UFC) - Past five: Nguyen 3-2, Yahya 3-2 - Division: Featherweight - Rankings: None - Odds (as of 07.21.25): Nguyen -350, Yahya +270 Ibo Aslan vs. Billy Elekana - Records: Aslan (14-2 MMA, 2-1 UFC), Elekana (7-2 MMA, 0-1 UFC) - Past five: Aslan 4-1, Elekana 3-2 - Division: Light heavyweight - Rankings: None - Odds (as of 07.21.25): Aslan -265, Elekana +215 Amanda Ribas vs. Tabatha Ricci - Records: Ribas (12-6 MMA, 7-5 UFC), Ricci (11-3 MMA, 6-3 UFC) - Past five: Ribas 2-3, Ricci 3-2 - Division: Women’s strawweight - Rankings: Ricci No. 10, Ribas honorable mention - Odds (as of 07.21.25): Ribas -175, Ricci +145 Da'Mon Blackshear vs. Davey Grant - Records: Blackshear (17-7-1 MMA, 5-3-1 UFC), Grant (14-7 MMA, 7-6 UFC) - Past five: Blackshear 3-2, Grant 3-2 - Division: Bantamweight - Rankings: None - Odds (as of 07.21.25): Blackshear -330, Grant +260 Carlos Leal vs. Muslim Salikhov - Records: Leal (22-6 MMA, 1-1 UFC), Salikhov (21-5 MMA, 8-4 UFC) - Past five: Leal 3-2, Salikhov 3-2 - Division: Welterweight - Rankings: None - Odds (as of 07.21.25): Leal -475, Salikhov +340 Bryce Mitchell vs. Said Nurmagomedov - Records: Mitchell (17-3 MMA, 8-3 UFC), Nurmagomedov (18-4 MMA, 7-3 UFC) - Past five: Mitchell 2-3, Nurmagomedov 3-2 - Division: Bantamweight - Rankings: Mitchell No. 10 (featherweight) - Odds (as of 07.21.25): Mitchell -115, Nurmagomedov -105 Bogdan Guskov vs. Nikita Krylov - Records: Guskov (17-3 MMA, 3-1 UFC), Krylov (30-10 MMA, 11-8 UFC) - Past five: Guskov 17-3, Krylov 3-2 - Division: Light heavyweight - Rankings: Krylov No. 10, Guskov honorable mention - Odds (as of 07.21.25): Guskov +160, Krylov -190 Asu Almabayev vs. Jose Ochoa - Records: Almabayev (21-3 MMA, 4-1 UFC), Ochoa (8-1 MMA, 1-1 UFC) - Past five: Almabayev 4-1, Ochoa 4-1 - Division: Flyweight - Rankings: Almabayev honorable mention - Odds (as of 07.21.25): Almabayev -105, Ochoa -115 Marc-Andre Barriault vs. Shara Magomedov - Records: Barriault (17-9 MMA, 6-8 UFC), Magomedov (15-1 MMA, 4-1 UFC) - Past five: Barriault 2-3, Magomedov 4-1 - Division: Middleweight - Rankings: None - Odds (as of 07.21.25): Barriault +450, Magomedov -700 Marcus McGhee vs. Petr Yan - Records: McGhee (10-1 MMA, 4-0 UFC), Yan (18-5 MMA, 10-4 UFC) - Past five: McGhee 5-0, Yan 2-3 - Division: Bantamweight - Rankings: Yan No. 3, McGhee honorable mention - Odds (as of 07.21.25): McGhee +300, Yan -400 Robert Whittaker vs. Reinier de Ridder - Records: Whittaker (26-8 MMA, 17-6 UFC), de Ridder (20-2 MMA, 3-0 UFC) - Past five: Whittaker 3-2, de Ridder 4-1 - Division: Middleweight - Rankings: Whittaker No. 6, de Ridder No. 12 - Odds (as of 07.21.25): Whittaker -150, de Ridder +125 UFC on ABC 9 fight card (as of July 21, 3 p.m. ET) MAIN CARD (ABC/ESPN+, noon ET) - Robert Whittaker vs. Reinier de Ridder/li> - Marcus McGhee vs. Petr Yan/li> - Marc-Andre Barriault vs. Shara Magomedov/li> - Asu Almabayev vs. Jose Ochoa/li> - Bogdan Guskov vs. Nikita Krylov/li> PRELIMINARY CARD (ESPN/ESPN+, 9 a.m. ET) - Bryce Mitchell vs. Said Nurmagomedov - Carlos Leal vs. Muslim Salikhov - Da'Mon Blackshear vs. Davey Grant - Amanda Ribas vs. Tabatha Ricci - Ibo Aslan vs. Billy Elekana - Steven Nguyen vs. Mohammad Yahya - Marcus Buchecha vs. Martin Buday",2025-07-22,https://mmajunkie.usatoday.com/story/sports/ufc/2025/07/22/ufc-abu-dhabi-robert-whittaker-vs-reinier-de-ridder-reader-predictions-picks/85314657007/
Marcus Almeida vs. Martin Buday headed to UFC on ABC 9 in Abu Dhabi,"Marcus Almeida vs. Martin Buday headed to UFC on ABC 9 in Abu Dhabi ""Buchecha"" is UFC-bound. A standout ONE Championship fighter and decorated BJJ star, Marcus Almeida, is aligned for a three-round heavyweight bout vs. Martin Buday at UFC on ABC 9, which takes place July 26 at Etihad Arena in Abu Dhabi. Two people with knowledge of the matchup confirmed it to MMA Junkie but asked to remain anonymous as the promotion has yet to make an official announcement. Robert Tellez first reported the fight was in the works. In each victory, Almeida (5-1 MMA, 0-0 UFC) has finished his opponents in the opening round; four came by submission, and one by ground-and-pound TKO. ""Buchecha"" is a multiple-time ADCC and IBJJF grappling champion, and has proven since his MMA debut in 2021, that his skills translate well in the heavyweight division of MMA competition. Almeida, 35, was last in action at ONE 169 in November, where he submitted Amir Aliakbari with a rear-naked choke in the opening round. That fight was the last on his contract, and he opted not to re-sign with the promotion. Prior to the fight, ""Buchecha"" told MMA Junkie he was frustrated with inactivity. After he completed his first four MMA fights in 11 months, Almeida hoped he could maintain the same level of activity, but the promotion did not meet his expectations. After he submitted Kirill Grishenko at ONE Fight Night 1, Almeida only had two more fights in 26 months. Buday (15-2 MMA, 6-1 UFC) aims to extend his winning streak to three after consecutive victories over Andrei Arlovski and Uran Satybaldiev. His lone UFC loss came against Shamil Gaziev in December 2023. With the addition, the UFC on ABC 9 lineup includes: - Robert Whittaker vs. Reinier de Ridder - Movsar Evloev vs. Aaron Pico - Bogdan Guskov vs. Nikita Krylov - Marc-Andre Barriault vs. Shara Magomedov - Marcus McGhee vs. Petr Yan - Bryce Mitchell vs. Said Nurmagomedov - Marcus Almeida vs. Martin Buday - Asu Almabayev vs. Ramazan Temirov - Ibo Aslan vs. Billy Elekana - Amanda Ribas vs. Tabatha Ricci - Carlos Leal vs. Muslim Salikhov - Da'Mon Blackshear vs. Davey Grant - Steve Nguyen vs. Mohammad Yahya",2025-07-07,https://mmajunkie.usatoday.com/story/sports/ufc/2025/07/07/ufc-news-marcus-buchecha-almeida-one-championship-debut-abu-dhabi/84499057007/
