title,text,publish_date,url
"Marvin Vettori vs. Brendan Allen, UFC 318 | MMA Bout | Tapology","Fighter Comparison | Vettori | Allen | ||| | #13 MiddleW (Worldwide) | Ranking | #11 MiddleW (Worldwide) | || | 19-7-1 MMA | Pro Record | 24-7-0 MMA | || | 2025 2021 | Last 5 Fights | 2025 2023 | || | +185 (Slight Underdog) | Betting Odds | -230 (Moderate Favorite) | || | | Nation | | || | Las Vegas Nevada | Fights out of | Covington Louisiana | || | 31 +9 mos, 4 wks, 1 day | Age at Fight | 29 +6 mos, 3 wks | || | 186.0 lbs (84.4 kgs) | Latest Weight | 186.0 lbs (84.4 kgs) | || | 6'0"" (183cm) | Height | 6'2"" (188cm) | || | 74.0"" (188cm) | Reach | 75.0"" (191cm) | || | Kings MMA | Gym | Kill Cliff FC | Vettori vs. Allen Fight Predictions Fight Predictions Tapology Community Picks: 2,290 Bout Information Event Poster Fight Details - Event: UFC 318: Holloway vs. Poirier 3 - Date: Saturday 07.19.2025 at 06:00 PM ET - Referee: N/A - Venue: Smoothie King Center - Enclosure: Octagon - Location: New Orleans, Louisiana, United States - Bout Billing: Preliminary Card (fight 8 of 14) - Pro/Am: Professional - Weight: 185 lbs (83.9 kg) - Event Links:",2025-04-25,https://www.tapology.com/fightcenter/bouts/996189-ufc-318-marvin-the-italian-dream-vettori-vs-brendan-all-in-allen
UFC 318 – Marvin Vettori vs. Brendan Allen: Preview & Betting Tips,"When Marvin Vettori and Brendan Allen were originally slated to headline UFC Fight Night 240 in April 2024, fans expected a brawl between two top level middleweights. But with Vettori forced out due to injury, tensions between the two only escalated and resulted in punches being thrown at the Hard Rock Live in Florida when they met at the PFL Playoffs in 2024. That rivalry finally boils over this weekend at UFC 318. Vettori (19-8-1) is taking this fight so soon after the tragic death of his brother earlier this year, but reports suggest the Italian middleweight is channeling that grief into training and will fight in honour of his brother. Vettori is physically and mentally tough having never been finished in the UFC, and he remains one of the division’s most frustrating puzzles. Allen (24-7) looked like a dark horse title contender heading into 2024 but has since stumbled badly, dropping back-to-back fights. This is his first real skid since joining the UFC, and he needs a win to get back on track. Fortunately for Allen, UFC 318 takes place in his home state, and that could play a role. Marvin Vettori – Odds 3.05 (Bet MGM) Record: 19-8-1 Age: 31 Height: 6ft Reach: 74” Weight: Middleweight Stance: Southpaw Brendan Allen – Odds 1.38 (Bet MGM) Record: 24-7 Age: 29 Height: 6ft2 Reach: 75” Weight: Middleweight Stance: Orthodox Vettori is known for his durability, cardio, and pressure-heavy style, and as mentioned earlier, he’s never been finished in the UFC, which is some feat considering some of the high level strikers he’s faced. Even if Allen gets early success, Vettori’s ability to walk through fire and make it a war could be the difference. Allen has never lacked grit or finishing ability, especially on the mat, and if he can force this fight to the ground, he could get Vettori in trouble. The issue is, the Italian is such a compact fighter that he’s difficult to hurt or even take down. On top of that, his chin and cardio are top notch. This one should be an absolute banger though due to the recent beef they’ve had with each other. And with the emotions running high outside of the feud, I think both men will leave everything in the cage on Saturday night. This is a must-win fight for both men, albeit for different reasons. Allen needs to stop the bleeding and avoid a three-fight skid. Meanwhile, Vettori is fighting through tragedy and motivated by something much deeper than the sport. The bookies are favouring the American in this one, probably due to his finishing ability, but Vettori is definitely a live dog. I expect a high-paced scrap, fueled by emotion. Allen will have his moments early, but Vettori’s experience, cardio, and pressure might just see him stop a two-fight losing streak for himself. I’m going with the underdog in this one. Marvin Vettori moneyline at odds of 3.05. More must-reads: Get the latest news and rumors, customized to your favorite sports and teams. Emailed daily. Always free!",2025-07-14,https://www.yardbarker.com/mma/articles/ufc_318_marvin_vettori_vs_brendan_allen_preview_betting_tips/s1_17349_42451605
"Marvin Vettori vs Brendan Allen: Odds, Analysis & AI Pick","Marvin Vettori vs Brendan Allen fight analysis Fight Overview Get ready for an explosive Middleweight showdown as Marvin Vettori and Brendan Allen lock horns on the Preliminary Card of UFC 318 at the Smoothie King Center in New Orleans, Louisiana. This pivotal bout is slated to kick off on Sunday, July 20, 2025, with the fighters expected to hit the Octagon at approximately 2:00 AM ET. Both competitors sit near the top of the division: Vettori is ranked #10 and Allen holds the #11 spot, making this clash a true crossroads battle with significant implications for a future title push. Vettori, the Italian warrior known for his relentless pace and cardio, brings a 19-8-1 professional record into this contest. A veteran of big-time wars—most recently dropping a unanimous decision to Roman Dolidze in March—Marvin prides himself on suffocating pressure and top-level takedown defense. His stats speak volumes: a 70% takedown defense, 57% significant strike defense, and a career average fight time of 17:25. At 31 years old, “The Italian Dream” combines seasoned ringcraft with world-class durability, making him a formidable underdog against anyone in the Top 15. On the other side stands Brendan Allen, a 29-year-old American submission specialist who has amassed a glowing 24-7-0 record since debuting in 2019. Boasting 14 submission victories—including stunning first-round finishes—Allen is one of the most dangerous grapplers in the division. His key metrics include a 38% takedown accuracy, 46% significant strike defense, and an average fight duration of just 10:22, thanks largely to his ability to end fights early. Despite back-to-back decision losses to Anthony Hernandez and Nassourdine Imavov, Allen remains a heavy favorite due to his dynamic ground game and evolving stand-up. Betting Odds Snapshot Oddsmakers have made Allen the clear favorite, with his moneyline ranging from -265 (FanDuel) to -298 (DraftKings). In contrast, Vettori is the underdog, trading anywhere between +200 (FanDuel) and +240 (DraftKings). Those odds reflect the market’s faith in Allen’s finishing prowess and younger age advantage, while recognizing Vettori’s gritty resilience and championship-caliber experience. Whether you’re a seasoned bettor or a fight-night enthusiast, this matchup offers compelling storylines: Can Vettori weather Allen’s submission onslaught and drag this fight into deep waters? Or will Allen continue his ascent by breaking through a top-10 opponent and staking his claim as a title contender? Tune in on July 20 to find out. Live odds Live and historic odds as well as more fighter statistics and insights for Marvin Vettori vs Brendan Allen can be found on the fighter matchup page. All the fighter matchups and live odds for Holloway vs Poirier 3 can be found on the Holloway vs Poirier 3 event page. Matchup Preview and Fighter Profiles Brendan Allen Profile Age & Background - Age: 29 - Hometown: Beaufort, United States - Fighting Style: MMA with a heavy emphasis on Brazilian Jiu-Jitsu - UFC Record: 24-7-0 Recent Form - Loss vs Anthony Hernandez (Unanimous Decision) – Feb. 2025 - Loss vs Nassourdine Imavov (Unanimous Decision) – Sept. 2024 - Win vs Chris Curtis (Split Decision) – Apr. 2024 - Win vs Paul Craig (Submission, R3 0:38) – Nov. 2023 - Win vs Bruno Silva Blindado (Submission, R1 4:39) – June 2023 Allen has won 3 of his last 5 bouts, all by his hallmark submission prowess or narrow decisions. Two recent unanimous decision losses suggest vulnerability against elite strikers and wrestlers who can neutralize his ground attack. Strengths - Submission Specialist: 14 of 24 wins by submission, showcasing elite grappling transitions and late-round attacks. - First-Round Finisher: 11 pro fights ended in Round 1, reflecting explosive offense early. - Striking Accuracy: 54% significant strike accuracy, above division average, indicating clean, effective stand-up. - Average Fight Time: 10:22, the shortest of both fighters, underscoring his aggressiveness. Weaknesses - Significant Strike Defense: 46%, suggesting he absorbs a high volume of clean shots when pressured. - Takedown Defense: 57%, lower than division elite; vulnerable if opponent chains strikes and takedowns. - Cardio in Deep Waters: Lower average fight time may point to fading late; has yet to prove five-round gas tank. Marvin Vettori Profile Age & Background - Age: 31 - Hometown: Trento, Italy - Fighting Style: Well-rounded MMA blending wrestling, Muay Thai, and relentless pressure - UFC Record: 19-8-1 Recent Form - Loss vs Roman Dolidze (Unanimous Decision) – Mar. 2025 - Loss vs Jared Cannonier (Unanimous Decision) – June 2023 - Win vs Roman Dolidze (Unanimous Decision) – Mar. 2023 - Loss vs Robert Whittaker (Unanimous Decision) – Sept. 2022 - Win vs Paulo Costa (Unanimous Decision) – Oct. 2021 Vettori has alternated wins and losses against top-15 opponents, demonstrating elite durability but inconsistency against high-caliber strikers and southpaw power. Strengths - Takedown Defense: 70%, one of the best in the division, able to shrug off takedown attempts and keep fights standing on his terms. - Significant Strike Defense: 57%, absorbing fewer strikes than most middleweights, leveraging head movement and footwork. - Cardio & Durability: Average fight time of 17:25 and no stoppage losses in UFC, thrives in deep rounds and five-round wars. - Experience: Debuted in 2016, five-round veteran with championship-caliber conditioning and fight IQ. Weaknesses - Finishing Rate: Only 2 knockout wins in 19 victories; lacking one-punch power to deter aggressive opponents. - Striking Accuracy: 46%, trailing Allen, may struggle to land meaningful counters against high-volume strikers. - Submission Offense: While possessing 9 submissions, he is less explosive off his back compared to Allen’s relentless grappling. Head-to-Head Dynamics This bout will pit Allen’s submission arsenal and striking efficiency against Vettori’s elite takedown defense and cardio. Allen must pressure Vettori early, mix level changes, and avoid deep waters where Vettori’s endurance and top-tier defense shine. Conversely, Vettori will look to frustrate Allen’s grappling with sprawls, clinch striking, and drag the fight into championship rounds. The outcome hinges on whether Allen can secure early takedowns or finish on the feet before Vettori’s gas tank advantage emerges. Betting Odds and Line Movement Current Odds Snapshot Heading into UFC 318’s preliminary card, Brendan Allen is the clear favorite across major sportsbooks, while Marvin Vettori slots in as the underdog. Here’s a look at the current moneylines: - Brendan Allen (Favorite) - FanDuel: -265 - Caesars: -290 - DraftKings: -298 - BetOnline.ag: -270 - BetRivers: -278 - Marvin Vettori (Underdog) - FanDuel: +200 - Caesars: +235 - DraftKings: +240 - BetOnline.ag: +230 - BetRivers: +210 The gap between Allen’s most generous line (-265 at FanDuel) and Vettori’s best price (+240 at DraftKings) underscores where the market’s confidence lies. If you’re backing the underdog, DraftKings currently offers the juiciest payday; for the favorite, FanDuel presents the highest profit potential. Line Movement Analysis A look at the odds history reveals some noteworthy swings in the weeks leading up to fight night: - Brendan Allen - BetOnline.ag shifted from -260 (Jun. 29) to -290 (Jul. 1), before settling around -280 (Jul. 6). - Caesars mirrored this move, opening around -290 (Jul. 7). - DraftKings slid further to -298 by Jul. 7, indicating heavy action on Allen. - Marvin Vettori - BetOnline.ag opened at +220 (Jun. 29) then ticked up to +250 (Jul. 1), ultimately resting at +240 (Jul. 6). - Caesars moved from +235 (Jul. 7) consistent with moderate backing. - BetRivers holds firm at +210 since Jul. 2, suggesting less volatility on Vettori bets. These swings show Allen’s line drifting downward—a sign of increased money or sharp interest on the favorite—while Vettori briefly saw better value (+250) before bookmakers adjusted. Payout Scenarios & Implied Odds If you had $1,000 to wager: - Backing Brendan Allen at -265 (FanDuel): - Return: $1,377 (including your $1,000 stake) - Implied Probability: ~73% - Backing Marvin Vettori at +240 (DraftKings): - Return: $3,400 (including your $1,000 stake) - Implied Probability: ~29% Those figures illustrate how the market heavily favors Allen. Yet, if you believe “The Italian Dream” can defy the odds—especially with his elite cardio and takedown defense—locking in +240 at DraftKings offers the most attractive underdog payout. Conversely, for a tighter margin on the favorite, FanDuel’s -265 provides the best bang per buck. Whether you lean into Allen’s finishing upside or Vettori’s championship-caliber experience, understanding these odds and their movement is crucial to finding value before the first bell rings. AI Pick: Marvin Vettori Click the buttons below to read more about why the AI picked Marvin Vettori, or see all the AI picks for Holloway vs Poirier 3. Our AI is trained on our fight data and picks winners for every fight. You can track all the picks, accuracy, and profit for free on our ai-picks page.",2025-07-07,https://www.ufcbetcompanion.com/event-fighter/3692-Marvin%20Vettori%20vs%20Brendan%20Allen/fight-analysis/2380
Marvin Vettori Vs. Brendan Allen - UFC Odds And Fight Preview,"Marvin Vettori vs. Brendan Allen – UFC Odds and Fight Preview Marvin Vettori is set to face Brendan Allen in a heated middleweight showdown at UFC 318, held at the Smoothie King Center in New Orleans. The fight is highly anticipated not just for its potential rankings implications, but also because of the personal bad blood between the two, which boiled over into an infamous casino brawl last year. Originally scheduled to face each other in April 2024, the bout was delayed due to injury but the animosity has only intensified, providing extra spice for this grudge match. Marvin Vettori vs. Brendan Allen – Odds Brendan Allen enters UFC 318 as the clear betting favorite, with his odds consistently around -200 to -270 depending on the online sportsbook platform. Marvin Vettori, meanwhile, is generally considered a sizable underdog with odds in the +175 to +240 range. For example, Allen is -205 at some books, while Vettori can be found at +175 or even +240 for those hoping to maximize a potential underdog payout. In plain terms, betting markets heavily back Allen to win. Traditionally, Vettori’s fights almost always go to decision – he has never been finished in the UFC, and his last eight fights all went the distance. Allen’s recent fights also tend to end in a decision, though his submission game is always a threat. Still, some analysts are predicting there might be a finish in this one, but the dominant betting lines, used alongside football betting software, still lean toward the fight going all the way. The odds started with Allen as a modest favorite (around -200), and as UFC fight night approached, his odds shifted slightly in his favor – reaching as high as -270 at some points – before settling a bit just above -200. This means that most of the betting action and money has been on Allen, driving his odds even further into favorite territory. By contrast, Vettori opened around +170 and his underdog odds grew slightly (up to +240 in some markets) as more people backed Allen. There was a brief period in early July where Vettori’s odds were at their longest, but they settled as bookmakers adjusted to the flow of bets. Allen is favored to win, either by decision or possibly a late submission, and the fight is expected by many to go the distance. The odds moved steadily toward Allen as interest in him as a favorite grew, but Vettori’s toughness means bettors aren’t ruling out a gritty upset or a full three-round war.",2025-07-15,https://www.lowkickmma.com/marvin-vettori-vs-brendan-allen-ufc-odds-and-fight-preview/
UFC 318: Holloway vs. Poirier 3,"""The Italian Dream"" ""All In"" | Marvin Vettori | Brendan Allen | | |---|---|---| | Tale of the tape | || | Wins/Losses/Draws | 19-8-1 | 24-7-0 | | Average Fight Time | 17:25 | 10:22 | | Height | 6' 0"" | 6' 2"" | | Weight | 185 lbs. | 185 lbs. | | Reach | 74"" | 75"" | | Stance | Southpaw | Orthodox | | DOB | Sep 20, 1993 | Dec 28, 1995 | | Striking (Significant Strikes) | || | Strikes Landed per Min. (SLpM) | 4.54 | 3.55 | | Striking Accuracy | 46% | 53% | | Strikes Absorbed per Min. (SApM) | 4.37 | 3.67 | | Defense | 56% | 45% | | Grappling | || | Takedowns Average/15 min. | 1.51 | 1.53 | | Takedown Accuracy | 45% | 38% | | Takedown Defense | 69% | 56% | | Submission Average/15 min. | 0.4 | 1.3 | | Most recent fights (Newest First) | || | Loss - Dolidze | Loss - Hernandez | | | Loss - Cannonier | Loss - Imavov | | | Win - Dolidze | Win - Curtis | | | Loss - Whittaker | Win - Craig | | | Win - Costa | Win - Silva |",1995-12-28,http://ufcstats.com/fight-details/8e1feda9141602f1
Video: Marvin Vettori and Brendan Allen filmed engaging in a brawl following PFL event,"Footage has emerged of Marvin Vettori and Brendan Allen engaging in a tear-up in the aftermath of PFL 8: 2024 Playoffs. The pair had attended the major event at the Hard Rock Live, a venue inside the Seminole Hard Rock Hotel & Casino in Hollywood, Florida, USA, with the intention of just watching the fights, but that all changed when they crossed paths on the casino floor. Marvin Vettori and Brendan Allen clash at PFL 8: 2024 Playoffs With the eyes of the world on the UFC 305 main event between Dricus Du Plessis and Israel Adesanya, Marvin Vettori and Brendan Allen, chose to remind everybody that the PPV headliners aren’t the only ones in the middleweight division that can throw down. Following the PFL show, the rivals met face-to-face and seemingly couldn’t withhold their anger. Multiple videos of the shocking incident have appeared online. It seems that Allen sprints over to his rival and punches him in the face. Unsurprisingly, the footage quickly went viral, with fans desperately trying to figure out exactly what happened. WOW: Israel Adesanya reveals the craziest story from his kickboxing career ahead of UFC 305 MMA Mania’s Alex Behunin took to Twitter to reveal what he’s heard. He tweeted: “Okay, here’s an update to the Brendan Allen/Marvin Verttori brawl at PFL, per numerous sources. After PFL, Vettori tried to swing at Tuco Tokkos and missed Michael Johnson then moved everyone out of the way and then Brendan Allen stepped in and hit Vettori with a 1-2, which made him fall into a roulette table.” In an attempt to tell his side of the story, Vettori posted a clip to his Instagram Stories, showing that his face had not sustained any damage from the incident. He also tweeted: “One armed with seven guys on the other side, but show your face because I may have clipped u couple time before the recording, lol.” Dana White gives his stance on the Marvin Vettori and Brendan Allen scrap Taking the opportunity to fire shots at the rival promotion, Dana White posted: “Had to be fight of the night if it was at PFL.” Ultimately, the chaos will only whet the appetite of fans who want to see the pair of sporting titans square off in the cage. They were previously scheduled to battle it out at UFC Fight Night 240 in April. Alas, Vettori pulled out due to injury. However, while the bout has failed to materialize in the past, now could be the perfect time to get the rivals in the octagon, with the opportunity to settle their differences once and for all. Sheesh: Footage emerges of Merab Dvalishvili confronting a heckler at Craig Jones Invitational",2024-08-17,https://bloodyelbow.com/2024/08/17/video-marvin-vettori-and-brendan-allen-filmed-engaging-in-a-brawl-following-pfl-event/
Bad Blood! Brendan Allen vs. Marvin Vettori (re)booked for UFC 318 in New Orleans,"Top 15-ranked Middleweights will finally clash this summer. MMAmania.com confirmed with multiple sources today that No. 10-ranked Marvin Vettori will collide with No. 11-seeded Brendan Allen at UFC 318 on July 19, 2025, inside Smoothie King Center in New Orleans, Louisiana. The Middleweight contenders were slated to meet at UFC Vegas 90, but Vettori pulled out weeks before the bout. Tensions boiled over four months later when their heated trash talk erupted into a brawl at a Florida casino (details here). This fight carries serious bad blood. Vettori (19-8-1) faces a formidable challenge while grappling with personal tragedy, having recently lost his younger brother in a devastating house fire. The 31-year-old Italian is riding the first two-fight losing streak of his career, losing to Roman Dolidze in his most recent outing, and getting destroyed by Jared Cannonier before that. Allen (24-7) gets his long-awaited homecoming, fighting in front of a Louisiana crowd. Like Vettori, the Louisiana native is also on a two-fight losing streak. “All-In” fell short in a competitive decision against Anthony Hernandez at UFC Seattle in February and struggled in a lackluster defeat to current No. 1-ranked Nassourdine Imavov. With this grudge match added, checkout the current UFC 318 card: Max Holloway vs. Dustin Poirier 3 Marvin Vettori vs. Brendan Allen Amanda Ribas vs. Tabatha Ricci Islam Dulatov vs. Adam Fugitt Remember that MMAmania.com will deliver LIVE round-by-round, blow-by-blow coverage of the entire UFC 318 fight card right here, starting with the ESPN/ESPN+ “Prelims” matches online, which are scheduled to begin at 6:15 p.m. ET, before the main card start time at 10 p.m. ET (also on ESPN+). To check out the latest and greatest UFC 318: “Holloway vs. Poirier 3” news and notes be sure to hit up our comprehensive event archive right here. Loading comments...",2025-05-07,https://www.mmamania.com/2025/5/7/24425877/bad-blood-brendan-allen-vs-marvin-vettori-re-booked-for-ufc-318-in-new-orleans
"Marvin Vettori vs Brendan Allen Pick, 07/19/2025 Predictions UFC 318 Odds","Marvin Vettori vs Brendan Allen Pick, 07/19/2025 Predictions UFC 318 Odds Marvin Vettori vs Brendan Allen UFC 318 Smoothie King Center in New Orleans Saturday, July 19, 2025 Marvin Vettori will enter the Octagon against Brendan Allen at UFC 318 on Saturday, July 19, 2025. The moneyline has Vettori priced at +157 while Allen is at -206. Marvin ""The Italian Dream"" Vettori walks into the Octagon with a record of 19-8-1. The 31-year-old records a weight of 185 lbs and stands 6'0"". The southpaw fighter stretches 74"". Brendan ""All In"" Allen stands in at 6'2"" and weighs 185 lbs. The orthodox fighter holds a mark of 24-7-0. The 29-year-old reaches 75"". Regarding significant strikes, Marvin Vettori is landing 4.54 per min while Brendan Allen is landing 3.55 significant strikes per minute. Vettori lands 46% of the significant strikes he throws and Allen connects on 53%. Concerning their defense in the cage, ""The Italian Dream"" absorbs 4.37 significant strikes per minute and ""All In"" takes 3.67. Vettori also defends against 56% of the significant strikes his opponents throw his way and Allen thwarts 45% of the strikes thrown his way. | UFC 318 | Marvin Vettori | Brendan Allen | |---|---|---| | Opening Odds | +157 | -206 | | Record | 19-8-1 | 24-7-0 | | Average Fight Time | 17:25 | 10:22 | | Height | 6'0"" | 6'2"" | | Weight | 185 lbs | 185 lbs | | Reach | 74"" | 75"" | | Strikes Landed Per Minute | 4.54 | 3.55 | | Striking Accuracy | 46% | 53% | In the grappling category, Marvin Vettori is the lesser skilled wrestler as he takes his opponents to the canvas 1.51 times per 3 rounds. Vettori is taking his opponents to the canvas on 45% of his attempts and stuffing 69% of takedowns his opponents have attempted. Allen is finishing his takedown tries on 38% of his takedown attempts and stopping 56% of all takedowns attempted by his opposition. In terms of submission attempts, Vettori is the lesser skilled fighter by going for 0.4 finishes per 3 rds while Allen tries 1.3 finishes per 15 minutes. Get all of our Free UFC Picks In his last appearance in the Octagon, Marvin Vettori fought Roman Dolidze and took a loss on the night by unanimous decision in round 5. Dolidze ended up landing 141 of 340 total strikes attempted in that fight. Vettori walked away from this fight having landed 112 of 221 total strikes. When it comes to significant strikes, Dolidze ended up landing 141 of 338, which gave him a rate of 41%. He landed 85 of 253 significant strikes directed at the head. On the other side, Vettori landed 50% of his significant strikes by landing 111 of 220. Of all the significant strikes, he landed 72 of 173 aimed at the head. 97% of the significant strikes landed by Dolidze and 99% of them connected on by Vettori were tallied at a distance. In the last fight for Brendan Allen, he faced off with Anthony Hernandez and wound up walking away in defeat by way of unanimous decision in round 3. Hernandez ended up connecting on 40% of his significant strikes at distance while Allen connected on 71% of the significant strikes he attempted from distance. Allen ended up connecting on 53% of the significant strikes he attempted by landing 14 of 26. He connected on 8 of 19 significant strikes aimed at the head. Hernandez landed 30 of 42 significant strikes in that contest. In terms of accuracy for the significant strikes, he landed 30 of 42 aimed at the head. In regard to total strikes attempted in that fight, Hernandez ended up landing 72 of 91 and Allen landed 53 of 71 of all the strikes he attempted. Other bouts to watch out for Another fight to keep an eye on is when Francisco Prado encounters Nikolay Veretennikov. Prado comes into this bout with a mark of 12-3-0. The 23-year-old records a weight of 170 lbs and stands in at 5'10"". The orthodox fighter reaches 69"". Veretennikov stands 6'1"" and weighs in at 170 lbs. The orthodox fighter will be looking to add a win to his career total of 12-6-0. The 35-year-old reaches 74"". Regarding grappling, Francisco Prado is averaging a takedown 0.31 times per 3 rounds and Nikolay Veretennikov is averaging a takedown 0.50 times per 3 rounds. When talking about striking, Prado lands 4.38 strikes/minute and is landing 41% of the strikes that he throws. The other fighter in this bout is Nikolay Veretennikov, who is connecting on 56% of the strikes he has tried and lands 2.73 per min. If you're going to be watching the fights, don't miss when Robert Valentin is set to enter the Octagon against Ateba Gautier. Gautier comes into this fight holding a mark of 7-1-0. The 23-year-old weighs in at 185 lbs and comes in at 6'4"". The switch fighter has an arm span of 81"". Valentin comes in at 6'2"" and weighs in at 185 lbs. The orthodox fighter steps into the Octagon holding a mark of 11-5-0 (1 NC). The 30-year-old stretches 77"". Regarding wrestling, Ateba Gautier is able to defend against 90% of the takedowns fighters have gone for and is taking his opponents down on 10% of his tries. Valentin is taking his opponents to the mat on 10% of the tries he takes and is able to deflect 55% of all takedown tries against him. Concerning striking, Gautier is taking 2.23 strikes/minute while he connects on 6.06 strikes per min. Valentin, moreover, is absorbing 2.11 strikes per min and is connecting on 1.10 per minute. Who will win tonight's UFC match against the spread? Guy Bruhn's Pick: Take Marvin Vettori (+157) Get $60 worth of FREE premium member picks. No Obligation. No Salesman. No Credit Card. Fast Sign up with Instant Access Click Here Get all of Today's Free UFC Picks Get all of Today's Expert UFC Picks Most Recent UFC Picks - Dan Ige vs Patricio Freire Pick, 07/19/2025 Predictions UFC 318 Odds - Jimmy Crute vs Marcin Prachnio Pick, 07/19/2025 Predictions UFC 318 Odds - Kevin Holland vs Daniel Rodriguez Pick, 07/19/2025 Predictions UFC 318 Odds - Kyler Phillips vs Vinicius Oliveira Pick, 07/19/2025 Predictions UFC 318 Odds - Michael Johnson vs Daniel Zellhuber Pick, 07/19/2025 Predictions UFC 318 Odds - Francisco Prado vs Nikolay Veretennikov Pick, 07/19/2025 Predictions UFC 318 Odds - Carli Judice vs Nicolle Caliari Pick, 07/19/2025 Predictions UFC 318 Odds - Max Holloway vs Dustin Poirier Pick, 07/19/2025 Predictions UFC 318 Odds - Ryan Spann vs Lukasz Brzeski Pick, 07/19/2025 Predictions UFC 318 Odds - Adam Fugitt vs Islam Dulatov Pick, 07/19/2025 Predictions UFC 318 Odds",2025-07-15,https://www.docsports.com/free-picks/ufc/2025/marvin-vettori-vs-brendan-allen-pick-07-19-2025-predictions-ufc-318-odds.html
Marvin Vettori vs Brendan Allen,"UFC 318 is live this weekend (Sat., July 19, 2025), featuring a pay-per-view (PPV) main event of Max Holloway vs. Dustin Poirier 3 for the BMF belt. Checkout the odds for that title fight (and the... UFC 318 media day video, live stream interviews for the Max Holloway vs. Dustin Poirier 3-led pay-per-view (PPV) event on Sat. night (July 19, 2025) inside Smoothie King Center in New Orleans,... Get UFC 318 fight card, start time for Saturday’s big event in New Orleans. Date: July 19, 2025 | Marvin Vettori | Brendan Allen | | |---|---|---| | 31 | age | 29 | | 6'0 | height | 6'2 | | 170lbs | weight | 185lbs |",2025-07-15,https://www.mmafighting.com/fight/15648/marvin-vettori-vs-brendan-allen
Marvin Vettori vs. Brendan Allen – Preview & Fight Analysis,"UFC Fight Night: Vettori vs. Allen is scheduled to take place on Saturday, April 6, 2024, in Las Vegas, Nevada, USA. In this matchup on the fight card, Lauren “The Italian Dream” Murphy will take on Karine “All In” Silva in the Middleweight bout. You can view the complete UFC Fight Night card. Murphy brings a unique southpaw fighting stance with an 74″ reach. In contrast, Silva, an orthodox fighter, stands with a 75″ reach. These variations in their styles can have a significant impact inside the Octagon. With a 45% striking accuracy, Murphy has shown his precision in landing significant strikes, averaging around 4.56 per minute. On the other hand, Silva boasts a 54% striking accuracy, landing approximately 3.87 significant strikes per minute. In this post, we will break down Marvin Vettori vs. Brendan Allen matchup. Let’s take a look at the fighter’s ages, their height, records, reach, fight stats, and more below ⤵ The 31-year-old, Marvin Vettori is coming in with a 19-7-1 record. Murphy will be fighting for the first time since a loss via unanimous decision against Jared Cannonier at UFC Fight Night: Vettori vs. Cannonier in June. Silva, meanwhile, is coming off a submission win against Marvin Vettori on June 17, 2023, at UFC Fight Night: Allen vs. Craig and holds a 23-5-0 record. | Marvin Vettori | vs. | Brendan Allen | | 31 | Age | 29 | | 6′ 0″ | Height | 6′ 2″ | | 185 lbs. | Weight | 185 lbs. | | 74″ | Reach | 75″ | | 19-7-1 | Record | 23-5-0 | | Southpaw | Stance | Orthodox | Marvin Vettori has a southpaw fighting stance with an 74″ reach. The 29-year-old Brendan Allen is an orthodox fighter with a 75″ reach. An orthodox fighter stands with their left side forward and jabs with their left hand. The southpaw fighter is the opposite. Southpaw stands with their right side forward and jabs with their right hand. In most cases, orthodox fighters are right-handed; if you are left-handed, you fight southpaw. Marvin Vettori stats → Murphy’s striking accuracy is 45%. → Murphy lands 4.56 significant strikes per minute. → Murphy’s takedown accuracy is 45%. → Murphy’s takedown average is 1.66 per 15 minutes. → Murphy’s takedown defense is 69%. Murphy comes in with 45% striking accuracy, typically landing about 4.56 significant strikes every minute. Conversely, Silva fires at 54% accuracy, landing about 3.87 significant strikes per minute. Marvin Vettori also has a 45% takedown accuracy and, on average, gets around 1.66 takedowns every 15 minutes, compared to Silva’s 1.36 takedowns and 58% takedown accuracy. Brendan Allen stats → Silva’s striking accuracy is 54%. → Silva lands 3.87 significant strikes per minute. → Silva’s takedown accuracy is 47%. → Silva’s takedown average is 1.36 per 15 minutes. → Silva’s takedown defense is 58%. Karine spent, on average, 8:40 minutes in the Octagon, and Lauren has an average fight time of 16:55 minutes. Considering their records, fighting styles, and recent performances, this matchup looks to be an interesting clash of skills and strategies. Who will come out victorious, Lauren or Karine? Sound off in the comments. Event Name | UFC Fight Night: Vettori vs. Allen | Date | April 6, 2024 | Location | Las Vegas, Nevada, USA | Matchup | Marvin Vettori vs. Brendan Allen | You can view the scheduled UFC Fight Night fight card, upcoming UFC schedule 2023, and latest MMA news.",2024-01-06,https://www.mmascene.com/news/marvin-vettori-vs-brendan-allen-fight/
