title,text,publish_date,url
"Paulo Costa vs. Roman Kopylov, UFC 317 | MMA Bout | Tapology","Bout Cancelled Prior to Event Reason: Bout Rescheduled Fighter Comparison | Costa | Kopylov | ||| | 14-4-0 MMA | Pro Record | 14-3-0 MMA | || | 2024 2020 | Last 5 Fights | 2025 2023 | || | | Nation | | || | Belo Horizonte Minas Gerais | Fights out of | Novosibirsk Novosibirskaya oblas | || | 34 +2 mos, 1 week | Age at Fight | 34 +1 mos, 3 wks, 3 days | || | 185.0 lbs (83.9 kgs) | Latest Weight | 185.5 lbs (84.1 kgs) | || | 6'1"" (185cm) | Height | 6'0"" (183cm) | || | 72.0"" (183cm) | Reach | 75.0"" (191cm) | || | Team Borracha | Gym | N/A | Costa vs. Kopylov Fight Predictions Fight Predictions Tapology Community Picks: 1,284 Bout Information Event Poster Fight Details - Event: UFC 317: Topuria vs. Oliveira - Date: Saturday 06.28.2025 at 07:00 PM ET - Referee: N/A - Venue: T-Mobile Arena - Enclosure: Octagon - Location: Las Vegas, Nevada, United States - Bout Billing: Main Card - Pro/Am: Professional - Weight: 185 lbs (83.9 kg) - Event Links:",2025-02-11,https://www.tapology.com/fightcenter/bouts/982658-ufc-317-paulo-the-eraser-costa-vs-roman-kopylov
"Paulo Costa vs. Roman Kopylov prediction, odds, pick for UFC 318","UFC 318: Dustin Poirier versus Max Holloway continues on the main card with a fight between Paulo Costa and Roman Kopylov in the middleweight division on Saturday. Check out our UFC odds series for our Costa-Kopylov prediction and pick. Paulo Costa (14-4) heads into UFC 318 after dropping razor-close decisions to Sean Strickland and Robert Whittaker in his last two outings. Now, the Brazilian powerhouse seeks to snap his skid and prove he’s still a top contender by turning back surging Russian Roman Kopylov this Saturday in New Orleans. Roman Kopylov (15-3) returns to UFC 318 after a highlight-reel, last-second head-kick knockout over Chris Curtis in January, rebounding from a submission loss to Anthony Hernandez. Previously, he edged César Almeida via split decision. Now, the surging Russian striker looks to keep the momentum rolling by stunning Paulo Costa this Saturday in New Orleans. Here are the UFC 318 Odds, courtesy of DraftKings. UFC 318 odds: Paulo Costa-Roman Kopylov odds Paulo Costa: +185 Roman Kopylov: -225 Over 2.5 rounds: -230 Under 2.5 rounds: +175 *Watch sports LIVE with fuboTV (Get Access | Save $30)* Why Paulo Costa will win - Last Fight: (L) Sean Strickland – DEC - Last 5: 1-4 - Finishes: 12 (11 KO/TKO/1 SUB) Paulo Costa enters UFC 318 with the physical gifts and experience to overwhelm Roman Kopylov. Costa’s blend of size, athleticism, and explosive power has given elite middleweights trouble, allowing him to land 6.22 significant strikes per minute at a highly efficient 58% accuracy rate. When Costa is focused and prepared, he pressures opponents from the opening bell, initiating brutal exchanges that sap their energy and force mistakes. Costa’s evolution into a more strategic, multi-dimensional fighter is a key advantage in this matchup. He has recently incorporated effective leg kicks and better takedown setups, making his attacks less predictable and his output more manageable over three rounds. With a 75% takedown success rate, Costa can now use wrestling threats to keep Kopylov guessing, disrupt his rhythm, and create opportunities for explosive ground-and-pound or clinch work. Kopylov thrives at range, but Costa’s forward push and improved energy management can pressure the Russian, limit his kicking game, and turn the fight into close, damaging exchanges. If Costa controls the center, mixes up his targets, and attacks the body early, he can wear Kopylov down and drag him into deeper waters, where his experience against world-class opposition could prove decisive. Expect Costa’s sharpness and finishing instincts to produce powerful moments, allowing him to dictate the tempo and secure a hard-earned win. Why Roman Kopylov will win - Last Fight: (W) Chris Curtis – KO/TKO R3 - Last 5: 4-1 - Finishes: 12 (12 KO/TKO) Roman Kopylov’s best route to victory over Paulo Costa at UFC 318 lies in his recent momentum and refined striking arsenal. The surging Russian comes in with back-to-back wins, showcasing not just his finishing ability but also improved defensive discipline and patience in the pocket. He utilizes excellent footwork and range management, avoiding heavy return fire while wearing opponents down with accurate, high-percentage shots to the body and head. Kopylov’s striking numbers are impressive, landing nearly five significant strikes per minute at a 50% clip, coupled with a superior 55% defensive rate. His body attacks, boasting an 85% success rate, can sap Costa’s cardio and slow down the explosive bursts Costa relies on. With 87% takedown defense, Kopylov is well-equipped to stifle Costa’s wrestling attempts and force a stand-up battle, the area where Kopylov’s poise and rhythm grant him a clear edge. Costa’s output has become less consistent, and he absorbs far more punishment per minute (6.56) than Kopylov (4.86). If Kopylov manages distance, conserves energy for the later rounds, and attacks the body, he can exploit defensive lapses and take over as the bout progresses. In a measured, technical war, Kopylov’s accuracy, composure, and tactical improvements put him in position to outpoint or even finish Costa, earning a breakthrough win on the UFC 318 main card. Final Paulo Costa-Roman Kopylov prediction & pick Heading into UFC 318, Paulo Costa and Roman Kopylov square off in a high-stakes middleweight clash with stylistic intrigue. Costa brings an impressive blend of size, power, and aggression, having tested himself against the division’s elite. His relentless pressure and high output often force opponents into defensive shells, creating openings for heavy shots and cage control. If Costa dictates the pace early and finds his rhythm in the pocket, his experience and explosiveness could prove overwhelming. Kopylov, meanwhile, arrives riding momentum with back-to-back wins and a technical, body-focused game that has frustrated his recent opponents. His footwork and range management allow him to strike and evade, and with superior defensive awareness, Kopylov is built to capitalize on defensive lapses, particularly if Costa wanes in the later rounds. While Costa’s experience at the top level is significant, Kopylov’s composure under fire and tactical improvements make this a closely contested battle. Expect fireworks, but the edge goes to Costa’s finishing instincts and ability to push a relentless pace, resulting in a late stoppage or unanimous decision win for the Brazilian powerhouse. Final Paulo Costa-Roman Kopylov Prediction & Pick: Paulo Costa (+185), Over 2.5 Rounds (-238)",2025-07-17,https://clutchpoints.com/betting/paulo-costa-vs-roman-kopylov-prediction-odds-pick-for-ufc-318
UFC 317 loses fan-favorite main card fight,"UFC 317 loses fan-favorite main card fight Per reports, UFC 317 has lost a massive middleweight contender fight from the main card. The Vegas PPV is headlined by two title fights, featuring Ilia Topuria vs. Charles Oliveira for the lightweight belt, and Alexandre Pantoja defending his flyweight throne against Kai Kara-France. Fans were excited for the undercard, which is set to feature a lineup of fan favorites and up-and-coming stars, including Payton Talbott and Jacobe Smith. UFC Atlanta fighter breaks silence after controversial fight ending Paulo Costa vs. Roman Kopylov no longer on the UFC 317 PPV As reported by Bert MMA, and given credence by MMA Fighting's Damon Martin, the main card fight between Paulo Costa and Roman Kopylov is off. According to Martin, the fight is indeed cancelled and should be rebooked for UFC 318- Dustin Poirier's retirement card opposite Max Holloway. Thus continues Costa's rocky history of UFC cancellations. 'The Eraser' has had eight cancellations in ten fights dating back to 2017. Costa has been responsible for four of these cancellations. It's entirely possible that the fight has been rebooked for UFC 318 to account for its lacklustre fight lineup. The BMF-headlined PPV is lacking name appeal, and would welcome Costa-Kopylov on the main card. This doesn't mean the UFC 317 card isn't diminished, with eleven fights scheduled: - Ilia Topuria vs. Charles Oliveira; vacant light title - (c) Alexandre Pantoja vs. Kai Kara-France; fly title - Beneil Dariush vs. Renato Moicano; light - Viviane Araujo vs. Tracy Cortez; fly - Jack Hermansson vs. Gregory Rodrigues; middle - Terrance McKinney vs. Viacheslav Borshchev; light - Hyder Amil vs. Jose Delgado; feather - Brandon Royval vs. Joshua Van; fly - Niko Price vs. Jacobe Smith; welter - Jhonata Diniz vs. Alvin Hines; heavy - Payton Talbott vs. Felipe Lima; bantam More MMA Knockout News - Dana White reveals when Jon Jones-Tom Aspinall fight could be announced - Hall of Famer tops latest group of UFC fighters removed from active roster - UFC star claims he's backup fighter for Ilia Topuria vs. Charles Oliveira - UFC Atlanta salaries reveal surprising fighter payouts Stick with MMAKnockout for more FREE coverage of the UFC, MMA, Boxing, WWE, and AEW. Follow MMAKnockout on Facebook, Twitter, and Instagram.",2025-06-17,https://www.si.com/fannation/mma/news/ufc-317-loses-costa-kopylov
Paulo Costa vs. Roman Kopylov officially moved from UFC 317 to next month's UFC 318,"Paulo Costa vs. Roman Kopylov officially moved from UFC 317 to next month's UFC 318 UFC 317 loses Paulo Costa vs. Roman Kopylov due to illness. UFC 317 has lost a notable bout. The middleweight clash between former UFC title challenger Paulo Costa and Roman Kopylov has been moved to next month's UFC 318, which goes down on July 19 at Smoothie King Center in New Orleans, La. Costa won't be able to compete this Saturday in Las Vegas due to illness, thus postponing the bout for the next UFC pay-per-view. The UFC officially announced the news of the change on Monday. Costa is looking to get himself out of a career rut. Since getting a middleweight title shot after going 13-0 in his professional career, Costa has gone 1-4 with his lone win being a unanimous decision victory over Luke Rockhold in 2022. Costa was last seen in action in June 2024 when he lost a split decision to Sean Strickland. In a much more different position, Kopylov attempts to build on his current winning streak. Being 6-1 in his past seven bouts and on a two-fight winning streak, Kopylov looks to establish himself as a contender and add the biggest name he's faced to date in Costa. Kopylov is coming off a TKO win over Chris Curtis in January. Updated UFC 317 fight card - Ilia Topuria vs. Charles Oliveira - Alexandre Pantoja vs. Kai Kara-France - Brandon Royval vs. Joshua Van - Beneil Dariush vs. Renato Moicano - Felipe Lima vs. Payton Talbott - Jack Hermansson vs. Gregory Rodrigues - Hyder Amil vs. Jose Delgado - Viviane Araujo vs. Tracy Cortez - Viacheslav Borshchev vs. Terrance McKinney - Sedriques Dumas vs. Jackson McVey - Jhonata Diniz vs. Alvin Hines - Niko Price vs. Jacobe Smith",2025-06-23,https://mmajunkie.usatoday.com/story/sports/ufc/2025/06/23/ufc-317-paulo-costa-vs-roman-kopylov-officially-moved-ufc-318/84326079007/
Paulo Costa vs Roman Kopylov: Fight Overview,"19 Jul A high-stakes middleweight clash is set for UFC 317 as Paulo Costa takes on Roman Kopylov. Both men are known for their striking power, and this matchup promises fireworks from the opening bell. Costa returns after over a year away following a razor-close split-decision loss to Sean Strickland. Once a title challenger, Costa brings relentless forward pressure, heavy kicks, and a brawling style that has overwhelmed many opponents. Despite recent setbacks, his physicality and fight-ending ability remain potent threats. Kopylov, riding momentum from a TKO win over Chris Curtis, enters with confidence. A technical southpaw with sharp boxing and precision timing, Kopylov has evolved from a counter-striker to a more aggressive finisher. His body attacks and striking diversity have become key weapons during his recent run. This is a stylistic battle between brute force and surgical technique. Costa will look to push the pace and impose his will early, while Kopylov aims to stay composed, use his reach, and find openings with cleaner shots. With both fighters holding double-digit knockout wins and aiming to climb the middleweight rankings, this bout could be a defining moment in either man’s late-career run. The Tale of the Tape data is compiled from publicly available information on Sherdog | Paulo Costa | Roman Kopylov | |---|---| | Brazil | Russia | | 14 - 4 - 0 (11 KOs) | 14 - 3 - 0 (12 KOs) | | middleweight (185 lbs / 83,9 kg) | middleweight (185 lbs / 83,9 kg) | | Age | | | Wins | | | Losses | | | Anthropometry | | The scheduled 3-round middleweight bout will take place on July 19, 2025. The full fight night schedule, including local start times for various countries, is listed below. Check the schedule to see when the event begins in your region. The fight night will start on Saturday, July 19 at 6:00 PM ET (New York time). The fight night will start on Saturday, July 19 at 3:00 PM PT (Los Angeles time). The fight night will start on Saturday, July 19 at 6:00 PM ET (Toronto time). The fight night will start on Saturday, July 19 at 11:00 PM BST (London time). The fight night will start on Sunday, July 20 at 12:00 AM SAST (Johannesburg time). The fight night will start on Sunday, July 20 at 6:00 AM PHT (Manila time). The fight night will start on Sunday, July 20 at 8:00 AM AEST (Sydney time). The fight night will start on Sunday, July 20 at 10:00 AM NZST (Wellington time). Note that the main event ring walk typically takes place about 1 to 1.5 hours after the main card begins. If you're mainly interested in the headline bout, there’s still some time — but it’s always worth watching the full card. You can stream the Costa vs Kopylov fight via ESPN PPV. Disclaimer: Some links to streaming or pay-per-view on this page may be affiliate links. If you make a purchase through them, we may earn a commission — at no extra cost to you. The fight will be held at the Smoothie King Center in New Orleans, Louisiana, USA. Full Fight card for Paulo Costa vs Roman Kopylov: Fight card subject to change | Division | Fighter #1 | Fighter #2 | Notes | |---|---|---|---| | lightweight (155 lbs) | Max Holloway (26 - 8 - 0) | Dustin Poirier (30 - 9 - 0) | UFC 'BMF' (vacant) | | middleweight (185 lbs) | Paulo Costa (14 - 4 - 0) | Roman Kopylov (14 - 3 - 0) | | | welterweight (170 lbs) | Kevin Holland (28 - 13 - 0) | Daniel Rodriguez (19 - 5 - 0) | | | featherweight (145 lbs) | Dan Ige (19 - 9 - 0) | Patricio Freire (36 - 8 - 0) | | | lightweight (155 lbs) | Michael Johnson (23 - 19 - 0) | Daniel Zellhuber (15 - 2 - 0) | | | bantamweight (135 lbs) | Kyler Phillips (12 - 3 - 0) | Vinicius Oliveira (22 - 3 - 0) | | | middleweight (185 lbs) | Marvin Vettori (19 - 8 - 1) | Brendan Allen (24 - 7 - 0) | | | welterweight (170 lbs) | Francisco Prado (12 - 3 - 0) | Nikolay Veretennikov (12 - 6 - 0) | | | middleweight (185 lbs) | Ateba Abega Gautier (7 - 1 - 0) | Robert Valentin (10 - 5 - 0) | | | welterweight (170 lbs) | Adam Fugitt (10 - 4 - 0) | Islam Dulatov (11 - 1 - 0) | | | light heavyweight (205 lbs) | Jimmy Crute (12 - 4 - 2) | Marcin Prachnio (17 - 8 - 0) | | | heavyweight (265 lbs) | Ryan Spann (22 - 11 - 0) | Lukasz Brzeski (9 - 6 - 1) | | | middleweight (185 lbs) | Brunno Ferreira (13 - 2 - 0) | Jackson Mc Vey (6 - 0 - 0) | | | flyweight (125 lbs) | Carli Judice (4 - 2 - 0) | Nicolle Caliari (8 - 3 - 0) |",2012-04-02,https://boxing-schedule.com/mma/costa-vs-kopylov/
Canceled Bout Paulo Costa - Roman Kopylov on UFC 317 28.06.25 | GIDStats.com,Paulo Costa - Roman Kopylov Paulo Costa Costa UFC #13 MW - Age 34 - Reach 72 cm 183 cm - Height 73 cm 185 cm - Leg Reach 39.5 cm 100 cm - Last Weigh-In 185 lbs 84 kg Roman Kopylov Kopylov UFC #14 MW - Age 34 - Reach 75 cm 191 cm - Height 72 cm 183 cm - Leg Reach 41 cm 104 cm - Last Weigh-In 185.5 lbs 84 kg Other Bouts UFC 317 - Ilia Topuria17 - 0 - 012:00 AM ET • 5 x 5Lightweight Champion 155 lbsCharles Oliveira35 - 11 - 0 1 NC - Alexandre Pantoja30 - 5 - 011:30 PM ET • 5 x 5Flyweight Champion 125 lbsKai Kara-France25 - 12 - 0 1 NC - Brandon Royval17 - 8 - 011:00 PM ET • 3 x 5Flyweight Bout 125 lbsJoshua Van15 - 2 - 0 - Beneil Dariush23 - 6 - 110:30 PM ET • 3 x 5Lightweight Bout 155 lbsRenato Moicano20 - 7 - 1 - Payton Talbott10 - 1 - 010:00 PM ET • 3 x 5Bantamweight Bout 135 lbsFelipe Lima14 - 2 - 0 - Jack Hermansson24 - 9 - 09:05 PM ET • 3 x 5Middleweight Bout 185 lbsGregory Rodrigues17 - 6 - 0 - Hyder Amil11 - 1 - 08:40 PM ET • 3 x 5Featherweight Bout 145 lbsJose Delgado10 - 1 - 0 - Viviane Araujo13 - 7 - 08:15 PM ET • 3 x 5Flyweight Bout 125 lbsTracy Cortez12 - 2 - 0 - Terrance McKinney17 - 7 - 07:50 PM ET • 3 x 5Lightweight Bout 155 lbsSlava Borshchev8 - 6 - 1 - Niko Price16 - 9 - 0 2 NC7:25 PM ET • 3 x 5Welterweight Bout 170 lbsJacobe Smith11 - 0 - 0 - Jhonata Diniz9 - 1 - 07:00 PM ET • 3 x 5Heavyweight Bout 265 lbsAlvin Hines7 - 1 - 0,2025-06-28,https://gidstats.com/canceled/ufc_317-2397~paulo_costa_vs_roman_kopylov.html
Ex-title challenger and surging KO artist reportedly targeted for fight at UFC 317,"Ex-title challenger and surging KO artist reportedly targeted for fight at UFC 317 We’re still a few months away from the UFC’s International Fight Week, but it looks like at least one high-profile fight is already coming together for UFC 317. Taking place from June 25 through June 29 in Las Vegas, NV, the UFC’s annual International Fight Week will include the promotion’s 2025 Hall of Fame induction ceremony and a number of other fan-centered events along with what should hopefully be a stacked fight card at T-Mobile Arena on Saturday night. It’s looking increasingly unlikely that UFC 317 will feature the highly-anticipated heavyweight title unification bout between Jon Jones and Tom Aspinall, and while fans are still patiently waiting on main event news it does look like the card will at least feature two of the promotion’s top middleweight contenders. READ MORE: Ian Machado Garry compares rising UFC prospect to Conor McGregor Paulo Costa vs. Roman Kopylov Targeted For UFC 317 According to Australian MMA journalist Benny P, a middleweight bout between former title challenger Paulo Costa and top contender Roman Kopylov is in the works for UFC 317. Currently sitting at #15 in the UFC middleweight rankings, Kopylov stormed into the ranks of the middleweight elite with a streak of four-straight finishes between 2022 and 2023 before running into Anthony Hernandez at UFC 298. The 32-year-old successfully rebounded with a split decision against the formerly-undefeated César Almeida at UFC 302, and he returned to his finishing ways when he stopped Chris Curtis in the final second of a matchup in January that took home “Fight of the Night” honors. READ MORE: Former RIZIN & Bellator champion campaigns for debut at Noche UFC in September Costa Looks To Snap Skid Against Kopylov One of the more unique personalities on the UFC roster, Costa joined the promotion in 2017 and stopped his first four opponents before defeating Yoel Romero via unanimous decision to earn a title shot at then-champion Israel Adesanya. The Brazilian was stopped by Adesanya in the second round and also dropped his next fight before he defeated former Middleweight Champion Luke Rockhold in a wild “Fight of the Night”-winning affair at UFC 278, but Costa came up short in both his Octagon outings last year against another pair of former titleholders in Robert Whittaker and Sean Strickland. READ MORE: UFC Mexico fighter absolutely roasts fan for complaining about lost bet “The Eraser” will look to defend his #12 spot in the middleweight rankings and also snap his current two-fight skid against Kopylov on June 28, and with the event fast-approaching fans can hopefully expect more official news from the promotion in the coming weeks regarding what will be on offer at UFC 317. More MMA Knockout News - UFC CEO Dana White partners with director Zack Snyder for MMA film ""Brawler"" - Mike Perry reveals he got the call to step in for KSI vs. Dillon Danis - UFC reportedly adds savage finisher matchup to Montreal PPV - Former Bellator double-champ teases possible UFC return before retirement Stick with MMAKnockout for more FREE coverage of the UFC, MMA, Boxing.",2025-04-01,https://www.si.com/fannation/mma/news/title-challenger-paulo-costa-ko-artist-roman-kopylov-fight-ufc-317
AI Predicts Paulo Costa vs Roman Kopylov: Who Will Win?,"19 Jul Our AI model analyzes a wide range of data to generate a prediction for the upcoming fight between Paulo Costa and Roman Kopylov. This includes statistics, past performance, style, and momentum. Click the button below to reveal the forecast. Disclaimer: This forecast is for informational purposes only and does not constitute betting advice or a recommendation. No responsibility is taken for any decisions based on this content. The Tale of the Tape data is compiled from publicly available information on Sherdog | Paulo Costa | Roman Kopylov | |---|---| | Brazil | Russia | | 14 - 4 - 0 (11 KOs) | 14 - 3 - 0 (12 KOs) | | middleweight (185 lbs / 83,9 kg) | middleweight (185 lbs / 83,9 kg) | | Age | | | Wins | | | Losses | | | Anthropometry | | The scheduled 3-round middleweight bout will take place on July 19, 2025. The full fight night schedule, including local start times for various countries, is listed below. Check the schedule to see when the event begins in your region. The fight night will start on Saturday, July 19 at 6:00 PM ET (New York time). The fight night will start on Saturday, July 19 at 3:00 PM PT (Los Angeles time). The fight night will start on Saturday, July 19 at 6:00 PM ET (Toronto time). The fight night will start on Saturday, July 19 at 11:00 PM BST (London time). The fight night will start on Sunday, July 20 at 12:00 AM SAST (Johannesburg time). The fight night will start on Sunday, July 20 at 6:00 AM PHT (Manila time). The fight night will start on Sunday, July 20 at 8:00 AM AEST (Sydney time). The fight night will start on Sunday, July 20 at 10:00 AM NZST (Wellington time). Note that the main event ring walk typically takes place about 1 to 1.5 hours after the main card begins. If you're mainly interested in the headline bout, there’s still some time — but it’s always worth watching the full card. You can stream the Costa vs Kopylov fight via ESPN PPV. Disclaimer: Some links to streaming or pay-per-view on this page may be affiliate links. If you make a purchase through them, we may earn a commission — at no extra cost to you. The fight will be held at the Smoothie King Center in New Orleans, Louisiana, USA. Full Fight card for Paulo Costa vs Roman Kopylov: Fight card subject to change | Division | Fighter #1 | Fighter #2 | Notes | |---|---|---|---| | lightweight (155 lbs) | Max Holloway (26 - 8 - 0) | Dustin Poirier (30 - 9 - 0) | UFC 'BMF' (vacant) | | middleweight (185 lbs) | Paulo Costa (14 - 4 - 0) | Roman Kopylov (14 - 3 - 0) | | | welterweight (170 lbs) | Kevin Holland (28 - 13 - 0) | Daniel Rodriguez (19 - 5 - 0) | | | featherweight (145 lbs) | Dan Ige (19 - 9 - 0) | Patricio Freire (36 - 8 - 0) | | | lightweight (155 lbs) | Michael Johnson (23 - 19 - 0) | Daniel Zellhuber (15 - 2 - 0) | | | bantamweight (135 lbs) | Kyler Phillips (12 - 3 - 0) | Vinicius Oliveira (22 - 3 - 0) | | | middleweight (185 lbs) | Marvin Vettori (19 - 8 - 1) | Brendan Allen (24 - 7 - 0) | | | welterweight (170 lbs) | Francisco Prado (12 - 3 - 0) | Nikolay Veretennikov (12 - 6 - 0) | | | middleweight (185 lbs) | Ateba Abega Gautier (7 - 1 - 0) | Robert Valentin (10 - 5 - 0) | | | welterweight (170 lbs) | Adam Fugitt (10 - 4 - 0) | Islam Dulatov (11 - 1 - 0) | | | light heavyweight (205 lbs) | Jimmy Crute (12 - 4 - 2) | Marcin Prachnio (17 - 8 - 0) | | | heavyweight (265 lbs) | Ryan Spann (22 - 11 - 0) | Lukasz Brzeski (9 - 6 - 1) | | | middleweight (185 lbs) | Brunno Ferreira (13 - 2 - 0) | Jackson Mc Vey (6 - 0 - 0) | | | flyweight (125 lbs) | Carli Judice (4 - 2 - 0) | Nicolle Caliari (8 - 3 - 0) | A high-stakes middleweight clash is set for UFC 317 as Paulo Costa takes on Roman Kopylov. Both men are known for their striking power, and this matchup promises fireworks from the opening bell. Costa returns after over a year away following a razor-close split-decision loss to Sean Strickland. Once a title challenger, Costa brings relentless forward pressure, heavy kicks, and a brawling style that has overwhelmed many opponents. Despite recent setbacks, his physicality and fight-ending ability remain potent threats. Kopylov, riding momentum from a TKO win over Chris Curtis, enters with confidence. A technical southpaw with sharp boxing and precision timing, Kopylov has evolved from a counter-striker to a more aggressive finisher. His body attacks and striking diversity have become key weapons during his recent run. This is a stylistic battle between brute force and surgical technique. Costa will look to push the pace and impose his will early, while Kopylov aims to stay composed, use his reach, and find openings with cleaner shots. With both fighters holding double-digit knockout wins and aiming to climb the middleweight rankings, this bout could be a defining moment in either man’s late-career run.",2012-04-02,https://boxing-schedule.com/mma/costa-vs-kopylov/prediction/
"UFC 318 Co-Main Event Odds, Picks And Predictions: Costa Vs. Kopylov","A middleweight matchup between one fighter looking to end a two-fight losing skid and another competitor hoping to extend a two-fight winning streak serves as the co-main event of Saturday’s UFC 318 pay-per-view fight card. In that contest, the No. 13-ranked Paulo Costa meets the No. 14-ranked Roman Kopylov. We preview Costa vs. Kopylov, the penultimate bout on the UFC 318 PPV fight card. UFC 318 features a trilogy bout in the main event, as Max Holloway and Dustin Poirier meet in the PPV headliner. Holloway’s symbolic BMF title is on the line. Meanwhile, the fight is expected to be Poirier’s retirement bout. UFC 318 takes place on Saturday, July 19, at Smoothie King Center in New Orleans, Louisiana. The UFC 318 main card streams on ESPN+ pay-per-view following prelims on ESPN and early prelims on ESPN+. UFC 318 Co-Main Event Preview: Costa Vs. Kopylov Paulo Costa (14-4) was 8-0 and coming off a defense of the Jungle Fight middleweight title when he joined the UFC in 2017. He opened his run with the promotion with four knockouts and one decision. That decision, an August 2019 win over Yoel Romero, earned Costa a shot at Adesanya in September 2020. Adesanya retained his title in that fight, knocking out Costa in the second round. Costa has not been an active competitor in the UFC. Between 2018 and 2022 he stepped into the Octagon once per year. He did not compete at all in 2023. In 2024, Costa went 0-2, losing a unanimous decision to former UFC middleweight champ Robert Whittaker in February and then dropping a split decision to ex-UFC 185 kingpin Sean Strickland in June. Costa has not competed since his loss to Strickland at UFC 302. Costa is 1-4 in his past five UFC outings. His only win during that stretch, which began with the Adesanya loss, was a August 2022 decision win over former UFC middleweight titleholder Luke Rockhold. A former Fight Nights Global middleweight champ, Roman Kopylov (14-3) joined the UFC in 2019 with an 8-0 record. Kopylov had seven straight knockout wins heading into his UFC debut, a fight he lost to Karl Roberson via submission. COVID-19 and visa issues kept Kopylov out of action until October 2021. When he returned to the Octagon, Kopylov dropped a decision to Albert Duraev. Kopylov seemed to find his footing after those back-to-back losses. Between September 2022 and September 2023, he went 4-0 with four knockout wins. That winning streak did not earn Kopylov a spot inside the top 15 of the UFC’s middleweight division, but it did get him booked opposite the No. 15 ranked Anthony Hernandez at UFC 298 in February. Hernandez won that fight via second-round submission. Kopylov came back from that defeat to beat César Almeida at UFC 302. In his most recent outing, Kopylov stopped Chris Curtis via head kick, in a “Fight of the Night” affair on A UFC Fight Night card in January 2025. UFC 318 Co-Main Event Betting Lines And Movement: Costa Vs. Kopylov When the betting lines opened for this fight, Kopylov was the -300 betting favorite over the +250 Costa. The line has shifted. Today, Kopylov is listed at -224, while Costa checks in at +189. UFC 318 Co-Main Event Tale Of The Tape: Costa Vs. Kopylov Paulo Costa Age: 34 Height: 6’1” Reach: 82” Stance: Orthodox Roman Kopylov Age: 34 Height: 6’0” Reach: 75” Stance: Southpaw UFC 318 Co-Main Event Predictions And Picks: Costa Vs. Kopylov Paulo Costa is a well-rounded fighter. However, he doesn’t often use his complete skill set. Instead, he looks to engage in striking wars, landing an average of 6.22 significant strikes per minute, while absorbing 6.56 strikes per minute, which is not a great sign against a kickboxer like Kopylov. If Costa looks to get the fight to the mat, he has a chance to pick up the win on Saturday, but he has not earned a takedown since he defeated Yoel Romero by decision in 2019. Costa is a resilient fighter, so it’s likely this one goes the distance, but look for the better striker, which is Kopylov, to win the decision. UFC 318 Pay-Per-View Card: Holloway Vs. Poirier 3 Max Holloway vs. Dustin Poirier - Lightweight - For Holloway’s BMF title Paulo Costa vs. Roman Kopylov - Middleweight Kevin Holland vs. Daniel Rodriguez - Welterweight Dan Ige vs. Patricio “Pitbull” Freire - Featherweight Michael Johnson vs. Daniel Zellhuber - Lightweight UFC 318 Preliminary Fight Card: Holloway Vs. Poirier 3 Kyler Phillips vs. Vinicius Oliveira - Bantamweight Marvin Vettori vs. Brendan Allen - Middleweight Francisco Prado vs. Nikolay Veretennikov - Welterweight Ateba Gautier vs. Robert Valentin - Middleweight UFC 318 Early Prelims Fight Card: Holloway Vs. Poirier 3 Adam Fugitt vs. Islam Dulatov - Welterweight Jimmy Crute vs. Marcin Prachnio - Light Heavyweight Ryan Spann vs. Lukasz Brzeski - Heavyweight Brunno Ferreira vs. Jackson McVey - Middleweight Carli Judice vs. Nicolle Caliari - Women’s Flyweight We will have more on the UFC 318 co-main event, Costa vs. Kopylov, as fight night nears, as well as live results, reactions, highlights and more for the UFC 318 pay-per-view card on fight night.",2025-07-16,https://www.forbes.com/sites/trentreinsmith/2025/07/16/ufc-318-co-main-event-odds-picks-and-predictions-costa-vs-kopylov/
UFC 317: Topuria vs. Oliveira,"""The Eraser"" | Paulo Costa | Roman Kopylov | | |---|---|---| | Tale of the tape | || | Wins/Losses/Draws | 14-4-0 | 14-3-0 | | Average Fight Time | 12:32 | 11:21 | | Height | 6' 1"" | 6' 0"" | | Weight | 185 lbs. | 185 lbs. | | Reach | 72"" | 75"" | | Stance | Orthodox | Southpaw | | DOB | Apr 21, 1991 | May 04, 1991 | | Striking (Significant Strikes) | || | Strikes Landed per Min. (SLpM) | 6.22 | 4.96 | | Striking Accuracy | 58% | 50% | | Strikes Absorbed per Min. (SApM) | 6.56 | 4.86 | | Defense | 49% | 55% | | Grappling | || | Takedowns Average/15 min. | 0.36 | 1.17 | | Takedown Accuracy | 75% | 42% | | Takedown Defense | 80% | 87% | | Submission Average/15 min. | 0.0 | 0.0 | | Most recent fights (Newest First) | || | Loss - Strickland | Win - Curtis | | | Loss - Whittaker | Win - Almeida | | | Win - Rockhold | Loss - Hernandez | | | Loss - Vettori | Win - Fremd | | | Loss - Adesanya | Win - Ribeiro |",No date found,http://ufcstats.com/fight-details/fce93cd29be29ac6
