title,text,publish_date,url
"Petr Yan vs. Marcus McGhee, UFC Fight Night | MMA Bout | Tapology","Fighter Comparison | Yan | McGhee | ||| | #3 BantamW (Worldwide) | Ranking | #12 BantamW (Worldwide) | || | 18-5-0 MMA | Pro Record | 10-1-0 MMA | || | 2024 2022 | Last 5 Fights | 2024 2023 | || | -370 (Moderate Favorite) | Betting Odds | +285 (Moderate Underdog) | || | | Nation | | || | Omsk Omskaya oblast | Fights out of | Phoenix Arizona | || | 32 +5 mos, 2 wks, 1 day | Age at Fight | 35 +2 mos, 2 wks, 5 days | || | 135.5 lbs (61.5 kgs) | Latest Weight | 135.6 lbs (61.5 kgs) | || | 5'7"" (169cm) | Height | 5'8"" (173cm) | || | 67.0"" (170cm) | Reach | 69.0"" (175cm) | || | RCC Academy Tiger Muay Thai | Gym | MMA Lab | Yan vs. McGhee Fight Predictions Fight Predictions Tapology Community Picks: 1,171 Bout Information Event Poster Fight Details - Event: UFC Fight Night: Whittaker vs. de Ridder - Date: Saturday 07.26.2025 at 12:00 PM ET - Referee: - Venue: Etihad Arena - Enclosure: Octagon - Location: Abu Dhabi, United Arab Emirates - Bout Billing: Co-Main Event (fight 11 of 12) - Pro/Am: Professional - Weight: 135 lbs (61.2 kg) - Event Links:",2025-03-20,https://www.tapology.com/fightcenter/bouts/1004774-ufc-fight-night-petr-no-mercy-yan-vs-marcus-the-maniac-mcghee
UFC Fight Night – Petr Yan vs Marcus McGhee: Preview & Betting Tips - Boxing News,"UFC Fight Night – Petr Yan vs Marcus McGhee: Preview & Betting Tips The upcoming UFC Fight Night card in Abu Dhabi has an interesting bantamweight matchup between fan-favourite Petr Yan vs Marcus McGhee. Yan (18-5) is looking to solidify his place in the title picture once again. After a rough stretch that included narrow decision losses to Aljamain Sterling, Sean O’Malley, and Merab Dvalishvili, Yan rebounded in 2024 with decision wins over Song Yadong and former flyweight king Deiveson Figueiredo. Another win here could mean he’s next in line for gold at 135-pounds. McGhee (10-1) has quickly made a name for himself since joining the UFC in 2023. Now riding a four-fight winning streak, McGhee has shown flashes of elite potential. However, this is without a doubt the toughest fight of his career thus far. Tale of the Tape Petr Yan – Odds 1.24 (Bet MGM) Record: 18-5 Age: 32 Height: 5ft7 Reach: 67” Weight: Bantamweight Stance: Switch Marcus McGhee – Odds 4.10 (Bet MGM) Record: 10-1 Age: 35 Height: 5ft8 Reach: 69” Weight: Bantamweight Stance: Orthodox Petr Yan vs Marcus McGhee: Analysis This bout between number two ranked bantamweight Petr Yan and number 13 ranked Marcus McGhee seems a strange fight to schedule on paper from Yan’s perspective. However this one should be fireworks from start to finish. Yan is loved by MMA fans because he has a well-rounded skillset, he has a pressure-heavy striking style combined with sharp defensive wrestling. Plus, Yan’s durability, experience in five-round wars, and technical boxing make him fun to watch against just about anybody. The American has shown that he loves to throw punches in bunches, which is one of the reasons for his high knockout rate. But, he has not faced anyone with the same ability as the Russian. It is interesting to note that McGhee trains alongside former bantamweight champion Sean O’Malley, who has beaten Yan in the past, adding an extra layer of intrigue to this matchup. McGhee is no O’Malley though. Besides, it was a largely contentious decision victory that O’Malley scored over Yan anyway. Yan vs McGhee: Prediction & Betting Tips Yan has a very high-level fight IQ, and has proven performances against elite competition on multiple occasions. His ability to pressure opponents, land clean combinations, and mix in sneaky trips, to take opponents to the mat when necessary, makes him the deserved favourite here. That said, he will need to respect McGhee’s power and speed, especially early in the fight. McGhee needs to find a way to disrupt Yan’s rhythm and land effectively in exchanges early. He does like to throw combinations, so landing multiple strikes during exchanges could sway the judges over someone like Yan who likes to pick his shots with precision. I am taking Petr Yan to win this inside the distance purely because I think he is levels above McGhee, even though the American is tough. My pick is Petr Yan to win by KO/TKO or DQ at odds of 5.60 (Bet MGM). Find all the latest boxing news and MMA breaking updates on boxingnews.com.",2025-07-23,https://boxingnews.com/ufc-fight-night-petr-yan-vs-marcus-mcghee-preview-betting-tips/
Petr Yan reportedly set for UFC return against low-profile bogeyman,"Petr Yan reportedly set for UFC return against low-profile bogeyman No easy fights for Petr Yan, as 'No Mercy' is reportedly on a collision course with the next generation of bantamweight MMA fighters. Yan has recouped from a three-fight skid by piecing together two wins against top opposition in Song Yadong and Deiveson Figueiredo. While many fans thought a title eliminator or a title shot rematch with Merab Dvalishvili or Sean O'Malley could be in order, new reports suggest he's taking on a freshly ranked bantamweight killer. Dustin Poirier's retirement card isn't looking so good Petr Yan to fight Marcus McGhee on the undercard of Robert Whittaker vs. Reinier de Ridder at UFC Abu Dhabi As per a report from Cageside Press, Yan will be fighting No. 13-ranked Marcus McGhee in a bantamweight contest at UFC Abu Dhabi on July 26. The bout has been rumored for some time, and should now be 'signed and official.' McGhee (10-1, 4-0 UFC) just came off a close decision win against Jonathan Martinez in November 2024. He started his UFC career with back-to-back-to-back knockouts. This could be the UFC's attempt at breathing life into the bantamweight elite, since fresh contenders for Merab Dvalishvili are slim pickings. Yan will square off with 'The Maniac' on the undercard of Robert Whittaker vs. Reinier de Ridder. UFC Abu Dhabi is looking exceptionally stacked thus far (subject to change): - Robert Whittaker vs. Reinier de Ridder; middle - Aaron Pico (debut) vs. Movsar Evloev; unofficial bantam - Petr Yan vs. Marcus McGhee; reported bantam - Nikita Krylov vs. Bogdan Guskov; light heavy - Shara Magomedov vs. Marc-André Barriault; middle - Asu Almabayev vs. Ramazan Temirov; fly - Ibo Aslan vs. Billy Elekana; light heavy More MMA Knockout News - Jon Jones shares disappointing update on Tom Aspinall UFC mega fight - Jon Jones puts himself on MMA Mount Rushmore alongside 3 legendary UFC champions - Jon Jones names most overrated fighter in UFC - Robert Whittaker baffled by UFC letting Jon Jones stall heavyweight division Stick with MMAKnockout for more FREE coverage of the UFC, MMA, Boxing. Follow MMAKnockout on Facebook, Twitter, and Instagram.",2025-05-30,https://www.si.com/fannation/mma/news/ufc-report-petr-yan-marcus-mcghee-abu-dhabi
UFC Fight Night: Whittaker vs. De Ridder,"""No Mercy"" ""The Maniac"" | Petr Yan | Marcus McGhee | | |---|---|---| | Tale of the tape | || | Wins/Losses/Draws | 18-5-0 | 10-1-0 | | Average Fight Time | 17:17 | 8:13 | | Height | 5' 7"" | 5' 8"" | | Weight | 135 lbs. | 135 lbs. | | Reach | 67"" | 69"" | | Stance | Switch | Orthodox | | DOB | Feb 11, 1993 | May 07, 1990 | | Striking (Significant Strikes) | || | Strikes Landed per Min. (SLpM) | 5.11 | 6.06 | | Striking Accuracy | 54% | 48% | | Strikes Absorbed per Min. (SApM) | 4.13 | 2.83 | | Defense | 58% | 64% | | Grappling | || | Takedowns Average/15 min. | 1.61 | 0.46 | | Takedown Accuracy | 49% | 33% | | Takedown Defense | 84% | 100% | | Submission Average/15 min. | 0.1 | 0.5 | | Most recent fights (Newest First) | || | Win - Figueiredo | Win - Martinez | | | Win - Yadong | Win - Bolanos | | | Loss - Dvalishvili | Win - Buys | | | Loss - O'Malley | Win - Newson | | | Loss - Sterling | |",No date found,http://ufcstats.com/fight-details/d4d4ee045b0ca695
Petr Yan vs Marcus McGhee: Fight Overview,"26 Jul On July 26, former UFC bantamweight champion Petr Yan returns to action against heavy-hitting contender Marcus “The Maniac” McGhee. The bout takes place at the Etihad Arena in Abu Dhabi as part of the UFC on ABC card and could have a direct impact on the top of the 135-pound division. Yan snapped a three-fight skid with a composed decision victory over Deiveson Figueiredo in November. Known for his tight boxing and calculated pressure, Yan has been tested against the best in the division and brings championship experience into the Octagon once again. McGhee rides a wave of momentum, having won four straight, including a clean decision over veteran Jonathan Martinez. With an aggressive style and finishing instincts, McGhee has earned a reputation as a dangerous striker, particularly early in fights. His power and size advantage could pose challenges for Yan, especially in open exchanges. Both men are southpaws, which adds a technical layer to the striking battle. Yan’s patience and fight IQ will be key against McGhee’s forward pressure and knockout threat. The matchup is a pivotal moment for each fighter — for Yan, a path back to title contention; for McGhee, a shot to break into the elite. The Tale of the Tape data is compiled from publicly available information on Sherdog | Petr Yan | Marcus McGhee | |---|---| | Russia | USA | | 18 - 5 - 0 (7 KOs) | 10 - 1 - 0 (8 KOs) | | bantamweight (135 lbs / 61,2 kg) | bantamweight (135 lbs / 61,2 kg) | | Age | | | Wins | | | Losses | | | Anthropometry | | The scheduled 3-round bantamweight bout will take place on July 26, 2025. The full fight night schedule, including local start times for various countries, is listed below. Check the schedule to see when the event begins in your region. The fight night will start on Saturday, July 26 at 11:00 AM ET (New York time). The fight night will start on Saturday, July 26 at 8:00 AM PT (Los Angeles time). The fight night will start on Saturday, July 26 at 11:00 AM ET (Toronto time). The fight night will start on Saturday, July 26 at 4:00 PM BST (London time). The fight night will start on Saturday, July 26 at 5:00 PM SAST (Johannesburg time). The fight night will start on Saturday, July 26 at 11:00 PM PHT (Manila time). The fight night will start on Sunday, July 27 at 1:00 AM AEST (Sydney time). The fight night will start on Sunday, July 27 at 3:00 AM NZST (Wellington time). Note that the main event ring walk typically takes place about 1 to 1.5 hours after the main card begins. If you're mainly interested in the headline bout, there’s still some time — but it’s always worth watching the full card. You can stream the Yan vs McGhee fight via ESPN+. Disclaimer: Some links to streaming or pay-per-view on this page may be affiliate links. If you make a purchase through them, we may earn a commission — at no extra cost to you. The fight will be held at the Etihad Arena in Abu Dhabi, Arab Emirates. Full Fight card for Petr Yan vs Marcus McGhee: Fight card subject to change | Division | Fighter #1 | Fighter #2 | Notes | |---|---|---|---| | middleweight (185 lbs) | Robert Whittaker (26 - 8 - 0) | Reinier de Ridder (20 - 2 - 0) | | | bantamweight (135 lbs) | Petr Yan (18 - 5 - 0) | Marcus Mc Ghee (10 - 1 - 0) | | | bantamweight (135 lbs) | Bryce Mitchell (17 - 3 - 0) | Said Nurmagomedov (18 - 4 - 0) | | | middleweight (185 lbs) | Sharabutdin Magomedov (15 - 1 - 0) | Marc-Andre Barriault (17 - 9 - 0) | | | light heavyweight (205 lbs) | Nikita Krylov (30 - 10 - 0) | Bogdan Guskov (17 - 3 - 0) | | | strawweight (115 lbs) | Amanda Ribas (12 - 6 - 0) | Tabatha Ricci (11 - 3 - 0) | | | welterweight (170 lbs) | Muslim Salikhov (21 - 5 - 0) | Carlos Leal (22 - 6 - 0) | | | light heavyweight (205 lbs) | Ibo Aslan (14 - 2 - 0) | Billy Elekana (7 - 2 - 0) | | | flyweight (125 lbs) | Asu Almabayev (21 - 3 - 0) | Jose Ochoa (8 - 1 - 0) | | | heavyweight (265 lbs) | Martin Buday (15 - 2 - 0) | Marcus Almeida (5 - 1 - 0) | | | featherweight (145 lbs) | Mohammad Yahya (12 - 5 - 0) | Steven Nguyen (9 - 2 - 0) | | | bantamweight (135 lbs) | Davey Grant (16 - 7 - 0) | Da'Mon Blackshear (17 - 7 - 1) |",2017-07-01,https://boxing-schedule.com/mma/yan-vs-mcghee/
"Petr Yan vs Marcus McGhee Pick, 07/26/2025 Predictions UFC Abu Dhabi Odds","Petr Yan vs Marcus McGhee Pick, 07/26/2025 Predictions UFC Abu Dhabi Odds Petr Yan vs Marcus McGhee UFC Abu Dhabi Etihad Arena in Abu Dhabi Saturday, July 26, 2025 Petr Yan will battle Marcus McGhee at UFC Abu Dhabi on Saturday, July 26, 2025. The opening moneyline has Yan priced at -350 while McGhee is coming in at +285. Petr ""No Mercy"" Yan steps into the Octagon holding a record of 18-5-0. The 32-year-old steps on the scale at 135 lbs and stands in at 5'7"". The switch fighter extends his reach 67"". Marcus ""The Maniac"" McGhee measures in at 5'8"" and steps on the scale at 135 lbs. The orthodox fighter comes into this fight holding a mark of 10-1-0. The 35-year-old reaches 69"". When talking about significant strikes, Petr Yan lands 5.11 per min and Marcus McGhee is connecting on 6.06 significant strikes per minute. Yan is landing 54% of the significant strikes he throws and McGhee connects on 48%. Regarding defending in the Octagon, ""No Mercy"" allows 4.13 significant strikes per minute and ""The Maniac"" takes 2.83. Yan also stops 58% of the significant strikes his opponents throw his way while McGhee deflects 64% of the shots thrown. | UFC Abu Dhabi | Petr Yan | Marcus McGhee | |---|---|---| | Opening Odds | -350 | +285 | | Record | 18-5-0 | 10-1-0 | | Average Fight Time | 17:17 | 8:13 | | Height | 5'7"" | 5'8"" | | Weight | 135 lbs | 135 lbs | | Reach | 67"" | 69"" | | Strikes Landed Per Minute | 5.11 | 6.06 | | Striking Accuracy | 54% | 48% | Regarding takedowns, Petr Yan is averaging more takedowns in the cage as he is able to score a takedown 1.61 times per 3 rds. Yan is taking his opponents to the canvas on 49% of his attempts and thwarting 84% of all takedown tries against him. McGhee is finishing his takedowns on 33% of the takedowns he tries and is stopping 85% of all takedowns attempted on him. Regarding submissions, Yan is less apt at going for the finish by going for 0.1 submissions per 15 minutes while McGhee goes for 0.5 submissions per 3 rds. Get all of our UFC Betting Picks In his last bout, Petr Yan went up against Deiveson Figueiredo and wound up getting the victory by way of unanimous decision in round 5. Figueiredo landed 53 of 119 total strikes that he threw in that contest. Yan finished this fight landing 190 of 263 total strikes. In terms of significant strikes, Figueiredo landed 53 of 119, which means his percentage was 44%. He finished the fight landing 23 of 75 significant strikes aimed at the head. Statistically, Yan landed 62% of his significant strikes by sticking 121 of 193. Of those significant strikes, he connected on 78 of 142 pointed at the head. 92% of the significant strikes landed by Figueiredo and 85% of them connected on by Yan were thrown at distance. In the last Octagon appearance for Marcus McGhee, he fought Jonathan Martinez and took home the victory via unanimous decision in round 3. Martinez ended up landing 95% of his significant strikes at distance and McGhee ended up connecting on 98% of the significant strikes he tried at a distance. McGhee landed 45% of his significant strikes attempted by landing 102 of 223. He connected on 60 of 167 significant strikes directed at the head. Martinez ended up landing 48 of 108 significant strikes in that contest. Of those significant strikes, he connected on 24 of 76 to the head. Relating to the total strikes thrown in this fight, Martinez was 49 of 109 and McGhee was 105 of 226 of the strikes he threw in total. Other bouts to watch Another fight that you're going to want to watch is when Shara Magomedov encounters Marc-Andre Barriault. Magomedov walks into the Octagon holding a record of 15-1-0. The 31-year-old records a weight of 185 lbs and stands 6'2"". The orthodox fighter has an arm span of 73"". Barriault stands 6'1"" and weighs in at 185 lbs. The orthodox fighter looks to add a win to his career total of 17-9-0 (1 NC). The 35-year-old stretches 74"". Regarding grappling, Shara Magomedov gets his opposition to the mat 0.70 times per 3 rounds while Marc-Andre Barriault gets a takedown 0.21 times per 15 min. When talking about striking, Magomedov is landing 5.87 strikes/minute and lands 62% of the strikes that he throws. On the other side of the cage we have Marc-Andre Barriault, who tags his opponent on 47% of the strikes he has tried and is connecting on 6.02 per minute. An additional fight that you're going to want to see is when Bogdan Guskov is set to square up against Nikita Krylov. Krylov steps into the cage holding a mark of 30-10-0. The 33-year-old is fighting at 205 lbs and stands in at 6'3"". The orthodox fighter stretches 77"". Guskov stands in at 6'3"" and is fighting at 205 lbs. The orthodox fighter looks to add a victory to his record of 17-3-0. The 32-year-old has a wingspan of 76"". In terms of grappling, Nikita Krylov is preventing 53% of the takedowns his opponents go for and is taking his opponents to the canvas on 38% of his tries. Guskov is finishing his takedowns on 15% of the tries he takes and is able to curb 57% of the takedowns his opponents try. With reference to striking, Krylov is taking 2.49 strikes per minute and he lands 4.33 strikes per min. Guskov, on the other hand, takes 3.22 strikes/minute and connects on 3.96 per min. Who will win tonight's UFC match against the spread? Tony Sink's Pick: Take Marcus McGhee (+285) Get $60 worth of FREE premium member picks. No Obligation. No Salesman. No Credit Card. Fast Sign up with Instant Access Click Here Get all of Today's Free UFC Picks Get all of Today's Expert UFC Picks Most Recent UFC Picks - Amanda Ribas vs Tabatha Ricci Pick, 07/26/2025 Predictions UFC Abu Dhabi Odds - Shara Magomedov vs Marc-Andre Barriault Pick, 07/26/2025 Predictions UFC Abu Dhabi Odds - Muslim Salikhov vs Carlos Leal Pick, 07/26/2025 Predictions UFC Abu Dhabi Odds - Robert Whittaker vs Reinier de Ridder Pick, 07/26/2025 Predictions UFC Abu Dhabi Odds - Petr Yan vs Marcus McGhee Pick, 07/26/2025 Predictions UFC Abu Dhabi Odds - Bryce Mitchell vs Said Nurmagomedov Pick, 07/26/2025 Predictions UFC Abu Dhabi Odds - Nikita Krylov vs Bogdan Guskov Pick, 07/26/2025 Predictions UFC Abu Dhabi Odds - Davey Grant vs Da'Mon Blackshear Pick, 07/26/2025 Predictions UFC Abu Dhabi Odds - Mohammad Yahya vs Steven Nguyen Pick, 07/26/2025 Predictions UFC Abu Dhabi Odds - Ibo Aslan vs Billy Elekana Pick, 07/26/2025 Predictions UFC Abu Dhabi Odds",2025-07-22,https://www.docsports.com/free-picks/ufc/2025/petr-yan-vs-marcus-mcghee-pick-07-26-2025-predictions-ufc-abu-dhabi-odds.html
Former UFC champ Petr Yan to take big step down in competition for next fight | BJPenn.com,"Former UFC champ Petr Yan to take big step down in competition for next fight Petr Yan will be taking a huge step down in competition for his next UFC fight — unless his fellow contender Cory Sandhagen agrees to a matchup. Yan is the former UFC bantamweight champion, and is ranked No. 2 in the weight class at present. He is currently riding back-to-back decision wins over Song Yadong and Deiveson Figueiredo. Ordinarily, that might be enough to warrant a title shot. There’s just one problem. Yan has already lost to champion Merab Dvalishvili, as well as No. 1 contender Sean O’Malley, who will challenge for the belt at UFC 316 in June. As a result, Yan will need to win at least one more fight to earn another crack at the belt. If he gets his way, it will be a fight with Cory Sandhagen next. Sandhagen was back in action in the main event of the dramatic UFC Des Moines card last weekend, beating Figueiredo by second-round TKO due to injury. It is widely expected he will be next for the Dvalishvili-O’Malley winner. However, he could also be booked for a rematch with Yan, who he lost to several years ago. That seems to be Yan’s top choice at the moment. However, during an interview with Submission Radio, the Russian made a shocking reveal: if Sandhagen doesn’t agree to fight, he’ll take on Marcus McGhee instead. BREAKING: @PetrYanUFC CONFIRMS Marcus McGhee fight rumours are true and the fight will happen if Cory Sandhagen doesn’t accept rematch in July! 👀 🎥: https://t.co/5KgBJ58pIp pic.twitter.com/tXISpjheQM — Submission Radio (@SubmissionRadio) May 6, 2025 Why is Petr Yan possibly fighting Marcus McGhee? McGhee is an excellent fighter. That being said, the American is only ranked No. 13 at bantamweight — 11 spots below Yan. He is riding six-straight wins, but he has only beaten one ranked fighter in Jonathan Martinez, who was only in the top-15 for a short time. For all his talent, there is no question that booking him against Petr Yan would be a major curveball. That’s especially true when you consider the other options Yan has. Outside of Sandhagen, he could also be matched up with Henry Cejudo. The winner of an upcoming fight between Marlon “Chito” Vera and Mario Bautista would also make sense. Who would you like to see Petr Yan fight next? This article appeared first on BJPENN.COM Topics: Petr Yan UFC",2025-05-06,https://www.bjpenn.com/mma-news/petr-yan/former-ufc-champ-petr-yan-to-take-big-step-down-in-competition-for-next-fight/
"Petr Yan reportedly getting booked against Marcus McGhee for UFC Abu Dhabi card triggers mixed fan reactions: ""BANGER,"" ""Wtf is this?""","Petr Yan is reportedly scheduled to face No.13-ranked UFC bantamweight Marcus McGhee in his next fight. This update has captured the attention of fans and sparked various reactions.Initially, @Cagesidepress on X reported that, according to multiple sources, the fight has been officially confirmed with signed documents for July 26 at the Etihad Arena in Yas Island, Abu Dhabi.Check out the fight announcement below (via @ChampRDS on X):Notably, recent reports from @Cagesidepress on X indicate that there have been no official confirmations made yet, and they have apologized for reporting prematurely.Many fight fans have already taken to the comments section of @ChampRDS’ post to share their reactions. One user wrote:&quot;BANGER&quot;Another user had a contrasting reaction:&quot;Wtf is this?&quot;Others commented:&quot;Lowk love this fight&quot;&quot;Huge Step up for Marcus! Yan can't be pleased with this&quot;&quot;Don’t get the matchmaking at all unless Yan just wanted to be active. I got Yan by finish&quot;Check out more fan reactions below:Fans' reaction to Petr Yan reportedly facing Marcus McGhee next. [Screenshots courtesy: @ChampRDS on X]Petr Yan previously expressed his desire to fight Umar Nurmagomedov nextPetr Yan is currently on a two-fight win streak, having defeated Song Yadong and Deiveson Figueiredo in his recent matches. With his ambition to reclaim the UFC bantamweight title, Yan has been calling out other top contenders in the division.A few weeks ago, 'No Mercy' shared on his Instagram Story that he wants to face Umar Nurmagomedov in his next UFC fight. In the post, Yan wrote:&quot;Let's do it! Baku or Abu Dhabi.&quot;Check out Petr Yan's post below (via @SpinninBackfist on X):Nurmagomedov was undefeated in MMA until he faced Merab Dvalishvili for the bantamweight title. At UFC 311, the Dagestani experienced the first defeat of his career at the hands of the champion.Nurmagomedov is currently recovering from a hand injury, and there have been no official announcements regarding his next fight yet.",2025-05-30,https://www.sportskeeda.com/mma/news-petr-yan-getting-booked-marcus-mcghee-ufc-abu-dhabi-card-triggers-mixed-fan-reactions-banger-wtf-this
Petr Yan Vs. Marcus McGhee - Odds And Match Preview,"Petr Yan vs. Marcus McGhee – Odds and Match Preview Petr Yan and Marcus McGhee are set to face off in a highly anticipated bantamweight fight on July 26, 2025, at the Etihad Arena in Abu Dhabi. This main card matchup is drawing attention due to its high stakes and the contrasting styles. Petr Yan is the clear favorite to win against Marcus McGhee, according to current betting odds. Most sportsbooks have Yan at around -350 to -410 (meaning you’d need to bet $350–$410 to win $100), while McGhee is a significant underdog at +285 to +385 (a $100 bet on McGhee would return $285–$385 if he wins). These odds have been fairly stable since opening, with Yan consistently favored and little major movement as fight week approaches. Play different numbers with some of the best casinos at sweepstakes24.com. For the method of victory, sportsbooks generally expect Yan to win by decision or possibly by knockout. The odds for Yan to win by decision are usually shorter than for a finish, but exact numbers can vary by site. McGhee, known for his knockout power, is most likely to be backed for a win by KO/TKO if bettors are picking the upset. Yan is favored to win in the later rounds or by decision, while McGhee’s best chance is seen as an early stoppage, typically in the first or second round. This fight is crucial for both men. Petr Yan, a former UFC bantamweight champion, is on a comeback streak after a tough period in his career. He’s looking for his third straight win to re-establish himself as a top contender in the division and potentially earn another shot at the title. For Marcus McGhee, this is the biggest fight of his career. Undefeated in his first four UFC bouts, a win over an established former champion like Yan would catapult him into the title conversation and cement his status as a real threat in the bantamweight division. The winner will move closer to a title shot, while the loser may have to regroup in a crowded and competitive weight class. The market expects Yan to control the fight and win, most likely by decision or late stoppage. McGhee is seen as a live underdog with knockout potential, especially early. Both fighters have momentum and are hungry for a win that could define the next stage of their careers. The stakes are high, and the winner will likely find themselves on the doorstep of a UFC title shot.",2025-07-12,https://www.lowkickmma.com/petr-yan-vs-marcus-mcghee-odds-and-match-preview/
Petr Yan's Resurgence; What's Next? - Boxing News,"Petr Yan’s Resurgence; What’s Next? Petr Yan is reportedly set to return at UFC Abu Dhabi on July 26 on the Robert Whittaker vs. Reinier de Ridder card against Marcus McGhee, as we look at Yan’s future bouts. Yan is on a two-fight win streak after back-to-back decision victories over Song Yadong and Deiveson Figueiredo. The wins revived Yan’s career following a three-fight losing streak, marked by losses to Aljamain Sterling, Sean O’Malley, and Merab Dvalishvili. Meanwhile, McGhee has racked up four straight wins, his latest against Jonathan Martinez at UFC 309. Three of those wins have come by stoppage, making him one of the most dangerous fighters in the bantamweight division. The winner takes themselves a step closer to a title shot, with the belt currently held by Merab Dvalishvili. Current Card Robert Whittaker vs. Reinier de Ridder; middleweight Shara Magomedov vs. Marc-Andre Barriault; middleweight Petr Yan vs. Marcus McGhee; bantamweight Nikita Krylov vs. Bogdan Guskov; light heavyweight Asu Almabayev vs. Ramazan Temirov; flyweight Ibo Aslan vs. Billy Elekana; light heavyweight Options If Yan does not get the winner of Merab vs. O’Malley, he could turn his attention towards Henry Cejudo. The latter has previously stated he would like to face Yan after his technical decision defeat at UFC Seattle against Song Yadong. Henry could not continue after suffering from an accidental poke near the close of the third round. Cejudo could not carry on at the start of the fourth, as he called out Yan as an alternative. Cejudo is a massive name on anyone’s resume since he is a two-weight world champion, giving Yan a chance to secure a big scalp. Equally, Yan could turn his attention to a rematch with Cory Sandhagen. Yan beat Cory in 2021 at UFC 267. Since then, Cory has bounced back much stronger, winning four out of his last five fights. Cory is now ranked fourth in the rankings, making him a credible name, as Yan continues his recent resurgence. Find all the latest boxing news and MMA breaking updates on boxingnews.com.",2025-05-31,https://boxingnews.com/petr-yans-resurgence-whats-next/
