title,text,publish_date,url
"Stephen Thompson vs. Gabriel Bonfim, UFC Fight Night | MMA Bout | Tapology","Fighter Comparison | Thompson | Bonfim | ||| | #11 WelterW (Worldwide) | Ranking | #18 WelterW (Worldwide) | || | 17-8-1 MMA | Pro Record | 17-1-0 MMA | || | 2024 2021 | Last 5 Fights | 2025 2023 | || | +300 (Moderate Underdog) | Betting Odds | -420 (Heavy Favorite) | || | | Nation | | || | Simpsonville South Carolina | Fights out of | Brasilia Distrito Federal | || | 42 +5 mos, 1 day | Age at Fight | 27 +10 mos, 3 wks, 1 day | || | 170.5 lbs (77.3 kgs) | Weigh-In Result | 171.0 lbs (77.6 kgs) | || | 6'0"" (183cm) | Height | 6'1"" (185cm) | || | 75.0"" (191cm) | Reach | 72.5"" (184cm) | || | Upstate Karate Tristar Gym | Gym | Bonfim Brothers | Thompson vs. Bonfim Fight Predictions Fight Predictions Tapology Community Picks: 3,847 Bout Information Event Poster Fight Details - Event: UFC Fight Night: Lewis vs. Teixeira - Date: Saturday 07.12.2025 at 06:00 PM ET - Referee: N/A - Venue: Bridgestone Arena - Enclosure: Octagon - Location: Nashville, Tennessee, United States - Bout Billing: Co-Main Event (fight 11 of 12) - Pro/Am: Professional - Weight: 170 lbs (77.1 kg) - Event Links: - Bout Links:",2025-04-03,https://www.tapology.com/fightcenter/bouts/1004964-ufc-fight-night-stephen-wonderboy-thompson-vs-gabriel-marretinha-bonfim
"Thompson Vs. Bonfim Odds, Full Fight Preview & Prediction","Ultimate Fighting Championship (UFC) Welterweight talents Stephen Thompson vs. Gabriel Bonfim will go to war this weekend (Sat., June 28, 2025) at UFC Nashville inside Bridgestone Arena in Nashville, Tennessee. There is no doubt now that “Wonderboy” is in the twilight of his career. The 42-year-old Karate master is still a slick customer, but he’s grown a bit easier to track down with strikes and takedowns alike as the years continue to tick on by. Though he’s only lost to top talent, his back is unfortunately against the wall after losing four of five. Conversely, Bonfim is a very talented prospect 15 years his opponent’s junior. The Brazilian suffered a classic prospect loss to Nicholas Dalby in his third UFC appearance, but outside of that learning experience, he’s been very dominant in all aspects of the game, setting him up for a major opportunity here. Let’s take a closer look at the betting odds and strategic keys for each athlete: Thompson vs. Bonfim Betting Odds - Stephen Thompson victory: +310 - Stephen Thompson via TKO/KO/DQ: +900 - Stephen Thompson via submission: +3500 - Stephen Thompson via decision: +550 - Gabriel Bonfim victory: -395 - Gabriel Bonfim via TKO/KO/DQ: +550 - Gabriel Bonfim via submission: +125 - Gabriel Bonfim via decision: +200 - Odds via DraftKings Sportsbook How Thompson Wins “Wonderboy” is perhaps the best Karate representative in UFC history. He moves with great fluidity between stances, allowing him to control distance and score points with his kicks really well. He’s very good at suddenly covering that distance with his punches, and he’ll time hard counters as well. On the whole, this isn’t a terrible stylistic match up for Thompson. He’s fighter a jiu-jitsu ace with good wrestling and good Muay Thai, not an exceptional wrestler or frightening power puncher. If Thompson can keep his feet moving and deny the early takedown, he has a real shot here. It all comes down to cage position. Lately, Thompson has been easier to track down along the fence, and it gets him in trouble. From the first bell, his focus has to be on direction changes and intercepting shots up the middle, both of which will help buy him real estate and allow freedom of movement. As he showed versus Kevin Holland not too long ago, Thompson is still a very dangerous man if allowed to play his game. How Bonfim Wins Bonfim is quite experienced and skilled for his age. Perhaps most impressive, he transitions between all his skills nicely, using the threat of his kickboxing to set up his takedowns in a smooth fashion. Once on the canvas, Bonfim is clearly a top-notch grappler and has 13 wins via tapout to his credit. As mentioned above, this bout will be determined by location. If Bonfim is shooting at distance from Thompson’s kicking range, the takedown isn’t going to come, and he’s in for a rough night. Alternatively, if he’s able to back Thompson to the fence, hit him a time or two, then change levels, that submission prop is looking rather nice. A fast start seems wise here. We’ve seen Shavkat Rakhmonov, Belal Muhammad and Gilbert Burns wrangle Thompson by rushing him off the first bell. It’s become an increasingly easier option over the year as Thompson gets a little less sharp of a puncher and a little slower generally. Bonfim has the youth and stand up ability to get in Thompson’s face early, take a few punches if needed, and then get the wrestling going. Thompson vs. Bonfim Prediction A 15-year age difference is a hard statistic to overlook, particularly when Thompson was looking a bit worn down by 2021. Four years later, I’m not sure he has the grappling to resist such a talented black belt in jiu-jitsu. The margin for error is small, as Bonfim will start to dominate with even a single takedown, and Thompson just isn’t doing damage like he once did. There’s always a chance that vintage “Wonderboy” styles on his younger opponent — a la Holland, Vicente Luque and Geoff Neal — but the odds grow slimmer each year. Prediction: Bonfim via submission Remember that MMAmania.com will deliver LIVE round-by-round, blow-by-blow coverage of the entire UFC Nashville fight card right here, starting with the ESPN/ESPN+ “Prelims” matches online, which are scheduled to begin at 6 p.m. ET, before the main card start time at 9 p.m. ET (also on ESPN/ESPN+). To check out the latest and greatest UFC Nashville: “Lewis vs. Teixeira” news and notes be sure to hit up our comprehensive event archive right here. Loading comments...",2025-07-10,https://www.mmamania.com/2025/7/10/24463327/stephen-thompson-vs-gabriel-bonfim-odds-full-fight-preview-and-prediction-ufc-nashville
UFC Fight Night – Stephen Thompson vs. Gabriel Bonfim: Preview & Betting Tips,"Veteran Stephen “Wonderboy” Thompson faces off against surging Brazilian prospect Gabriel Bonfim in a welterweight bout between two fighters at the opposite end of their careers. Thompson (17-8-1), now 42, brings decades of elite-level striking experience into the Octagon and his resume speaks for itself. However, age is catching up and he’s coming off of two brutal losses and hasn’t shown the same spark that made him a top contender just a few years ago. Bonfim (17-1-0) may not be a household name yet, but he’s a serious threat in the welterweight division. The 27-year-old has quietly built a reputation as a finisher, particularly on the mat. He averages an impressive 3.68 takedowns per 15 minutes with 76% accuracy, and he stays busy on the ground with 2.2 submission attempts per fight. Stephen Thompson – Odds 4.00 (Bet 365) Record: 17-8-1 Age: 42 Height: 6ft Reach: 75” Weight: Welterweight Stance: Orthodox Gabriel Bonfim – Odds 1.25 (Bet 365) Record: 17-1-0 Age: 27 Height: 6ft1 Reach: 72” Weight: Welterweight Stance: Orthodox There was once a time where Thompson was considered one of the best counter-strikers in the UFC. His footwork, timing, and accuracy made him a nightmare for reckless opponents. Nowadays though, the reflexes aren’t quite what they were, and Thompson’s weakness has always been grapplers who can pressure and chain takedowns. This is exactly what Bonfim will try to do. He’ll look to close the gap and suffocate the American veteran so that he cannot get off some of his sharp karate style of striking. And from there, he’ll look to initiate clinches and force the fight to the mat. In his younger days, Thompson would be able to evade a wrestler’s pressure by using lateral and vertical movement effortlessly. But, it just seems like a struggle now. And when this happens, it will tire you out more, which means as the fight goes on the wrestler will find more and more success. And I can see this happening in this one. This is a tricky fight for Stephen Thompson. While he remains one of the cleanest strikers in the division, his takedown defence has looked increasingly shaky, and age is a growing concern. Meanwhile, Bonfim is younger, hungrier, and thrives in exactly the kinds of situations where Thompson has historically struggled. Thompson’s days at the elite level certainly look to be behind him. And with a good performance and potentially a finish, the Brazilian would be taking a huge scalp here to elevate his own name and reputation. There isn’t much value in taking his moneyline, and with Thompson being stopped in his last two fights, unfortunately I’m willing to back him to make it three in a row. I’m taking Gabriel Bonfim to win by submission at odds of 2.55. And with a third successive stoppage loss, it pains me to say it, but we may see “Wonderboy” place his glove in the centre of the Octagon after the fight. More must-reads: Get the latest news and rumors, customized to your favorite sports and teams. Emailed daily. Always free!",2025-07-10,https://www.yardbarker.com/mma/articles/ufc_fight_night_stephen_thompson_vs_gabriel_bonfim_preview_betting_tips/s1_17349_42437115
Stephen Thompson vs Gabriel Bonfim,"Derrick Lewis vs. Tallison Teixeira staredowns, face off video ahead of the UFC Nashville ESPN event on Sat., July 12, 2025 at Bridgestone Arena in Nashville, Tennessee. Derrick Lewis, Tallison Teixeira, and the rest of the UFC Nashville fighters step on the scale on Friday. UFC Nashville early weigh ins video results for the Derrick Lewis vs. Tallison Teixeira-led MMA event on Sat., July 12, 2025 at Bridgestone Arena in Nashville, Tennessee. Date: July 12, 2025 | Stephen Thompson | Gabriel Bonfim | | |---|---|---| | age | || | 6'0"" | height | | | 170lbs | weight |",2025-07-11,https://www.mmafighting.com/fight/15724/stephen-thompson-vs-gabriel-bonfim
Stephen Thompson Makes Return In UFC Nashville Fight Against Gabriel Bonfim In July,"Stephen Thompson makes return in UFC Nashville fight against Gabriel Bonfim in July Former two-time undisputed welterweight title challenger, Stephen Thompson is set to make his first outing of the year later this summer, booking a showdown against surging Brazilian prospect, Gabriel Bonfim at UFC Nashville on July 12. from the Bridgestone Arena in Nashville, Tennessee. Thompson, the current number twelve ranked welterweight contender, has been sidelined since UFC 307 back in October of last year, where he suffered a third round knockout loss against incoming headliner, Joaquin Buckley. As for Bonfirm, the 17-1 contender has suffered just a sole Octagon loss during his breif tenure, in the form of a knockout defeat to Nicolas Dalby. And last time out, Bonfirm secured a second round D’Arce choke submission win over Khaos Williams as recent as February. Stephen Thompson books UFC Nashville fight with Gabriel Bonfim UFC confirmed the return of Stephen Thompson against Gabriel Bonfim this evening on their official social media. Prior to his knockout loss to the surging, Buckley, Thompson had dropped a first round rear-naked choke submission loss to the unbeaten, Shavkat Rakhmonov — in his first submission blemish in combat sports to boot. Without a victory since 2022, on that occasion, Simpsonville native, Thompson had turned in an eventual corner stoppage TKO win over Kevin Holland in a main event clash at UFC Fight Night Orlando. For Bonfim, the highly-regarded welterweight contender is a product of Dana White’s Contender Series — and has racked up notable wins over the likes of the above-mentioned Williams, as well as Ange Loosa, Mounir Lazzez, and Trevin Giles. UFC Fight Night Nashville takes place on July 12. with a heavyweight main event between former interim and undisputed heavyweight title challenger, Derrick Lewis, and Tallison Teixeira set.",2025-05-30,https://www.lowkickmma.com/stephen-thompson-ufc-nashville-fight-gabriel-bonfim/
UFC Fight Night – Stephen Thompson vs Gabriel Bonfim: Preview & Betting Tips - Boxing News,"UFC Fight Night – Stephen Thompson vs Gabriel Bonfim: Preview & Betting Tips Credit: https://x.com/mma_orbit/status/1928452906824397128?t=b8ZSG8DzQAykvQcDG1udHw&s=19 Veteran Stephen “Wonderboy” Thompson faces off against surging Brazilian prospect Gabriel Bonfim in a welterweight bout between two fighters at the opposite end of their careers. Thompson (17-8-1), now 42, brings decades of elite-level striking experience into the Octagon and his resume speaks for itself. However, age is catching up and he’s coming off of two brutal losses and hasn’t shown the same spark that made him a top contender just a few years ago. Bonfim (17-1-0) may not be a household name yet, but he’s a serious threat in the welterweight division. The 27-year-old has quietly built a reputation as a finisher, particularly on the mat. He averages an impressive 3.68 takedowns per 15 minutes with 76% accuracy, and he stays busy on the ground with 2.2 submission attempts per fight. Tale of the Tape Stephen Thompson – Odds 4.00 (Bet 365) Record: 17-8-1 Age: 42 Height: 6ft Reach: 75” Weight: Welterweight Stance: Orthodox Gabriel Bonfim – Odds 1.25 (Bet 365) Record: 17-1-0 Age: 27 Height: 6ft1 Reach: 72” Weight: Welterweight Stance: Orthodox Stephen Thompson vs Gabriel Bonfim: Analysis There was once a time where Thompson was considered one of the best counter-strikers in the UFC. His footwork, timing, and accuracy made him a nightmare for reckless opponents. Nowadays though, the reflexes aren’t quite what they were, and Thompson’s weakness has always been grapplers who can pressure and chain takedowns. This is exactly what Bonfim will try to do. He’ll look to close the gap and suffocate the American veteran so that he cannot get off some of his sharp karate style of striking. And from there, he’ll look to initiate clinches and force the fight to the mat. In his younger days, Thompson would be able to evade a wrestler’s pressure by using lateral and vertical movement effortlessly. But, it just seems like a struggle now. And when this happens, it will tire you out more, which means as the fight goes on the wrestler will find more and more success. And I can see this happening in this one. Thompson vs Bonfim: Prediction & Betting Tips This is a tricky fight for Stephen Thompson. While he remains one of the cleanest strikers in the division, his takedown defence has looked increasingly shaky, and age is a growing concern. Meanwhile, Bonfim is younger, hungrier, and thrives in exactly the kinds of situations where Thompson has historically struggled. Thompson’s days at the elite level certainly look to be behind him. And with a good performance and potentially a finish, the Brazilian would be taking a huge scalp here to elevate his own name and reputation. There isn’t much value in taking his moneyline, and with Thompson being stopped in his last two fights, unfortunately I’m willing to back him to make it three in a row. I’m taking Gabriel Bonfim to win by submission at odds of 2.55 (Bet 365). And with a third successive stoppage loss, it pains me to say it, but we may see “Wonderboy” place his glove in the centre of the Octagon after the fight. Find all the latest boxing news and MMA breaking updates on boxingnews.com.",2025-07-10,https://boxingnews.com/ufc-fight-night-stephen-thompson-vs-gabriel-bonfim-preview-betting-tips/
Stephen Thompson vs Gabriel Bonfim - 07/13/25 - DRatings.com,"Stephen Thompson Gabriel Bonfim Last 5 Fights Money Line Analysis Implied Margin Using the best lines from multiple sportsbooks, this would be the % take from the consensus sportsbook if bets were even on each side. More on Implied MarginImplied Margin Using the best lines from multiple sportsbooks, this would be the % take from the consensus sportsbook if bets were even on each side. More on Implied Margin| Open Line | Heritage | Bovada | BetOnline | YouWager | SportsBetting | Best Line | No-Vig OddsUsing a market maker sportsbook, this is what the line would be if there was no vigorish (sportsbook fee) in the price. More on No-Vig Odds | | |---|---|---|---|---|---|---|---|---| | Stephen Thompson | +285 | +334 | +340 | +350 | +350 | +350 | +350 | +368.2 | | Gabriel Bonfim | -360 | -445 | -460 | -450 | -450 | -450 | -445 | -368.2 | | Open Line | South Point | Circa | Wynn | Stations | Westgate | Best Line | No-Vig OddsUsing a market maker sportsbook, this is what the line would be if there was no vigorish (sportsbook fee) in the price. More on No-Vig Odds | | |---|---|---|---|---|---|---|---|---| | Stephen Thompson | +280 | +330 | +350 | +310 | +340 | +330 | +350 | +368.2 | | Gabriel Bonfim | -340 | -400 | -435 | -400 | -425 | -400 | -400 | -368.2 | Overall Base Rating Our analytical projection of the match in relation to the implied probability to win from the sportsbooks. More on Base Rating Base Rating Our analytical projection of the match in relation to the implied probability to win from the sportsbooks. More on Base RatingBet Trends Doing an analysis on the betting data, we project which team has which team has an edge. More on Bet Trends Bet Trends Doing an analysis on the betting data, we project which team has which team has an edge. More on Bet TrendsLatest ML Steam Move A quick and uniform line move across every sportsbook. Usually caused by an injury or deep-pocketed sharp bettor. More on Steam Move Steam Move A quick and uniform line move across every sportsbook. Usually caused by an injury or deep-pocketed sharp bettor. More on Steam MoveOverall Base Rating Our analytical projection of the match in relation to the implied probability to win from the sportsbooks. More on Base Rating Base Rating Our analytical projection of the match in relation to the implied probability to win from the sportsbooks. More on Base RatingBet Trends Doing an analysis on the betting data, we project which team has which team has an edge. More on Bet Trends Bet Trends Doing an analysis on the betting data, we project which team has which team has an edge. More on Bet TrendsLatest ML Steam Move A quick and uniform line move across every sportsbook. Usually caused by an injury or deep-pocketed sharp bettor. More on Steam Move Steam Move A quick and uniform line move across every sportsbook. Usually caused by an injury or deep-pocketed sharp bettor. More on Steam Move",2024-06-10,https://www.dratings.com/predictor/ufc-mma-predictions/5b91c0fa-e360-5d5b-ae2d-802fffa4f599
"Stephen Thompson vs Gabriel Bonfim Pick, 07/12/2025 Predictions UFC Nashville Odds","Stephen Thompson vs Gabriel Bonfim Pick, 07/12/2025 Predictions UFC Nashville Odds Stephen Thompson vs Gabriel Bonfim UFC Nashville Bridgestone Arena in Nashville Saturday, July 12, 2025 Stephen Thompson will face off with Gabriel Bonfim at UFC Nashville on Saturday, July 12, 2025. The line has Thompson priced at +310 while Bonfim is priced at -400. Stephen ""Wonderboy"" Thompson steps into the cage holding a mark of 17-8-1. The 42-year-old will fight at 170 lbs and measures 6'0"". The orthodox fighter reaches 75"". Gabriel ""Marretinha"" Bonfim measures 6'1"" and weighs 170 lbs. The orthodox fighter steps into the cage with a record of 17-1-0. The 27-year-old stretches 72"". When talking about significant strikes, Stephen Thompson connects on 4.11 per minute and Gabriel Bonfim connects on 5.22 significant strikes per minute. Thompson is connecting on 46% of the significant strikes he attempts and Bonfim is landing 43%. When it comes to defending themselves, ""Wonderboy"" takes 3.02 significant strikes per min while ""Marretinha"" allows 3.80. Thompson also defends 55% of the significant strikes that are thrown his way and Bonfim is able to curb 65% of the shots thrown his way. | UFC Nashville | Stephen Thompson | Gabriel Bonfim | |---|---|---| | Opening Odds | +310 | -400 | | Record | 17-8-1 | 17-1-0 | | Average Fight Time | 14:30 | 6:48 | | Height | 6'0"" | 6'1"" | | Weight | 170 lbs | 170 lbs | | Reach | 75"" | 72"" | | Strikes Landed Per Minute | 4.11 | 5.22 | | Striking Accuracy | 46% | 43% | Concerning wrestling, Stephen Thompson is the not as competent as a wrestler as he is averaging a takedown 0.25 times per 3 rounds. Thompson is getting his opponent to the mat on 41% of his attempts and stopping 63% of all takedowns attempted by his opposition. Bonfim is taking his opponents to the canvas on 76% of his takedown tries and is stuffing 73% of the attempts against him. In terms of going for the submission, Thompson is the less likely of the two fighters to go for the finish by going for 0.6 finishes per 15 minutes while Bonfim attempts 2.2 finishes per 15 min. Get all of our UFC Betting Picks In his last fight, Stephen Thompson squared up with Joaquin Buckley and was on the losing end of this fight by way of a punch to the head in round 3. Buckley ended up landing 55 of 117 total strikes that he let go in that contest. Thompson walked away from this fight having landed 63 of 121 total strikes. In terms of significant strikes, Buckley landed 34 of 93 , giving him a percentage of 36%. He ended up landing 23 of 78 significant strikes aimed at the head. On the other side, Thompson ended up landing 46% of the significant strikes he threw by landing 49 of 106 . Looking at the significant strike accuracy, he landed 38 of 93 pointed at the head. 82% of the significant strikes connected on by Buckley and 73% of them landed by Thompson were done at distance. In the last bout for Gabriel Bonfim, he went up against Khaos Williams and wound up getting the victory via d'arce choke in round 2. Williams landed 100% of his significant strikes at distance while Bonfim connected on 100% of the significant strikes he tried at a distance. Bonfim ended up connecting on 48% of the significant strikes he attempted by connecting on 35 of 72 . He landed 20 of 50 significant strikes to the head. Williams landed 20 of 90 significant strikes in that battle. Looking at the significant strike accuracy, he ended up connecting on 8 of 54 directed at the head. Regarding total strikes that he threw in that fight, Williams landed 23 of 94 while Bonfim landed 35 of 72 total strikes. Other fights to watch out for An additional bout that shouldn't be missed is when Calvin Kattar enters the Octagon with Steve Garcia. Kattar looks to add a victory to his total of 23-9-0. The 37-year-old weighs 145 lbs and comes in at 5'11"". The orthodox fighter reaches 72"". Garcia stands 6'0"" and will fight at 145 lbs. The southpaw fighter comes into this bout with a record of 17-5-0. The 33-year-old reaches 75"". In the grappling category, Calvin Kattar takes his opponents to the canvas 0.36 times per 3 rounds while Steve Garcia takes his opponents to the canvas 1.17 times per 15 min. When it comes to striking, Kattar is connecting on 4.60 strikes per minute and lands 38% of the strikes that he throws. Joining him in the Octagon is Steve Garcia, who tags the opposition on 56% of the strikes he has tried and is landing 5.04 per minute. An additional fight that you're going to want to see is when Morgan Charriere is set to face off against Nate Landwehr. Landwehr looks to add a victory to his record of 18-6-0. The 37-year-old steps on the scale at 145 lbs and measures 5'9"". The orthodox fighter reaches 72"". Charriere measures in at 5'8"" and is fighting at 145 lbs. The orthodox fighter walks into the Octagon with a record of 20-11-1. The 29-year-old has an arm span of 69"". Concerning wrestling, Nate Landwehr curbs 74% of the takedowns fighters have gone for and is finishing his takedown tries on 41% of his tries. Charriere is finishing his takedown tries on 50% of his tries and thwarts 83% of the takedowns his opponents attempt. With regard to striking, Landwehr absorbs 5.77 strikes per min while he connects on 5.59 strikes/min. Charriere, moreover, is absorbing 4.15 strikes/minute and is connecting on 3.46 per minute. Who will win tonight's UFC match against the spread? Tony Sink's Pick: Take Gabriel Bonfim (-400) Get $60 worth of FREE premium member picks. No Obligation. No Salesman. No Credit Card. Fast Sign up with Instant Access Click Here Get all of Today's Free UFC Picks Get all of Today's Expert UFC Picks Most Recent UFC Picks - Kennedy Nzechukwu vs Valter Walker Pick, 07/12/2025 Predictions UFC Nashville Odds - Vitor Petrino vs Austen Lane Pick, 07/12/2025 Predictions UFC Nashville Odds - Calvin Kattar vs Steve Garcia Pick, 07/12/2025 Predictions UFC Nashville Odds - Mitch Ramirez vs Mike Davis Pick, 07/12/2025 Predictions UFC Nashville Odds - Lauren Murphy vs Eduarda Moura Pick, 07/12/2025 Predictions UFC Nashville Odds - Jake Matthews vs Chidi Njokuani Pick, 07/12/2025 Predictions UFC Nashville Odds - Max Griffin vs Chris Curtis Pick, 07/12/2025 Predictions UFC Nashville Odds - Stephen Thompson vs Gabriel Bonfim Pick, 07/12/2025 Predictions UFC Nashville Odds - Derrick Lewis vs Tallison Teixeira Pick, 07/12/2025 Predictions UFC Nashville Odds - Junior Tafa vs Tuco Tokkos Pick, 07/12/2025 Predictions UFC Nashville Odds",2025-07-09,https://www.docsports.com/free-picks/ufc/2025/stephen-thompson-vs-gabriel-bonfim-pick-07-12-2025-predictions-ufc-nashville-odds.html
UFC Fight Night: Lewis vs. Teixeira,"""Wonderboy"" ""Marretinha"" | Stephen Thompson | Gabriel Bonfim | | |---|---|---| | Tale of the tape | || | Wins/Losses/Draws | 17-8-1 | 17-1-0 | | Average Fight Time | 14:30 | 6:48 | | Height | 6' 0"" | 6' 1"" | | Weight | 170 lbs. | 170 lbs. | | Reach | 75"" | 72"" | | Stance | Orthodox | Orthodox | | DOB | Feb 11, 1983 | Aug 20, 1997 | | Striking (Significant Strikes) | || | Strikes Landed per Min. (SLpM) | 4.11 | 5.22 | | Striking Accuracy | 46% | 43% | | Strikes Absorbed per Min. (SApM) | 3.02 | 3.80 | | Defense | 55% | 65% | | Grappling | || | Takedowns Average/15 min. | 0.25 | 3.68 | | Takedown Accuracy | 41% | 76% | | Takedown Defense | 63% | 73% | | Submission Average/15 min. | 0.0 | 2.2 | | Most recent fights (Newest First) | || | Loss - Buckley | Win - Williams | | | Loss - Rakhmonov | Win - Loosa | | | Win - Holland | Loss - Dalby | | | Loss - Muhammad | Win - Giles | | | Loss - Burns | Win - Lazzez |",1997-08-20,http://ufcstats.com/fight-details/2a03bc4c491b4c9a
Stephen Thompson vs Gabriel Bonfim,"Find the best odds and up to date statistics for for Stephen Thompson vs Gabriel Bonfim. Date: Jul 13, 2025 Location: Bridgestone Arena Nashville, TN United States Cards: Main Card 1:00 am ● Prelim Card 10:00 pm | 17/8/1 | Record (W::L::D) | 17/1/0 | | 8 | Wins By Knockout | 3 | | 1 | Wins By Submission | 13 | | 5 | First Round Finishes | 8 | | 14:30 | Avg Fight Time | 06:48 | | 46% | Sig Strike Accuracy % | 44% | | 55% | Sig Strike Defense % | 65% | | 42% | Take Down Accuracy % | 77% | | 63% | Takedown Defence % | 73% | | #12 Welterweight Division | Tags | Welterweight Division | | 72.00 | Height (in) | 73.00 | | 171.00 | Weight (lb) | 170.00 | | 75.00 | Arm Reach (in) | 72.50 | | 42.00 | Leg Reach (in) | 40.50 | | Feb. 4, 2012 | UFC Debut | Jan. 21, 2023 | | Greenville, United States | Born | Brasilia, Brazil | | Karate | Fighting Style | Striker | | 42 | Age | 27 | | Opponent | Method | Method | Opponent | |---|---|---|---| | Joaquin Buckley 10-05-2024 | KO/TKO 3 - 2:17 | Submission 2 - 4:58 | Khaos Williams 02-15-2025 | | Shavkat Rakhmonov 12-16-2023 | Submission 2 - 4:56 | Decision - Unanimous 3 - 5:00 | Ange Loosa 07-13-2024 | | Kevin Holland 12-03-2022 | KO/TKO 4 - 5:00 | KO/TKO 2 - 4:33 | Nicolas Dalby 11-04-2023 | | Belal Muhammad 12-18-2021 | Decision - Unanimous 3 - 5:00 | Submission 1 - 1:13 | Trevin Giles 07-29-2023 | | Gilbert Burns 07-10-2021 | Decision - Unanimous 3 - 5:00 | Submission 1 - 0:49 | Mounir Lazzez 01-21-2023 | Card: Main Card Card Start Time: 1:00 AM Explore our in-depth fight analysis articles, providing expert predictions and bettor insights for the upcoming clash between these two fighters. Our analysts dive deep into fighters' stats, strategies, and previous performances to offer you the best betting tips and predictions. When it comes to betting on UFC fights, understanding the odds offered by different bookmakers is crucial for maximizing your potential payouts. Below, we provide detailed insights into the odds for Stephen Thompson vs Gabriel Bonfim, helping you make the most informed betting decisions. Stephen Thompson is currently the underdog fighter with the average odds of +343. Payout is based on a $1,000 bet. Bookmakers' odds reflect the implied probability of Stephen Thompson winning: Gabriel Bonfim is currently the favored fighter with the average odds of -450. Payout is based on a $1,000 bet. Bookmakers' odds reflect the implied probability of Gabriel Bonfim winning: Use our odds converter tool to convert odds, calculate implied probability, and profit for any odds format. Stephen Thompson vs Gabriel Bonfim starts at 2025-07-13 01:00:00 UTC. The favorite fighter in Stephen Thompson vs Gabriel Bonfim is: Gabriel Bonfim. Currently, the best odds for Gabriel Bonfim is -425 brought to you by Caesars. The underdog fighter in Stephen Thompson vs Gabriel Bonfim is: Stephen Thompson. Currently, the best odds for Stephen Thompson is +350 brought to you by FanDuel. The bookmaker with the best odds if you want to bet on Gabriel Bonfim is Caesars. Current odds for Caesars is -425. The bookmaker with the best odds if you want to bet on Stephen Thompson is FanDuel. Currently odds for FanDuel is +350. If you wanted to bet on the underdog, Stephen Thompson, the best bookmaker is FanDuel (+350). If you wanted to bet on the favored fighter, Gabriel Bonfim, the best odds are offered by Caesars (-425).",2024-01-01,https://www.ufcbetcompanion.com/event-fighter/3842-Stephen%20Thompson%20vs%20Gabriel%20Bonfim
