title,text,publish_date,url
"Geoff Neal vs. Carlos Prates, UFC 319 | MMA Bout | Tapology","Fighter Comparison | Neal | Prates | ||| | #10 WelterW (Worldwide) | Ranking | #11 WelterW (Worldwide) | || | 16-6-0 MMA | Pro Record | 21-7-0 MMA | || | 2025 2022 | Last 5 Fights | 2025 2024 | || | +165 (Slight Underdog) | Betting Odds | -190 (Slight Favorite) | || | | Nation | | || | Dallas Texas | Fights out of | Taubaté Sao Paulo | || | 34 +11 mos, 2 wks, 5 days | Age at Fight | 31 +11 mos, 4 wks, 2 days | || | 171.0 lbs (77.6 kgs) | Weigh-In Result | 170.0 lbs (77.1 kgs) | || | 5'11"" (180cm) | Height | 6'1"" (185cm) | || | 75.0"" (191cm) | Reach | 78.0"" (198cm) | || | Fortis MMA | Gym | Fighting Nerds Vale Top Team | Neal vs. Prates Fight Predictions Fight Predictions Tapology Community Picks: 7,520 Bout Information Event Poster Fight Details - Event: UFC 319: Du Plessis vs. Chimaev - Date: Saturday 08.16.2025 at 06:30 PM ET - Referee: - Venue: United Center - Enclosure: Octagon - Location: Chicago, Illinois, United States - Bout Billing: Main Card (fight 10 of 12) - Pro/Am: Professional - Weight: 170 lbs (77.1 kg) - Event Links: - Bout Links:",2025-05-13,https://www.tapology.com/fightcenter/bouts/1020239-ufc-319-geoff-handz-of-steel-neal-vs-carlos-the-nightmare-prates
UFC 319: Geoff Neal vs. Carlos Prates: Live round-by-round updates,"UFC 319 features a rescheduled welterweight clash between Geoff Neal and Carlos Prates. Neal has been a staple of the UFC’s welterweight rankings for years. He is known for his crisp boxing and ability to make even elite fighters uncomfortable. His resume includes battles with Shavkat Rakhmonov and Ian Machado Garry. At 35, Neal still carries fight-ending power in both hands and thrives in gritty, close-range exchanges. Prates stormed onto the UFC scene in 2024 with four straight finishes, instantly inserting himself into the top 15. His aggressive style and knockout instincts have made him must-watch TV, though his recent decision loss to Machado Garry showed vulnerabilities in his defensive game. Both fighters prefer to trade in the pocket, making this a likely stand-up war from the opening bell. UFC 319 happens Saturday, August 16, 2025, at the United Center in Chicago. Early Prelims air at 6 PM ET on ESPN+ and Disney+, Prelims at 7 PM ET on ESPN, and the Main Card at 10 PM ET on ESPN+ PPV. In India, watch on Sony LIV. Stay tuned to Sportskeeda MMA for the live coverage and play-by-play updates: Round 1",2025-08-16,https://www.sportskeeda.com/mma/news-ufc-319-geoff-neal-vs-carlos-prates-live-round-by-round-updates
Carlos Prates teases 'big news' after Geoff Neal injury scraps UFC 314 fight,"Carlos Prates teases 'big news' after Geoff Neal injury scraps UFC 314 fight The stacked UFC 314 fight card has taken its first hit with the cancellation of Geoff Neal vs. Carlos Prates. UFC officials announced Saturday that Neal (16-6 MMA, 8-4 UFC) has sustained an undisclosed injury and has been forced to withdraw from the welterweight contest against Prates (21-6 MMA, 4-0 UFC) on the April 12 card at Kaseya Center in Miami (ESPN+ pay-per-view, ESPN, ESPN+). As a result, Prates will not get a replacement opponent for the card and will be shifted to a different opportunity in the future. UFC play-by-play commentator Jon Anik noted during the injury announcement that big news could be on the horizon for Prates, and the surging 170-pound contender indicated as much on social media. Carlos Prates via. IG: ""News and good news coming soon!"" 👀#UFC #MMA pic.twitter.com/c0yNs0vzOG — Championship Rounds (@ChampRDS) March 30, 2025 A timeline for Neal's injury recovery and return are unknown at this time. The latest UFC 314 lineup now includes: - Alexander Volkanovski vs. Diego Lopes – for vacant featherweight title - Michael Chandler vs. Paddy Pimblett - Bryce Mitchell vs. Jean Silva - Patricio Freire vs. Yair Rodriguez - Nikita Krylov vs. Dominick Reyes - Dan Ige vs. Sean Woodson - Virna Jandiroba vs. Yan Xiaonan - Chase Hooper vs. Jim Miller - Sedriques Dumas vs. Michal Oleksiejczuk - Darren Elkins vs. Julian Erosa - Su Mudaerji vs. Mitch Raposo - Alberto Montes vs. Roberto Romero - Tresean Gore vs. Marco Tulio - Nora Cornolle vs. Hailey Cowan For more on the card, visit MMA Junkie's event hub for UFC 314.",2025-03-30,https://mmajunkie.usatoday.com/story/sports/ufc/2025/03/30/ufc-314-carlos-prates-big-news-geoff-neal-injury-canceled/82728875007/
"Geoff Neal vs. Carlos Prates: Odds, full fight preview and prediction | UFC 319","Geoff Neal vs. Carlos Prates: Odds, full fight preview and prediction | UFC 319 Ultimate Fighting Championship (UFC) Welterweight knockout artists Geoff Neal vs. Carlos Prates will duel this weekend (Sat., Aug. 16, 2025) at UFC Vegas 319 inside United Center in Chicago, Illinois. This is a certified Welterweight banger! Neal returned to the win column in his last fight, punching former champion Rafael dos Anjos so hard that his knee exploded. One of the division’s heaviest hitters, Neal has only lost to elite contenders in recent years, but he’s struggled to put a real win streak together. Prates, conversely, began his UFC career less than two years ago. He started fast, however, racking up a series of vicious knockout wins to gain a ranking almost immediately. Ian Garry sent him back to Earth and revealed some of the weaknesses in Prates’ formidable stand up, but Prates still nearly knocked him out late in the fight. Let’s take a closer look at the betting odds and strategic keys for each athlete: Neal vs. Prates Betting Odds Geoff Neal victory: +205 Geoff Neal via TKO/KO/DQ: +450 Geoff Neal via submission: +2000 Geoff Neal via decision: +550 Carlos Prates victory: -250 Carlos Prates via TKO/KO/DQ: +110 Carlos Prates via submission: +2000 Carlos Prates via decision: +175 Odds via DraftKings Sportsbook How Neal Wins Geoff Neal is a really interesting Southpaw striker. On one hand, he does apply classic tactics, like the double threat of his powerful left hand and thudding left high kick. At the same time, a lot of his best connections are setup by constant movement and sudden bursts forward. He might actually fight better from his back foot, but he’s not a sniper like an Israel Adesanya. Prates is going to walk towards Neal. It’s all he knows! In reality, that might work out just fine for Neal, who can set his traps knowing that he has an opponent willing to walk into them. He didn’t end up winning in the face of Shavkat Rakhmonov’s similar aggression, but he certainly cracked “Nomad” a bunch of times. For both men, the biggest adjustments to make will be adapting to the other’s Southpaw stance. When two lefties meet, the jab becomes more critically important. It’s unusual for Neal to be operating at a reach disadvantage, but he can make up for that by feinting the jab more often, mixing up the timing, and doubling up the shot. If Neal is winning the jab battle, he should be able to bait Prates forward and time counter shots effectively. Prates has an iron chin, but nobody likes getting hit by “Handz of Steel.” How Prates Wins Prates is a Muay Thai mauler. He applies patient, nonstop pressure and counts on his opponent reacting, timing them when they do so with hugely powerful counter punches. He’s got a pretty decent jab for a Southpaw, and Prates can certainly finish fights with his kicks and knees as well. It’s also worth-mentioning that his takedown defense looked damn good even in defeat to Garry. Hopefully, Prates learned the right lessons from the Garry loss. Namely, he has to be a little more proactive about his offense and setups when faced with elite competition. Neal won’t be quite as evasive and rangy as “The Future,” but he’ll provide a similar stylistic look overall. We talked about the importance of the jab above, and that certainly applies here for Prates too. Additionally, however, I’d really like to see more low kicks from the Brazilian. He kicks hard, and Southpaws are usually quite bad at checking the outside low kick from fellow lefties. If Prates is flicking jabs and using them to hide his low kick, he should be able to really hamper Neal’s movement and convince him to fire back. Prates is at his most dangerous when he’s backed his foe into the cage and they come back swinging. If he takes the initiative, he can land that position quickly, because Neal’s footwork often lands him on the cage anyway. Neal vs. Prates Prediction It’s easy to see either man having significant success here. Neal could replicate Garry’s success well and prevent Prates from getting rolling by forcing him to reset constantly. Simultaneously, Prates could catch Neal’s back to the cage in the opening two minutes and spark him outright. That’s why it’s such a fun stand up battle! Ultimately, I think Prates’ range advantage is going to be the deciding factor. Neal isn’t like Garry: he doesn’t want to run around and kick all night. That’s not his game. He’ll engage sooner than later, and I expect many of his punches to come up short while Prates is finding the mark. Prediction: Prates via decision LIVE! Watch UFC 319 PPV On ESPN+ Here! MIDDLEWEIGHT TITLE CAR CRASH! Ultimate Fighting Championship (UFC) continues its 2025 pay-per-view (PPV) schedule on Sat., Aug. 16, 2025, with a blockbuster title fight set to headline UFC 319 from inside United Center in Chicago, Illinois. In UFC 319’s PPV main event, Middleweight champion, Dricus du Plessis, defends his title against undefeated No. 3-ranked contender, Khamzat Chimaev, in a high-stakes, five-round battle of unbeaten UFC records. UFC 319’s PPV co-main event features a Featherweight showdown between Lerone Murphy and promotional newcomer, Aaron Pico, a high-profile free-agent signing stepping in on short notice. UFC 319 will also showcase a Welterweight clash between Geoff Neal vs. Carlos Prates, a Middleweight bout pitting Jared Cannonier vs. Michael Page, a Flyweight matchup featuring Tim Elliott vs. Kai Asakura, and much more! UFC 319’s start time is scheduled for 6 p.m. ET (“Early Prelims”), 8 p.m. ET (“Prelims” undercard), and 10 p.m. ET (PPV main card) Don’t miss a single second of EPIC face-punching action!",2025-08-14,https://sports.yahoo.com/article/geoff-neal-vs-carlos-prates-130000064.html?fr=sycsrp_catchall
Matchup Spotlight | Geoff Neal vs Carlos Prates,"Patience is a respected, aspirational and admirable virtue. That said, nothing tests one’s patience more than waiting for a fun and intriguing matchup between two knockout artists in the Octagon. Geoff Neal and Carlos Prates were booked to fight to fight in April at UFC 314 in Miami until Neal pulled out of the bout. Prates fought in the meantime, suffering his first UFC loss to Ian Machado Garry, which meant the matchup with Neal remained on the table in a real way. Prates’ defeat might have scuffed the shine on the matchup a little bit, but any fight fan with any awareness of the game knows better. UFC Coming To Paramount In 2026! Read The Announcement At UFC 319: Du Plessis vs Chimaev, the welterweight contenders finally lock horns in the Octagon in a critical matchup that should overflow with fireworks. Unlock MORE of your inner combat sports fan with UFC Fight Pass! Fighting is what we live for. And no one brings you MORE live fights, new shows, and events across multiple combat sports from around the world. With a never-ending supply of fighting in every discipline, there’s always something new to watch. Leave it to the world’s authority in MMA to bring you the Ultimate 24/7 platform for MORE combat sports, UFC Fight Pass! Upgrade licenceThis video is not available in your country There was a problem while loading content. Please try again. Geoff Neal A Dana White’s Contender Series alumnus from all the way back in season three, Neal steadily established himself as one of the best 170ers in the world. In 12 UFC fights, Neal collected eight wins, six finishes (four knockouts, two submissions) and three performance bonuses. The Dallas resident’s resume represents some of the toughest competition possible, and he has picked up wins over marquee names like Rafael Dos Anjos, Vicente Luque, Santiago Ponzinibbio and Belal Muhammad. With his thudding left hand and lightning left high kick, Neal has given himself a handful of opportunities to break into the title picture, but shortcomings against Stephen Thompson, Neil Magny, Shavkat Rakhmonov and Ian Machado Garry stifled any momentum in that direction. That said, Neal hasn’t ever been fully out of any fight — a perk of having fight-changing power and a high skill level. Saturday's Full Fight Card Preview Where Neal has struggled in the past has almost come off as trusting himself and pulling the trigger. Machado Garry and Thompson were able to use footwork and distance management to frustrate Neal, but he has shown in fights like his knockout over Luque the ability to overwhelm an opponent who meets him in the middle. The potential for a run toward the top remains for the 34-year-old, and thwarting a hot contender like Prates would do wonders for his bid. Carlos Prates Brazil’s Prates was a shoo-in to the promotion after he sparked Mitch Ramirez in his Dana White’s Contender Series bout in November 2023. The suave striker quickly became a fan-favorite in 2024 as he picked up four consecutive knockout wins over Trevin Giles, Charles Radtke, Li Jingliang and Neil Magny, each earning a performance bonus. The cult of fanfare dovetailed with the rise of the Fighting Nerds in 2024. Prates, who splits his time with the Nerds and his home squad Vale Top Team, carried the banner along with Jean Silva, Caio Borralho and Mauricio Ruffy. The quartet was equal parts style and devastating substance, and the MMA fandom quickly came to adore the cigarette-smoking sniper, Prates. WATCH: UFC 319 Embedded The 31-year-old “Nightmare” experienced his first stumble in his second main event shot, a relatively late-notice crack at Machado Garry in Kansas City. Although the Irishman mesmerized with his technical ability and movement, Prates’ power gave him an opportunity late in the bout as he cracked Machado Garry and nearly scored a late finish. Alas, the judges gave Machado Garry the unanimous nod, snapping Prates11-fight winning streak. That Prates returns to the matchup with Neal, thus marking a sort of return to where he was before the loss, speaks to the maintained belief in his stock. Meeting in the Middle With 26 knockouts between them and a combined average fight time hovering around two full rounds, all signs point toward a finish in Chicago. However, the two go about finding the finishing shot in distinct ways. Prates is a patient striker who averages 3.6 strikes per minute, opting to feint and pressure forward as he seeks windows to open up. Neal is quite athletic and able to float on the outside before darting into the pocket and landing his shots, but his 5.05 strikes per minute speaks to a slightly higher work rate than his counterpoint. Your Full Guide To UFC 319 Fight Week Coincidentally, both men absorb more strikes than they land, which could mean nothing in this scenario but also could mean they are going to be comfortable putting themselves in harm’s way in order to land the heavier shot. To each fighter’s credit, they are sharp, technical and mindful in their approach, but they also fight like people who always feel like they have the heaviest shot in their locker. In short, Chicago is getting a treat of a fight ahead of the co-main and main events of the evening. Don't miss a moment of UFC 319: Du Plessis vs Chimaev, live from United Center in Chicago, Illinois on August 16, 2025. Prelims start at 8pm ET/5pm PT, followed by the main card live on PPV at 10pm ET/7pm PT.",2025-08-14,https://www.ufc.com/news/matchup-spotlight-geoff-neal-vs-carlos-prates-ufc-319
UFC 314: Geoff Neal is OUT of his fight at against Carlos Prates,"The UFC Mexico broadcast delivered disappointing news for fight fans eagerly anticipating the welterweight clash between Geoff Neal and Carlos Prates at UFC 314. Neal has officially withdrawn from the bout due to injury, leaving Prates without an opponent just two weeks ahead of the highly anticipated event scheduled for April 12 at the Kaseya Center in Miami, Florida. The UFC confirmed that updates regarding Prates' next fight will be announced soon, leaving fans speculating about potential replacements. Breaking: The fight between Geoff Neal and Carlos Prates at #UFC314 has been cancelled due to an injury to Neal, Jon Anik announced on the #UFCMexico broadcast. pic.twitter.com/iVrqxsM7l4 — ESPN MMA (@espnmma) March 30, 2025 A Major Blow to the UFC 314 Lineup Geoff Neal’s withdrawal is a significant shake-up for UFC 314, which boasts a stacked card headlined by a vacant featherweight title bout between Alexander Volkanovski and Diego Lopes. Neal, a staple of the welterweight division and ranked inside the top 15, was set to face one of the division’s hottest prospects in Carlos Prates. The bout had all the makings of a fan-friendly “striker vs. striker” matchup, with both fighters known for their knockout power and aggressive styles. Neal (16-6 MMA, 8-4 UFC) was coming off a first-round knockout win over Rafael dos Anjos at UFC 308 in October 2024, a victory that snapped a two-fight skid and reignited his career. His experience and technical striking were expected to test Prates (21-6 MMA, 4-0 UFC), who has been on an incredible tear since joining the promotion. Prates, nicknamed “The Nightmare,” has finished all four of his UFC opponents via knockout, earning Performance of the Night bonuses in each outing. The cancellation leaves fans wondering what could have been in a matchup that many believed would determine if Prates is ready to challenge elite competition in the welterweight division. What’s Next for Carlos Prates? With Geoff Neal out, all eyes are now on Carlos Prates and who might step up to face him on short notice. The Brazilian phenom has quickly become one of the most exciting fighters in the UFC thanks to his devastating knockout power and relentless finishing ability. At just 27 years old, Prates has already built an impressive resume that includes wins over Neil Magny, Jingliang Li, Charles Radtke, and Trevin Giles—all via stoppage. Prates’ momentum makes him an attractive option for any fighter looking to make a statement in the welterweight division. However, finding a suitable replacement on such short notice will be challenging. The UFC may look to other unbooked contenders or rising prospects willing to take on the high-risk opportunity of facing Prates. The Impact on UFC 314 Despite this setback, UFC 314 remains one of the most anticipated cards of the year. The event features several high-profile matchups, including Michael Chandler vs. Paddy Pimblett in the co-main event and Yair Rodriguez vs. Patricio Pitbull in a featherweight showdown. However, losing Neal vs. Prates—a bout that promised fireworks—leaves a noticeable void on the main card. For Geoff Neal, this withdrawal marks another frustrating chapter in his career plagued by injuries and setbacks over recent years. While details surrounding his withdrawal remain unclear as of now, fans hope he can recover quickly and return to action later this year. As for Carlos Prates, his journey toward becoming a top contender continues despite this disruption. Whether he faces a new opponent at UFC 314 or is rescheduled for another event, “The Nightmare” remains one of the most exciting talents to watch in MMA today. With just two weeks until fight night, fans eagerly await news from the UFC regarding Prates’ next opponent—and whether this Miami card can maintain its blockbuster appeal despite this unfortunate shake-up.",2025-03-30,https://clutchpoints.com/ufc/ufc-314-geoff-neal-is-out-of-his-fight-at-against-carlos-prates
UFC 319: Carlos Prates vs Geoff Neal fight preview and fighter interviews,"Carlos Prates will face Geoff Neal at UFC 319 this Saturday, August 16, in a rescheduled welterweight bout originally planned for earlier this year. Neal's injury forced a postponement, leading Prates to fight Ian Machado Garry at UFC Kansas City in April instead. Garry defeated Prates by decision, setting up the rescheduled Neal matchup for UFC 319. The Brazilian fighter addressed the delayed bout during Wednesday's, August 13, media day. Also read: Dricus Du Plessis outlines plan to stop Khamzat Chimaev in UFC 319 battle ""Yeah, I think it's the fight that makes sense. We should have fought before, but Geoff got injured and then I fought Ian Garry,"" Prates (21-7) told media outlets including Cageside Press. ""Now, I think the fight makes sense."" ""Of course Ian is great, he's really smart, really intelligent fighter. But I learned also how to be a complete fighter. It's important,"" Prates said. ""It's time to stop thinking about only bonuses, like knocking people out, bonuses and entertaining people, and just focus on getting the win. Because at the end of the day, getting the win is more important than a bonus or something like that."" The Brazilian fighter emphasized the importance of precision at the UFC's highest level. ""We are on biggest, high level. So small mistakes can change the end of the fight,"" Prates noted. ""I know a lot of people like to say something to make the thing become real, but definitely, he says he's going to knock me out in the first round, it's [not] going to become real,"" Prates countered. Also read: UFC 319 Live Streaming: How to watch Khamzat Chimaev vs Dricus du Plessis main card fight? Full Card, Star ""I think after winning [against] Geoff now, it's going to make a life in the top of the division. When you talk about who is close to the title shot, maybe one, two, three fights, you have some names there. I lost my last fight, so I think my name is not there. But I think after I beat Geoff Neal, my name is going back to the bunch of guys that are close to a title shot. Maybe three fights, one year, can fight for the belt,"" Prates told Cageside Press. The welterweight bout between Prates and Neal takes place Saturday as part of the UFC 319 card. Garry defeated Prates by decision, setting up the rescheduled Neal matchup for UFC 319. The Brazilian fighter addressed the delayed bout during Wednesday's, August 13, media day. Also read: Dricus Du Plessis outlines plan to stop Khamzat Chimaev in UFC 319 battle ""Yeah, I think it's the fight that makes sense. We should have fought before, but Geoff got injured and then I fought Ian Garry,"" Prates (21-7) told media outlets including Cageside Press. ""Now, I think the fight makes sense."" Prates reflects on Ian Garry loss and strategic changes Following his loss to Garry, Prates identified several areas for improvement, including adherence to coaching instructions and fight strategy development.""Of course Ian is great, he's really smart, really intelligent fighter. But I learned also how to be a complete fighter. It's important,"" Prates said. ""It's time to stop thinking about only bonuses, like knocking people out, bonuses and entertaining people, and just focus on getting the win. Because at the end of the day, getting the win is more important than a bonus or something like that."" The Brazilian fighter emphasized the importance of precision at the UFC's highest level. ""We are on biggest, high level. So small mistakes can change the end of the fight,"" Prates noted. UFC 319 fighter responds to Neal's first round knockout prediction Geoff Neal has stated his preparation focuses on a first-round finish, a claim Prates questioned during UFC 319 media availability. The Brazilian welterweight suggested Neal's short-term thinking could prove problematic if the fight extends beyond the opening frame.""I know a lot of people like to say something to make the thing become real, but definitely, he says he's going to knock me out in the first round, it's [not] going to become real,"" Prates countered. Also read: UFC 319 Live Streaming: How to watch Khamzat Chimaev vs Dricus du Plessis main card fight? Full Card, Star Prates eyes title shot path following potential Neal victory A victory over Neal at UFC 319 could position Prates for future title contention, according to the Brazilian fighter's assessment of the welterweight division landscape.""I think after winning [against] Geoff now, it's going to make a life in the top of the division. When you talk about who is close to the title shot, maybe one, two, three fights, you have some names there. I lost my last fight, so I think my name is not there. But I think after I beat Geoff Neal, my name is going back to the bunch of guys that are close to a title shot. Maybe three fights, one year, can fight for the belt,"" Prates told Cageside Press. The welterweight bout between Prates and Neal takes place Saturday as part of the UFC 319 card. Read More News on (Catch all the US News, UK News, Canada News, International Breaking News Events, and Latest News Updates on The Economic Times.) Download The Economic Times News App to get Daily International News Updates. Read More News on (Catch all the US News, UK News, Canada News, International Breaking News Events, and Latest News Updates on The Economic Times.) Download The Economic Times News App to get Daily International News Updates.",2025-08-16,https://economictimes.indiatimes.com/news/international/us/ufc-319-carlos-prates-vs-geoff-neal-fight-preview-and-fighter-interviews/articleshow/123331939.cms
UFC 319: Geoff Neal vs. Carlos Prates Prediction,"UFC 319: Geoff Neal vs. Carlos Prates Prediction for Today, 08/16/25 UFC 319: Geoff Neal vs. Carlos Prates Pickswise Expert Predictions The third fight on the Main Card at UFC 319 will see Geoff Neal take on Carlos Prates. This will be a fight in the UFC Welterweight division. Neal enters this fight with an MMA record of 16-6 and 9-4 in the UFC. He is averaging 5.05 significant strikes per minute and has a striking accuracy of 51%. Neal absorbs 5.44 strikes and has a striking defense of 57%. His grappling has not been strong, averaging just 0.56 takedowns every 15 minutes. He has a takedown accuracy of 50% and a takedown defense of 87%. Prates enters this fight with an MMA record of 21-7 and 5-1 in the UFC. He is averaging 3.60 significant strikes per minute and has a striking accuracy of 54%. Prates is absorbing 4.79 strikes per minute and has a striking defense of 48%. He has shown little grappling ability, averaging just 0.25 takedowns every 15 minutes. That said, he has a takedown accuracy of 100% and a takedown defense of 83%. Prates is the heavy favorite in this fight, but still looks to be worth a small bet. He has been much more consistent in the UFC, having lost just once, while Neal has lost 2 of his last 3 UFC fights. Because of the current form shown by both fighters, backing Prates to win will be our lean. UFC Analysis See All UFC NewsUFC 319 Parlay at +189 odds: Featuring Dricus Du Plessis vs. Khamzat Chimaev and Geoff Neal vs. Carlos Prates UFC 319 takes place on Saturday at the United Center in Chicago, Illinois. It features a UFC Middleweight title fight between Dricus Du Plessis and Khamzat Chimaev as the Main Event. Here are my favo...",2025-08-13,https://www.pickswise.com/ufc/predictions/ufc-319-geoff-neal-vs-carlos-prates-predictions-picks/
Geoff Neal vs. Carlos Prates scrapped from UFC 314,"A major welterweight matchup between Geoff Neal and Carlos Prates is no longer happening at UFC 314. During Saturday’s UFC Mexico broadcast, UFC commentator Jon Anik announced that Neal suffered an injury that knocked him out of the fight and as a result the entire matchup has been pulled from the April 12 card. No further detail was provided about Neal’s injury or how long he might be sidelined as a result. As for Prates, he won’t get a new opponent, but Anik teased that the Brazilian might have an even bigger opportunity awaiting him in the near future. “We hope to have some big news on Carlos Prates in the weeks to come,” Anik said. Regardless of what comes next, it’s disappointing news for Prates, who was looking to build on a stunning 2024 campaign where he delivered four straight wins, all by knockout in the first or second round. Prates had the opportunity build on that résumé by taking on an established veteran in Neal, but now waits until a later date for his next assignment. The fight was supposed to serve as Neal’s opportunity to win a second right in a row after beating Rafael dos Anjos this past October. Neal misses out on the chance to face one of the fastest rising stars on the entire UFC roster. With Neal vs. Prates cancelled, the UFC 314 main card currently sits with just four fights but a fifth bout will be shifted into that position before the event takes place on April 12 in Miami.",2025-03-29,https://www.mmafighting.com/2025/3/29/24396900/geoff-neal-vs-carlos-prates-scrapped-from-ufc-314
UFC 319: 3-fight parlay at +189 odds | Pickswise,"UFC 319 takes place on Saturday at the United Center in Chicago, Illinois. It features a UFC Middleweight title fight between Dricus Du Plessis and Khamzat Chimaev as the Main Event. Here are my favorite UFC parlay picks for this card. Also be sure to check out the rest of our UFC predictions for all of the Main Card fights. Dricus Du Plessis vs. Khamzat Chimaev – Over 1.5 Rounds (-195) Carlos Prates ML over Geoff Neal (-245) Jared Cannonier vs. Michael Page – Fight to go the Distance – Yes (-250) UFC 319 parlay pick: Dricus Du Plessis vs. Khamzat Chimaev – Over 1.5 Rounds (-195) The Main Event at UFC 319 will see Dricus Du Plessis take on Khamzat Chimaev in the UFC Middleweight division and will be for the UFC Middleweight division title. Du Plessis enters this fight with an MMA record of 23-2 and 9-0 in the UFC. He is averaging 6.12 significant strikes per minute and has a striking accuracy of 48%. Du Plessis is absorbing 4.90 strikes and has a striking defense of 54%. His grappling has also been elite in the UFC, averaging 2.55 takedowns every 15 minutes. He has a takedown accuracy of 50% and a takedown defense of 50%. Chimaev enters this fight with an MMA record of 14-0 and 8-0 in the UFC. He averages 5.36 significant strikes per minute and has a striking accuracy of 58%. Chimaev absorbs 3.25 strikes and has a striking defense of 41%. Chimaev also has elite grappling, averaging 4.31 takedowns every 15 minutes and 2.8 submission attempts during the same period. He has a takedown accuracy of 47% and a takedown defense of 100%. Chimaev is the heavy favorite in this fight, despite not being the current title holder. Because of this, we will be targeting this fight to go over 1.5 rounds. Du Plessis has seen 6 of his last 7 UFC fights go over 1.5 rounds, while Chimaev has seen 2 of his last 4 UFC fights do the same. Because of this, backing over 1.5 rounds will be our play. You can also read our expert’s UFC 319 best bets for Saturday night UFC 319 parlay pick: Carlos Prates ML over Geoff Neal (-245) The third fight on the Main Card at UFC 319 will see Geoff Neal take on Carlos Prates in the UFC Welterweight division. Prates enters this fight with an MMA record of 21-7 and 5-1 in the UFC. He is averaging 3.60 significant strikes per minute and has a striking accuracy of 54%. Prates is absorbing 4.79 strikes per minute and has a striking defense of 48%. He has shown little grappling ability, averaging just 0.25 takedowns every 15 minutes. That said, he has a takedown accuracy of 100% and a takedown defense of 83%. Prates is the heavy favorite in this fight, but still looks to be worth a small bet. He has been much more consistent in the UFC, having lost just once, while Neal has lost 2 of his last 3 UFC fights. Because of the current form shown by both fighters, backing Prates to win will be our play. Don’t miss our UFC picks for every main card fight at UFC 319 UFC 319 parlay pick: Jared Cannonier vs. Michael Page – Fight to go the Distance – Yes (-250) The second fight on the Main Card at UFC 319 will see Jared Cannonier take on Michael Page in the UFC Middleweight division. For this fight, we will be targeting it to go the distance. Cannonier has seen 4 of his 6 UFC fights go the distance, while Page has seen all 3 of his UFC fights do the same. For this reason, backing this fight to go the distance will be our play.",2025-08-13,https://www.pickswise.com/news/ufc-319-parlay-at-189-odds-featuring-dricus-du-plessis-vs-khamzat-chimaev-and-geoff-neal-vs-carlos-prates/
