title,text,publish_date,url
"Gerald Meerschaert vs. Michał Oleksiejczuk, UFC 319 | MMA Bout | Tapology","Fighter Comparison | Meerschaert | Oleksiejczuk | ||| | #31 MiddleW (Worldwide) | Ranking | #36 MiddleW (Worldwide) | || | 37-19-0 MMA | Pro Record | 20-9-0 MMA | || | 2025 2024 | Last 5 Fights | 2025 2024 | || | +180 (Slight Underdog) | Betting Odds | -210 (Moderate Favorite) | || | | Nation | | || | Milwaukee Wisconsin | Fights out of | Sao Paulo Sao Paulo | || | 37 +7 mos, 4 wks, 1 day | Age at Fight | 30 +5 mos, 3 wks, 4 days | || | 185.0 lbs (83.9 kgs) | Weigh-In Result | 186.0 lbs (84.4 kgs) | || | 6'1"" (185cm) | Height | 6'0"" (184cm) | || | 77.5"" (197cm) | Reach | 74.0"" (188cm) | || | Kill Cliff FC | Gym | Fighting Nerds | Meerschaert vs. Oleksiejczuk Fight Predictions Fight Predictions Tapology Community Picks: 7,203 Bout Information Event Poster Fight Details - Event: UFC 319: Du Plessis vs. Chimaev - Date: Saturday 08.16.2025 at 06:30 PM ET - Referee: - Venue: United Center - Enclosure: Octagon - Location: Chicago, Illinois, United States - Bout Billing: Preliminary Card (fight 6 of 12) - Pro/Am: Professional - Weight: 185 lbs (83.9 kg) - Event Links: - Bout Links:",2025-05-13,https://www.tapology.com/fightcenter/bouts/1010148-ufc-319-gerald-gm3-meerschaert-vs-michal-hussar-oleksiejczuk
"Gerald Meerschaert vs. Michal Oleksiejczuk prediction, odds, pick for UFC 319","UFC 319: Du Plessis vs. Chimaev is reaching a feverish pitch from Chicago as we bring you another betting prediction and pick for this next bout in the Middleweight (185) Division. Kill Cliff's Gerald Meerschaert will take on Poland's Michal Oleksiejczuk in an exciting matchup between finishers. Check the UFC odds for our Meerschaert-Oleksiejczuk prediction and pick. Gerald Meerschaert (37-19) comes in with a 12-11 record with the UFC since 2016. He's been a mainstay within this division and has seen the highest highs and lowest lows, including a two-fight win streak followed by recent back-to-back losses heading into this one. He'll hope to break that losing streak at UFC 319. Meerschaert stands 6-foot-1 with a 77.5-inch reach. Michal Oleksiejczuk (20-9) has gone 8-7-0-1 throughout his UFC stint since 2017. He's also seen his own tough times with a 2-3 record over his last five, including a three-fight skid during that stretch. Coming in off a win, he'll look for his first winning streak since 2022 as the betting favorite. Oleksiejczuk stands six feet tall with a 74-inch reach. Here are the UFC 319 Odds, courtesy of DraftKings. UFC 319 Odds: Geral Meerschaert-Michal Oleksiejczuk Odds Gerald Meerschaert: +180 Michal Oleksiejczuk: -218 Over 1.5 rounds: +105 Under 1.5 rounds: -135 *Watch sports LIVE with fuboTV (Get Access | Save $30)* Why Gerald Meerschaert Will Win - Last Fight: (L) Brad Tavares – U DEC - Last 5: 2-3 - Finishes: 6 KO/TKO, 29 SUB Gerald Meerschaert fell short during his last fight against a tough opponent in Brad Tavares, but managed to see a decision and avoid a knockout despite being listed as the underdog. This comes after quickly being submitted by Reinier de Ridder, so Meerschaert is looking for a win to get him back on track. Given his success in finishing each one of his 12 UFC wins, Meerschaert could welcome a wild brawl during this fight. Of his 12 UFC wins, 11 have come by way of submission as he holds the record for most in the Middleweight Division. Oleksiejczuk's six losses by submission is more than any other method in his career, so Meerschaert can certainly see success if he's able to repeatedly put Oleksiejczuk in bad spots. In order to close the distance and reach him, he'll have to avoid the knockout blows coming back his way first and foremost. Despite this, Meerschaert is still a manageable underdog in this fight and has been in this spot countless times in the past. Oleksiejczuk won't offer anything out of the ordinary besides forward pressure and aggression, so look for Meerschaert to work his veteran tactics and find submission attempts throughout this one. Why Michal Oleksiejczuk Will Win - Last Fight: (W) Sedriques Dumas – TKO (right hook, R1) - Last 5: 2-3 - Finishes: 15 KO/TKO, 1 SUB Michal Oleksiejczuk rose to the occasion during his last bout in taking out a rising prospect like Sedriques Dumas rather quickly and efficiently. This came following a three-fight losing streak where he was submitted twice, but Oleksiejczuk has since moved his fight camp to Brazil to train with the Fighting Nerds, opening up his aggressive striking style and working on his ground game. The switch clearly helped during his fight with Dumas, so we could be seeing a newer, more improved version of Oleksiejczuk moving forward. With six of his nine career losses coming by way of submission, training with a fighter like Caio Borralho will certainly help him in preparing for bad positions against Meerschaert. Oleksiejczuk already has the better striking technique opposite of his opponent, so making his defensive grappling even stronger will only benefit him during this matchup. All in all, Oleksiejczuk is expected to fight his usual brawling style, but having improved jiu jitsu to fall back on will certainly help his confidence. Oleksiejczuk is also extremely scrappy with his ground-and-pound, so expect him to mix some of that in while he's scrambling and looking for top position. Final Gerald Meerschaert-Michal Oleksiejczuk Prediction & Pick This should be a fun fight between two veterans in the division who are looking to find some consistency as of late. Gerald Meerschaert is looking to break a losing streak with a strong opportunity to do so given his grappling advantage over Oleksiejczuk. However, Michal Oleksiejczuk is the far more dangerous striker and has been refining his grappling skills with one of the current best fight camps in the UFC. If we see his grappling make significant improvements once again, this fight could be much more lopsided than the betting odds indicate. For this reason, we're going to roll with Michal Oleksiejczuk to get the win, thanks to his higher ceiling for improvement at this point of his career. Gerald Meerschaert poses a nice challenge, but Oleksiejczuk seems to have all the tools to finish this fight. Final Gerald Meerschaert-Michal Oleksiejczuk Prediction & Pick: Michal Oleksiejczuk (-218); UNDER 1.5 Rounds (-135)",2025-08-14,https://clutchpoints.com/betting/gerald-meerschaert-vs-michal-oleksiejczuk-prediction-odds-pick-for-ufc-319
UFC 319: Du Plessis vs. Chimaev,"""GM3"" ""Hussar"" | Gerald Meerschaert | Michal Oleksiejczuk | | |---|---|---| | Tale of the tape | || | Wins/Losses/Draws | 37-19-0 | 20-9-0 (1 NC) | | Average Fight Time | 8:47 | 6:14 | | Height | 6' 1"" | 6' 0"" | | Weight | 185 lbs. | 185 lbs. | | Reach | 77"" | 74"" | | Stance | Southpaw | Southpaw | | DOB | Dec 18, 1987 | Feb 22, 1995 | | Striking (Significant Strikes) | || | Strikes Landed per Min. (SLpM) | 3.05 | 5.27 | | Striking Accuracy | 45% | 51% | | Strikes Absorbed per Min. (SApM) | 3.43 | 4.51 | | Defense | 53% | 59% | | Grappling | || | Takedowns Average/15 min. | 1.86 | 1.05 | | Takedown Accuracy | 31% | 43% | | Takedown Defense | 42% | 48% | | Submission Average/15 min. | 1.4 | 0.0 | | Most recent fights (Newest First) | || | Loss - Tavares | Win - Dumas | | | Loss - de Ridder | Loss - Magomedov | | | Win - Shahbazyan | Loss - Holland | | | Win - Barberena | Loss - Pereira | | | Loss - Petroski | Win - Njokuani |",1995-02-22,http://ufcstats.com/fight-details/5b880d10b0ed7acc
Gerald Meerschaert vs Michal Oleksiejczuk: Fight Overview,"16 Aug On August 16, UFC 319 heads to the United Center in Chicago with a middleweight matchup between veteran grappler Gerald “GM3” Meerschaert and Polish striker Michal “Hussar” Oleksiejczuk. Meerschaert returns to action following a decision loss to Brad Tavares in April. With nearly 60 professional fights, his reputation as a submission specialist remains intact. Known for his resilience and deep experience against top-tier opponents, Meerschaert continues to be a tough test for anyone trying to climb the middleweight ladder. Oleksiejczuk comes in off a first-round TKO over Sedriques Dumas, showcasing the punching power that has defined much of his career. With a high knockout rate and an aggressive forward style, he looks to impose pressure early and force mistakes from his opponents. Both fighters share a southpaw stance, but their strengths lie on opposite ends of the spectrum—Meerschaert on the ground, Oleksiejczuk on the feet. This creates a clear tactical battle: can Meerschaert weather the early storm and drag the fight into his world, or will Oleksiejczuk find the opening to end it before grappling becomes a factor? Positioned on a stacked UFC 319 card, this bout adds a classic striker-vs-grappler dynamic that could shift the momentum for either man's path in the division. The Tale of the Tape data is compiled from publicly available information on Sherdog | Gerald Meerschaert | Michal Oleksiejczuk | |---|---| | USA | Poland | | 37 - 19 - 0 (6 KOs) | 20 - 9 - 0 (15 KOs) | | middleweight (185 lbs / 83,9 kg) | middleweight (185 lbs / 83,9 kg) | | Age | | | Wins | | | Losses | | | Anthropometry | | The scheduled 3-round middleweight bout will take place on August 16, 2025. The full fight night schedule, including local start times for various countries, is listed below. Check the schedule to see when the event begins in your region. The fight night will start on Saturday, August 16 at 6:00 PM ET (New York time). The fight night will start on Saturday, August 16 at 3:00 PM PT (Los Angeles time). The fight night will start on Saturday, August 16 at 6:00 PM ET (Toronto time). The fight night will start on Saturday, August 16 at 11:00 PM BST (London time). The fight night will start on Sunday, August 17 at 12:00 AM SAST (Johannesburg time). The fight night will start on Sunday, August 17 at 6:00 AM PHT (Manila time). The fight night will start on Sunday, August 17 at 8:00 AM AEST (Sydney time). The fight night will start on Sunday, August 17 at 10:00 AM NZST (Wellington time). Note that the main event ring walk typically takes place about 1 to 1.5 hours after the main card begins. If you're mainly interested in the headline bout, there’s still some time — but it’s always worth watching the full card. You can stream the Meerschaert vs Oleksiejczuk fight via ESPN PPV. Disclaimer: Some links to streaming or pay-per-view on this page may be affiliate links. If you make a purchase through them, we may earn a commission — at no extra cost to you. The fight will be held at the United Center in Chicago, Illinois, USA. Full Fight card for Gerald Meerschaert vs Michal Oleksiejczuk: Fight card subject to change | Division | Fighter #1 | Fighter #2 | Notes | |---|---|---|---| | middleweight (185 lbs) | Dricus Du Plessis (23 - 2 - 0) | Khamzat Chimaev (14 - 0 - 0) | UFC | | featherweight (145 lbs) | Lerone Murphy (16 - 0 - 1) | Aaron Pico (13 - 4 - 0) | | | welterweight (170 lbs) | Geoff Neal (16 - 6 - 0) | Carlos Prates (21 - 7 - 0) | | | middleweight (185 lbs) | Jared Cannonier (18 - 8 - 0) | Michael Page (23 - 3 - 0) | | | flyweight (125 lbs) | Tim Elliott (20 - 13 - 1) | Kai Asakura (21 - 5 - 0) | | | lightweight (155 lbs) | Bobby Green (32 - 17 - 1) | Diego Ferreira (19 - 6 - 0) | | | middleweight (185 lbs) | Gerald Meerschaert (37 - 19 - 0) | Michal Oleksiejczuk (20 - 9 - 0) | | | middleweight (185 lbs) | Baysangur Susurkaev (9 - 0 - 0) | Eric Nolan (8 - 3 - 0) | | | strawweight (115 lbs) | Jessica Andrade (26 - 14 - 0) | Lupita Godinez (13 - 5 - 0) | | | lightweight (155 lbs) | Chase Hooper (16 - 3 - 1) | Alexander Hernandez (16 - 8 - 0) | | | lightweight (155 lbs) | Edson Barboza (24 - 12 - 0) | Drakkar Klose (15 - 3 - 1) | | | middleweight (185 lbs) | Bryan Battle (12 - 2 - 0) | Nursulton Ruziboev (36 - 9 - 2) | | | flyweight (125 lbs) | Karine Silva (18 - 5 - 0) | Dione Barbosa (8 - 3 - 0) | | | welterweight (170 lbs) | Rodrigo Sezinando (8 - 1 - 0) | Daniil Donchenko (11 - 2 - 0) | | | flyweight (125 lbs) | Alibi Idiris (10 - 0 - 0) | Joseph Morales (12 - 2 - 0) |",2025-08-16,https://boxing-schedule.com/mma/meerschaert-vs-oleksiejczuk/
Preview: UFC 319 Prelims - Oleksiejczuk vs. Meerschaert,"Preview: UFC 319 Prelims Oleksiejczuk vs. Meerschaert Middleweights Michal Oleksiejczuk (20-9, 8-7 UFC) vs. Gerald Meerschaert (37-19, 12-11 UFC)BETTING ODDS: Oleksiejczuk (-218), Meerschaert (+180) Advertisement Meerschaert took the long road to the UFC, fighting over 30 times before getting the call for his debut, at which point that experience paid off. Meerschaert isn’t much of an athlete per UFC standards, but he kept finding a way to tangle up with opponents and get some submissions. Meerschaert has even developed a capable striking game along the way, making him a perennially tough out given any sort of athletic parity. There are basically two ways this fight can go, with Oleksiejczuk either obliterating Meerschaert for a knockout or getting himself submitted after hunting for that finish. Oleksiejczuk still showed enough wildness in the win over Dumas to lean towards the latter scenario. The pick is Meerschaert via second-round submission. Jump To » Green vs. Ferreira Oleksiejczuk vs. Meerschaert Godinez vs. Andrade Hooper vs. Hernandez Barboza vs. Klose Battle vs. Ruziboev Silva vs. Barbosa Sezinando vs. Donchenko Idiris vs. Morales « Previous Top Reasons to Catch UFC 319 Next Tom Aspinall Never Picking Dricus Pu Plessis to Lose Again » More",2025-08-13,https://www.sherdog.com/news/articles/2/Preview-UFC-319-Prelims-198028
Gerald Meerschaert vs. Michal Oleksiejczuk,"I feel like the majority of fighters on this card are 2-3 in their last 5 and fighting to keep their careers alive. This matchup is no different. Meerschaert can definitely win this fight on the ground, but if he doesn't get it there, he is likely in a tough spot. The problem for Gerald isn't that he needs fights to get to the ground, its that his takedowns aren't really good enough to guarantee it. I am absolutely torn here because Michal's BJJ is terrible but so is Gerald's wrestling and chin. I am going to slightly lean Michal because I think it is easier to improve the takedown defense than the striking defense for a matchup like this. Gerald Meerschaert Gerald Meershaert is a very good grappler who is always live for a submission. He is not great on his feet and people question his chin but he is tough and he won't quit on himself. He is an incredibly talented grappler but like so many others, he doesn't have very good offensive wrestling and even though he averages almost 2 takedowns per fight, he has a very low 31% takedown accuracy. He is coming off a competitive loss to Brad Tavares where he went an abysmal 0-8 in takedown attempts. Michal Oleksiejczuk Michal Oleksijczuk is a very good striker with fast hands and a ton of pressure early. He has power as well with 7 KOs in his 8 UFC wins. While he's dangerous on his feet, he does have grappling holes and can fade as the fight goes on. He is coming off the KO win over SD Dumas where many commented it was a little early.",2025-08-03,https://wewantpicks.com/gerald-meerschaert-vs-michal-oleksiejczuk/
Gerald Meerschaert vs Michal Oleksiejczuk - AI generated fight pick,"Winner: Gerald Meerschaert Confidence Score: 62Gerald Meerschaert has a massive submission edge with 29 career submission wins and a proven ability to finish high-level opponents on the ground. While Michal Oleksiejczuk is a dangerous first-round striker with 15 knockouts and a high significant strike accuracy (51%), he has repeatedly struggled against strong grapplers, as shown by his recent first-round submission losses to Kevin Holland and Michel Pereira. Meerschaert's reach advantage (77.5"" vs 74"") and his experience against a higher level of competition, combined with Oleksiejczuk's sub-50% takedown defense, suggest that if this fight leaves the first round, Meerschaert's grappling should take over. Historically, fighters with Meerschaert's submission profile and reach advantage at middleweight win a majority of these stylistic matchups, especially against aggressive but defensively flawed strikers. The main risk is Meerschaert's age (37) and chin durability, but stylistically, he is a tough matchup for Oleksiejczuk. Live odds Live and historic odds as well as more fighter statistics and insights for Gerald Meerschaert vs Michal Oleksiejczuk can be found on the fighter matchup page. All the fighter matchups and live odds for Du Plessis vs Chimaev can be found on the Du Plessis vs Chimaev event page.",2025-08-04,https://www.ufcbetcompanion.com/event-fighter/3889-Gerald%20Meerschaert%20vs%20Michal%20Oleksiejczuk/picks/1994
Gerald Meerschaert vs Michal Oleksiejczuk,"Find the best odds and up to date statistics for for Gerald Meerschaert vs Michal Oleksiejczuk. Date: Aug 17, 2025 Location: United Center Chicago, IL United States Cards: Main Card 2:00 am ● Prelim Card 12:00 am ● Early Prelim Card 10:30 pm | 37/19/0 | Record (W::L::D) | 20/9/0 | | 6 | Wins By Knockout | 15 | | 29 | Wins By Submission | 1 | | 15 | First Round Finishes | 12 | | 08:47 | Avg Fight Time | 06:14 | | 46% | Sig Strike Accuracy % | 51% | | 54% | Sig Strike Defense % | 59% | | 32% | Take Down Accuracy % | 44% | | 43% | Takedown Defence % | 48% | | Middleweight Division | Tags | Middleweight Division | | 73.00 | Height (in) | 72.00 | | 185.00 | Weight (lb) | 186.00 | | 77.50 | Arm Reach (in) | 74.00 | | 40.00 | Leg Reach (in) | 40.00 | | Dec. 10, 2016 | UFC Debut | Dec. 30, 2017 | | Racine, United States | Born | Wlodawa, Poland | | Freestyle | Fighting Style | MMA | | 37 | Age | 30 | | Opponent | Method | Method | Opponent | |---|---|---|---| | Brad Tavares 04-05-2025 | Decision - Unanimous 3 - 5:00 | KO/TKO 1 - 2:49 | Sedriques Dumas 04-12-2025 | | Reinier De Ridder 11-09-2024 | Submission 3 - 1:44 | Decision - Unanimous 3 - 5:00 | Shara Magomedov 08-03-2024 | | Edmen Shahbazyan 08-24-2024 | Submission 2 - 4:12 | Submission 1 - 1:34 | Kevin Holland 06-01-2024 | | Bryan Barberena 03-16-2024 | Submission 2 - 4:23 | Submission 1 - 1:01 | Michel Pereira 03-09-2024 | | Andre Petroski 08-19-2023 | Decision - Split 3 - 5:00 | KO/TKO 1 - 4:16 | Chidi Njokuani 08-26-2023 | Card: Preliminary Card Card Start Time: 12:00 AM Explore our in-depth fight analysis articles, providing expert predictions and bettor insights for the upcoming clash between these two fighters. Our analysts dive deep into fighters' stats, strategies, and previous performances to offer you the best betting tips and predictions. When it comes to betting on UFC fights, understanding the odds offered by different bookmakers is crucial for maximizing your potential payouts. Below, we provide detailed insights into the odds for Gerald Meerschaert vs Michal Oleksiejczuk, helping you make the most informed betting decisions. Gerald Meerschaert is currently the underdog fighter with the average odds of +174. Payout is based on a $1,000 bet. Bookmakers' odds reflect the implied probability of Gerald Meerschaert winning: Michal Oleksiejczuk is currently the favored fighter with the average odds of -211. Payout is based on a $1,000 bet. Bookmakers' odds reflect the implied probability of Michal Oleksiejczuk winning: Use our odds converter tool to convert odds, calculate implied probability, and profit for any odds format. Gerald Meerschaert vs Michal Oleksiejczuk starts at 2025-08-17 00:00:00 UTC. The favorite fighter in Gerald Meerschaert vs Michal Oleksiejczuk is: Michal Oleksiejczuk. Currently, the best odds for Michal Oleksiejczuk is -200 brought to you by BetRivers. The underdog fighter in Gerald Meerschaert vs Michal Oleksiejczuk is: Gerald Meerschaert. Currently, the best odds for Gerald Meerschaert is +180 brought to you by Caesars. The bookmaker with the best odds if you want to bet on Michal Oleksiejczuk is BetRivers. Current odds for BetRivers is -200. The bookmaker with the best odds if you want to bet on Gerald Meerschaert is Caesars. Currently odds for Caesars is +180. If you wanted to bet on the underdog, Gerald Meerschaert, the best bookmaker is Caesars (+180). If you wanted to bet on the favored fighter, Michal Oleksiejczuk, the best odds are offered by BetRivers (-200).",2024-01-01,https://www.ufcbetcompanion.com/event-fighter/3889-Gerald%20Meerschaert%20vs%20Michal%20Oleksiejczuk
Gerald Meerschaert vs Michal Oleksiejczuk at UFC 319 16.08.25 - Bout Stats MMA Fighter,Gerald Meerschaert - Michal Oleksiejczuk Gerald Meerschaert Meerschaert - Age 37 - Reach 77.5 cm 197 cm - Height 73 cm 185 cm - Leg Reach 40 cm 102 cm - Last Weigh-In 185 lbs 84 kg Michal Oleksiejczuk Oleksiejczuk - Age 30 - Reach 74 cm 188 cm - Height 72 cm 183 cm - Leg Reach 40 cm 102 cm - Last Weigh-In 186 lbs 84 kg Other Bouts UFC 319 - Dricus Du Plessis23 - 2 - 012:00 AM ET • 5 x 5Middleweight Champion 185 lbsKhamzat Chimaev14 - 0 - 0 - Lerone Murphy16 - 0 - 111:30 PM ET • 3 x 5Featherweight Bout 145 lbsAaron Pico13 - 4 - 0 - Geoff Neal16 - 6 - 011:00 PM ET • 3 x 5Welterweight Bout 170 lbsCarlos Prates21 - 7 - 0 - Jared Cannonier18 - 8 - 010:30 PM ET • 3 x 5Middleweight Bout 185 lbsMichael Page23 - 3 - 0 - Tim Elliott20 - 13 - 110:00 PM ET • 3 x 5Flyweight Bout 125 lbsKai Asakura21 - 5 - 0 - Baysangur Susurkaev9 - 0 - 09:00 PM ET • 3 x 5Middleweight Bout 185 lbsEric Nolan8 - 3 - 0 - Jessica Andrade26 - 14 - 08:10 PM ET • 3 x 5Strawweight Bout 115 lbsLoopy Godinez13 - 5 - 0 - Alexander Hernandez16 - 8 - 07:45 PM ET • 3 x 5Lightweight Bout 155 lbsChase Hooper16 - 3 - 1 - Edson Barboza24 - 12 - 07:20 PM ET • 3 x 5Lightweight Bout 155 lbsDrakkar Klose15 - 3 - 1 - Karine Silva18 - 5 - 06:55 PM ET • 3 x 5Flyweight Bout 125 lbsDione Barbosa8 - 3 - 0 - Alibi Idiris10 - 0 - 06:30 PM ET • 3 x 5Flyweight Bout 125 lbsJoseph Morales12 - 2 - 0,2025-08-16,https://gidstats.com/events/ufc_319-2463/gerald_meerschaert_vs_micha_oleksiejczuk.html
Gerald Meerschaert Vs. Michał Oleksiejczuk - Odds And Match Preview,"Gerald Meerschaert vs. Michał Oleksiejczuk – Odds and Match Preview The upcoming UFC match between Gerald Meerschaert and Michał Oleksiejczuk, scheduled for August 16, 2025, at UFC 319, promises to be an exciting middleweight bout with interesting stakes and contrasting styles. Gerald Meerschaert vs. Michał Oleksiejczuk – Odds The betting odds for the upcoming UFC middleweight match between Gerald Meerschaert and Michał Oleksiejczuk at UFC 319 on August 16, 2025, show Michał Oleksiejczuk as the favorite with odds around -210 to -225, while Gerald Meerschaert is the underdog with odds near +180 to +196. This means Oleksiejczuk is expected to win by the majority of bettors, with roughly a 66% implied probability, whereas Meerschaert’s odds imply about a 33% chance of victory. To play more numbers make sure to play the best online casino sites. Looking at the favored methods of victory, Meerschaert is known for his submission skills and most of his UFC wins come by submission, so a submission win for him carries appeal among bettors, and some futures odds reflect that possibility. Oleksiejczuk is a powerful striker with many knockout wins, so knockout or technical knockout is considered a likely method if he wins. In recent betting trends, interest in Meerschaert has grown, and his underdog odds have slightly improved from around +200 to about +180/+190, indicating some bettor confidence in his grappling edge against Oleksiejczuk’s striking. However, the odds have largely stayed stable with no major line swings reported. The stakes of this bout are significant for both fighters. Meerschaert, a seasoned submission specialist, will look to use his grappling advantage to control and finish Oleksiejczuk on the ground, while Oleksiejczuk will aim to keep the fight standing and use his striking power to secure another knockout win. For Meerschaert, adding a win further cements his legacy as one of the most dangerous submission fighters in UFC middleweight history. For Oleksiejczuk, a victory over a tough and experienced veteran could elevate his position in the middleweight rankings and build momentum for future high-profile fights. Gerald Meerschaert is a veteran American mixed martial artist with a long professional career dating back to 2007. He competes in the UFC middleweight division and holds the record for most finishes in middleweight history with 12 The market favors Oleksiejczuk for a probable striking win, but Meerschaert is well respected for his dangerous submission game, making this a competitive betting matchup with some value on the underdog submission possibility. Fans can expect the odds to possibly shift a bit as fight day approaches, but the current consensus sees Oleksiejczuk as the more likely winner by knockout or decision, while Meerschaert’s strength lies in a ground finish if he can impose his grappling.",2025-08-12,https://www.lowkickmma.com/gerald-meerschaert-vs-michal-oleksiejczuk-odds-and-mat-preview/
