title,text,publish_date,url
Walker tops Zhang at UFC Fight Night in Shanghai,"Johnny Walker spoiled Zhang Mingyang's homecoming party just as it was getting started early Saturday. Headlining the first UFC event in China in six years, Walker ended a skid of two straight knockout losses with a shocking knockout of his own in a comeback against the Chinese light heavyweight in the main event of UFC Fight Night in Shanghai. The 33-year-old Brazilian's second-round TKO ended a 12-fight winning streak by Zhang, who had not dropped an MMA bout since 2019 and had not even seen a second round since 2018. Zhang was fully in control throughout Round 1, landing some heavy shots and putting Walker on retreat. But Walker made it to the horn and came out for the second round with a different plan of attack: kicks to the calf. He landed a solid one that clearly affected Zhang, then connected with a second that collapsed the powerful striker, who came in riding a streak of nine straight first-round knockouts. From there, Walker (22-9, 1 NC) pounced on his damaged opponent for the ground-and-pound finish at 2:37 of the round. ""My kick is awesome, right?"" Walker said. He also briefly addressed the crowd with a few words of Chinese and gave respect to Zhang (19-7). ""A tough fighter from China, a lot of straight wins,"" he said. ""It's a really good experience to fight a guy that's very tough. You see, I'm durable. I got some punches in the face today and I keep coming, And then I got him. This is MMA. Amazing, right?"" Walker is unranked by ESPN but No. 13 in the official UFC rankings. Zhang sits one spot behind him. The co-main event was a clash of ranked featherweights, but the bout was fought at a 153-pound catchweight because Brian Ortega was unable to make the division's 146-pound weight limit. Even given the catchweight, Ortega showed little resistance against Aljamain Sterling, who cruised to a unanimous decision over five dominant rounds (50-45, 50-45, 50-45). It was noticeable right from the start that Sterling (25-5), a former bantamweight champion, was too quick for the two-time featherweight title challenger. Ortega (16-5, 1 NC) landed only 7% of his strikes (2 of 28) in the first round and was a step behind the rest of the way. Sterling, No. 9 in the ESPN rankings at 145 pounds, won his second fight in his past three after dropping his title in 2023, a loss that ended a nine-fight winning streak. For the fourth-ranked Ortega, it was his second straight loss and his fifth in his past seven fights. The fight card also included a matchup of heavyweights in the ESPN rankings, in which No. 6 Sergei Pavlovich took charge in the third round to get the better of ninth-ranked Waldo Cortes-Acosta (30-27, 29-28, 29-28). Pavlovich has won eight of his past 10 fights but lost to the champion, Tom Aspinall, less than two years ago.",2025-08-23,https://www.espn.com/mma/story/_/id/46056110/johnny-walker-upsets-zhang-mingyang-ufc-fight-night-shanghai
Johnny Walker vs. Zhang Mingyang full fight video highlights,"Watch Johnny Walker def. Zhang Mingyang full fight video highlights from UFC Shanghai’s light heavyweight showdown Saturday morning, courtesy of multiple outlets UFC Shanghai took place Aug. 23 at the Shanghai Indoor Stadium in Shanghai, China. Zhang Mingyang (19-7) and Johnny Walker (22-9, 1 no-contest) clashed in the main event, which aired live on ESPN+. Official result: Johnny Walker def. Zhang Mingling via second-round TKO (2:37) Check out the highlights below. For more on Ortega vs. Sterling, check out our live blog below. Round 1 This crowd is ready for this one, that’s for sure. We’re off. Johnny Walker tried a takedown attempt, and Zhang ran him over. Zhang on top in full control looking to do damage. Big elbow from Zhang. Walker desperately trying to hold Zhang’s arms, but Walker gets separation and back to his feet. Huge for Walker. Fastball right hand from Walker misses, Zhang grazes with a counter and it stings Walker. Right hand by Zhang wobbles Walker for a moment, Walker recovers while grabbing a clinch. Walker slowing the pace down, which is smart because Zhang is hurting him every time he lands, and he hasn’t landed anything fully clean yet. Zhang separates, jumping knee attempt from Walker. Zhang stalking Walker, lands a short right hand. Walker shoots for a takedown, Zhang defends easily, then lands a big elbow. Combination from Zhang doesn’t land flush, but definitely stung Walker. Final 30 seconds. Head kick from Zhang sneaks through the guard, and that’s the horn. First time in seven years Zhang will see a second round. MMAFighting scores the round 10-9 Zhang Round 2 Walker’s coach Eric Nicksick was telling his fighter what he’s seeing, and of course, the broadcast cuts away because who wants to hear interesting insight from one of the best coaches in the sport, right? Action slowing a touch at the start of Round 2. Zhang lands, and lands again. Everything he touches Walker with wobbles him. It’s pretty wild. Walker throws a calf kick, Zhang counters with a nasty right hand, but Zhang’s leg just went out on him. Walker pouncing on him now. Zhang trying to get back to his feet, but he simply can’t. His leg is cooked. Walker continues hammering away and Goddard stops it. Crazy!",2025-08-23,https://www.mmafighting.com/ufc/400520/johnny-walker-vs-zhang-mingyang-full-fight-video-highlights-ufc-shanghai
"UFC Shanghai results: Johnny Walker beats brakes off Zhang Mingyang, leaves him limping","UFC Shanghai results: Johnny Walker beats brakes off Zhang Mingyang, leaves him limping Johnny Walker and Zhang Mingyang brought weirdness, violence, and excitement to the cage in the UFC Fight Night 257 main event Saturday. The light heavyweight bout was scheduled for five rounds, but they all were not needed. Walker (22-9 MMA, 8-6 UFC) finished Zhang (19-7 MMA, 3-1 UFC) with a violent and diversified beatdown barrage for the stoppage at 2:37 of Round 2. The event took place at Shanghai Indoor Stadium in Shanghai, and those in attendance were silenced by the result. After a bizarre first round that saw Zhang edge Walker, who unsucessfully shot for a takedown in the first three seconds, Walker utilized a pair of leg kicks to sit Zhang down in Round 2. Zhang tried his hardest to survive as he nearly got back to his feet twice in the chaos. However, with his legal debilitated, Zhang was unable to dissuade the damage. Referee Marc Goddard stepped in and called off the fight. With the victory, Walker snaps a three-fight winless streak (two losses and one no contest). The victory was his first since he beat Anthony Smith by unanimous decision in May 2023. In defeat, Zhang loses for the first time in the UFC after promotional victories over Brendson Ribeiro, Ozzy Diaz, and Anthony Smith. Up-to-the-minute UFC Shanghai results: - Johnny Walker def. Zhang Mingyang via TKO (punches) – Round 1, 2:37 - Aljamain Sterling def. Brian Ortega via unanimous decision (50-45, 50-45, 50-45) - Sergei Pavlovich def. Waldo Cortes-Acosta via unanimous decision (30-27, 29-28, 29-28) - Su Mudaerji def. Kevin Borjas via unanimous decision (30-27, 30-27, 30-27) - Taiyilake Nueraji def. Kiefer Crosbie via TKO (strikes) – Round 1, 3:33 - Gauge Young def. Hayisaer Maheshate via unanimous decision (30-27, 29-28, 29-28) - Charles Johnson def. Lone'er Kavanagh via knockout (punches) – Round 2, 4:35 - Rong Zhu def. Austin Hubbard via unanimous decision (30-27, 29-28, 29-28) - Kyle Daukaus def. Michel Pereira via TKO (punches) – Round 1, 0:43 - Yi Zha def. Westin Wilson via knockout (punches) – Round 1, 0:37 - SuYoung You def. Xiao Long via unanimous decision (29-28, 29-28, 29-28) - Uran Satybaldiev def. Diyar Nurgozhay via submission (Ezekiel choke) – Round 1, 2:45",2025-08-23,https://mmajunkie.usatoday.com/story/sports/ufc/2025/08/23/ufc-shanghai-results-johnny-walker-vs-zhang-mingyang/85795265007/
UFC Shanghai: Johnny Walker vs Zhang Mingyang: Full results,"UFC Shanghai just wrapped up. The fight night took place on Aug. 23 at the Shanghai Indoor Stadium in the Xuhui District, China. The event featured 12 bouts across several weight classes. This article summarizes the fights and explores UFC Shanghai's full results. View this post on Instagram Instagram PostIn the main event, No.13-ranked UFC light heavyweight fighter Johnny Walker locked horns with China's Zhang Mingyang.Early in the fight, Mingyang had top control but failed to do much damage. Once both fighters were back on their feet, Walker attempted to load up his lead hook but could not land a fight-ending blow. However, he survived the round despite a few unsuccessful takedown attempts.In Round 2, Mingyang was landing the better strikes before Walker dropped the Chinese fighter with a low calf kick and finished him with a barrage of blows.The co-main event was a catchweight bout after Brian Ortega failed to make weight. Ortega took on former UFC bantamweight champion Aljamain Sterling. Sterling, who was the superior fighter on the night, defeated Ortega by a significant margin. From Round 1, he pieced up Ortega's lead leg and landed more significant strikes.In Round 3, Ortega accelerated his pace and started landing better shots. However, Sterling still won the round, punctuated by a spinning elbow.'T-City' then suffered severe facial injuries and was taken down in the final round. After five rounds, 'Funk Master' won the bout by unanimous decision.Right before the co-main event was a high-stakes heavyweight clash between No. 3-ranked Sergei Pavlovich and the surging No.6-ranked Waldo Cortes-Acosta.Although Pavlovich landed the more accurate and power-heavy shots throughout the fight, he was unable to finish Cortes-Acosta. The Dominican fighter showed remarkable chin and persevered till the end. After three rounds, Pavlovich won the bout by unanimous decision.In another explosive showdown on the main card, two unranked flyweights, Sumudaerji and Kevin Borjas, faced off. The battle was mostly contested on the feet. Sumudaerji exhibited excellent kicking and striking, with a variety of accurate attacks and mobility, and also stuffed all of Borjas' takedown attempts.After three rounds, all three judges scored the contest (30-27) in favor of Sumudaerji.In the main card opening bout, Chinese welterweight fighter Taiyilake Nueraji took on Ireland's Kiefer Crosbie. Nueraji landed an illegal knee strike while Crossbie was clearly down.However, the Irish fighter decided to continue, and as soon as action resumed, Neuraji did not waste time and collected a stoppage victory (elbows) in the 3:33 mark of Round 1.Check out the UFC Shanghai full results below:Main cardMain event: Light-heavyweight - Johnny Walker def. Zhang Mingyang by TKO (R2, 2:37)Co-main event: Catchweight - Aljamain Sterling def. Brian Ortega by unanimous decision (50-45 X 3)Heavyweight- Sergei Pavlovich def. Waldo Cortes-Acosta by unanimous decision (30-27, 29-28 X 2)Flyweight- Sumudaerji def. Kevin Borjas by unanimous decision (30-27 X 3)Welterweight- Taiyilake Nueraji def. Kiefer Crosbie by TKO (R1, 3:33)Preliminary cardLightweight: Gauge Young def. Maheshate by unanimous decision (30-27, 29-28, 29-28)Flyweight: Charles Johnson def. Lone'er Kavanagh by KO (R2, 4:35)Lightweight: Rongzhu def. Austin Hubbard by unanimous decision (30-27, 29-28, 29-28)Middleweight: Kyle Daukaus def. Michel Pereira by KO (R1, 0:43)Featherweight: Yi Zha def. Westin Wilson by KO (R1, 0:37)Bantamweight: SuYoung You def. Xiao Long by unanimous decision (29-28 X 3)Light heavyweight: Uran Satybaldiev def. Diyar Nurgozhay by submission (Ezekiel choke) (R1, 2:45)",2025-08-23,https://www.sportskeeda.com/mma/news-ufc-shanghai-johnny-walker-vs-zhang-mingyang-full-results
Zhang Mingyang vs. Johnny Walker result: Nasty leg kick leads to KO in UFC Shanghai main event,"Johnny Walker is back in the win column after scoring a unique knockout The long-time light heavyweight contender fought Zhang Mingyang in the UFC Shanghai main event on Saturday. After a tough first frame, Johnny Walker turned things around by landing two nasty kicks on his opponent’s calf. Zhang Mingyang dropped to the floor and tried to survive, but after a relentless follow-up attack, referee Marc Goddard waved the fight off at the midway point of round two. - LATEST NEWS: Conor McGregor’s teammate KO’d moments after opponent was deducted 2 points for vicious illegal knee Johnny Walker stops Zhang Mingyang Johnny Walker shot for an ill-advised takedown at the very start of the first round. Zhang Mingyang easily countered it before spending the next couple of minutes in top position. The Brazilian fan favorite spent most of the first five minutes switching between his obvious wrestling-heavy game plan and initiating wild exchanges to try to score a knockout. But he ended up getting cracked and hurt by several nasty shots from Zhang Mingyang. Walker looked like he might suffer a third successive KO loss as he continued to eat big shots in round two. However, everything changed when he landed back-to-back leg kicks to drop his pained rival. A huge barrage of punches followed, and Walker got his first win since beating Anthony Smith in May 2023. Johnny Walker’s losing streak Johnny Walker’s three-fight winning run was snapped at the very start of 2024. Future light heavyweight champion Magomed Ankalaev knocked him out during his rise up the 205lb ranks. The Brazilian tried to bounce back when he fought perennial contender Volkan Oezdemir a few months later. Unfortunately for Walker, he was brutally knocked out in the first round of his June 2024 clash with the heavy-handed fighter from Switzerland. 14 months later, Walker is back in the win column after an impressive performance at UFC Shanghai.",2025-08-23,https://bloodyelbow.com/2025/08/23/zhang-mingyang-vs-johnny-walker-result-nasty-leg-kick-leads-to-ko-in-ufc-shanghai-main-event/
Walker Hobbles Mingyang With Low Kick Barrage,"Mingyang Zhang vs. Johnny Walker squared off in a Light Heavyweight contest earlier tonight (Sat. Aug. 23, 2025) live on ESPN+ inside Shanghai Indoor Stadium in Shanghai, China. In a wild fight, Walker secured the knockout win. UFC Shanghai results: Johnny Walker hobbles Mingyang Zhang with vicious low kicks in upset knockout win Walker opened the match up with an immediate takedown attempt and was promptly reversed! Zhang landed in the guard and started chopping away with elbows. Walker was let up to his feet without eating too many shots, however. Zhang pressed hard and landed a right hand, prompting Walker to go for another takedown along the fence. He secured the body lock but couldn’t drag him down. Both men landed in a wild exchange, then Walker got back on his bike. He tried another running double leg and ate a hard elbow for his efforts. Against all odds, the fight made it to round two with nary a knockdown. Walker dug some low kicks to start the second. Zhang returned the favor. A right hand over the top sent Walker stumbling backwards. Out of nowhere, a Walker low kick badly hurt Mingyang! He fell to the floor in pain! Walker took top position and started raining down punches and hammer fists, trying to force a finish. Zhang survived and had a chance to stand, but he didn’t take it — clearly, the leg was gone. A few seconds later, he secured the finish officially with a last barrage of strikes. This was a classically weird Johnny Walker fight. He was getting beaten up for much of the fight, but a few hard low kicks turned off the lead leg of Mingyang Zhang. With a hurt opponent in front of him, Walker did great work in securing the comeback win with a nonstop onslaught of ground strikes. It didn’t work out exactly, but it was also good to see Walker mix up his offense with the wrestling. Result: Walker defeats Zhang via second-round knockout For complete UFC Shanghai results and play-by-play, click here.",2025-08-23,https://www.mmamania.com/ufc-results/384590/ufc-shanghai-results-johnny-walker-hobbles-mingyang-zhang-with-vicious-low-kicks-in-upset-knockout-win
"UFC Fight Night 257: Johnny Walker vs. Zhang Mingyang odds, picks and predictions","UFC Fight Night 257: Johnny Walker vs. Zhang Mingyang odds, picks and predictions In a 5-round light heavyweight bout in the main event, Johnny Walker and Zhang Mingyang meet Saturday at UFC Fight Night 257 -- also known as UFC on ESPN+ 115 -- at Mercedes-Benz Arena in Shanghai, China (ESPN+). The prelims begin at 3 a.m. ET, followed by the main card at 6 a.m. ET. Their bout is expected to start around 8:15 a.m. ET. Let's analyze BetMGM Sportsbook's UFC odds around the UFC Fight Night 257: Walker vs. Mingyang odds, and make our expert UFC picks and predictions. Records: Walker (21-9-0) | Mingyang (19-6-0) Walker is looking to halt a 2-bout losing skid. Both setbacks were in fight night events in 2024. In his last bout, he suffered a Round-1 KO/TKO defeat to Volkan Oezdemir in June 2024. Earlier that year in January, he lost a Round-2 KO/TKO to Magomed Ankalaev in a main event. He is just 4-6 in the past 11 bouts with 1 no contest. In 3 fights at the UFC level, Zhang has won 3 consecutive fights via KO/TKO, defeating Anthony Smith (April 2025), Ozzy Diaz (November 2024) and Brendson Ribeiro (February 2024). However, this is a giant step up in competition for the fighter representing Team Xtreme Couture known as ""Mountain Tiger."" Zhang gets his crack at the big time, but he is giving up 6.5 inches in reach. The 27-year-old Chinese fighter has managed a 10.91 significant-strikes-landed-per-minute advantage, while landing 65.50% of those strikes. However, that's all in 3 fights ending in Round 1, so that number is a bit inflated due to the short distance of those bouts. Walker has a 3.87 significant-strikes-landed-per-minute mark, while landing 58.53% of those strikes. He has a 0.45-takedown average and 0.89-submission average, showing his ability to get the job done in multiple ways. Watch this card with ESPN+ by signing up here. UFC Fight Night 257: Ortega vs. Zhang odds Provided by BetMGM Sportsbook; access USA TODAY Sports Scores and Sports Betting Odds hub for a full list. Lines last updated Friday at 7:55 p.m. ET. - Fight result (2-way line): Walker +300 (bet $100 to win $300) | Zhang -375 (bet $375 to win $100) - Total rounds: 1.5 rounds (Over +230 | Under -325) - Will the fight go the distance? (Yes +900 | No -3000) UFC Fight Night 257: Ortega vs. Zhang picks and predictions Fight result (2-way line or moneyline) Zhang (-375) heads into this battle as the heavy favorite, but WALKER (+300) has the experience and the reach advantage. Walker be able to push and pull Zhang in and out at his discretion, keeping him at a distance when things get too hot. Walker can tap into his tremendous experience at the UFC level, fighting 14 times. Yes, he is 3-2 in the past 6 bouts with a no contest and has been knocked out in the past 2 bouts. However, Zhang gives up more than a half foot in reach, and that's a bigger deal than the sportsbooks are considering. Play our free daily Pick’em Challenge and win! Play now! Over/Under No (-3000): Fight to go the distance? is obviously not a good wager ... as part of a multi-leg parlay or otherwise. But OVER 1.5 ROUNDS (+230) is worth a roll of the dice. While this shouldn't go the full 5 rounds, taking the fight to at least get past the midway point of Round 2 is a good bet at plus-money. WALKER IN ROUND 2 (+1400) and WALKER IN ROUND 3 (+3500) to get the victory is also worth a shot in a 2-round block bet. Sure, even if Walker pulls the upset with a win in Round 2 or 3, you'll lose one end, but you'll still be so far ahead, it is worth it. Visit MMA Junkie for more fight news and analysis. For more sports betting picks and tips, check out SportsbookWire.com and BetFTW. Follow Daniel Dobish on Twitter/X. Follow SportsbookWire on Twitter/X andus on Facebook. Gambling involves risk. Please only gamble with funds that you can comfortably afford to lose. While we do our utmost to offer good advice and information we cannot be held responsible for any loss that may be incurred as a result of gambling. We do our best to make sure all the information that we provide on this site is correct. However, from time to time mistakes will be made and we will not be held liable. Please check any stats or information if you are unsure how accurate they are. No guarantees are made with regards to results or financial gain. All forms of betting carry financial risk and it is up to the individual to make bets with or without the assistance of information provided on this site and we cannot be held responsible for any loss that may be incurred as a result of following the betting tips provided on this site. Past performances do not guarantee success in the future and betting odds fluctuate from one minute to the next. The material contained on this site is intended to inform, entertain and educate the reader and in no way represents an inducement to gamble legally or illegally or any sort of professional advice. Gannett may earn revenue from sports betting operators for audience referrals to betting services. Sports betting operators have no influence over nor are any such revenues in any way dependent on or linked to the newsrooms or news coverage. Terms apply, see operator site for Terms and Conditions. If you or someone you know has a gambling problem, help is available. Call the National Council on Problem Gambling 24/7 at 1-800-GAMBLER (NJ, OH), 1-800-522-4700 (CO), 1-800-BETS-OFF (IA), 1-800-9-WITH-IT (IN). Must be 21 or older to gamble. Sports betting and gambling are not legal in all locations. Be sure to comply with laws applicable where you reside. It is your sole responsibility to act in accordance with your local laws.",2025-08-22,https://sportsbookwire.usatoday.com/story/sports/ufc/2025/08/22/walker-vs-zhang-odds-picks-and-predictions/85782470007/
Highlights! Johnny Walker derails Zhang Mingyang hype train with brutal leg kick TKO | UFC Shanghai,"Highlights! Johnny Walker derails Zhang Mingyang hype train with brutal leg kick TKO | UFC Shanghai Zhang Mingyang got what they call “fraud checked” earlier today (Sat., Aug. 23, 2025) at UFC Shanghai LIVE on ESPN+ from inside the Shanghai Indoor Stadium in Shanghai, China, suffering an upset TKO (leg kicks and punches) to light heavyweight veteran Johnny Walker in the main event. Walker inexplicably shot for a takedown in the first two seconds of the fight and ended up on his back. From there, Mingyang landed some short ground-and-pound to jump out to an early lead. The veteran light heavyweight was able to get back to his feet only to have Mingyang score some clean elbows inside. Walker did find a home for a stiff jab, but he was beginning to trail. Mingyang let his hands go even more in the second round (his first second-round appearance since 2018) and ended up hurting Walker in the opening 90 seconds. Walker hung in tough, though, and badly hurt Mingyang with two nasty calf kicks. The Chinese contender dropped to the canvas as Walker started to tee off with heavy punches. The referee watched closely, but eventually had no choice but to jump in and stop the action. Walker, who was about a 3:1 betting underdog heading into Saturday’s main event, walked away with his first UFC win since May 2023. It was quite the comeback for the towering Brazilian finisher. Check out the video highlights below: For more UFC Shanghai results, coverage, and highlights click HERE.",2025-08-23,https://sports.yahoo.com/article/highlights-johnny-walker-derails-zhang-125818736.html?fr=sycsrp_catchall
Johnny Walker vs. Zhang Mingyang prediction: 'Mountain Tiger' taming set for UFC Shanghai?,"Johnny Walker vs. Zhang Mingyang prediction: 'Mountain Tiger' taming set for UFC Shanghai? MMA Junkie analyst Dan Tom goes in-depth to break down the biggest fights in the UFC. Today, he takes a closer look at the UFC Fight Night 257 main event between Johnny Walker and Zhang Mingyang. Johnny Walker UFC Fight Night 257 preview Staple info: - Record: 21-9 MMA, 7-6 UFC - Height: 6'6"" Age: 33 Weight: 205 lbs. Reach: 82"" - Last fight: Knockout loss to Volkan Oezdemir (June 22, 2024) - Camp: Xtreme Couture MMA (Las Vegas) - Stance/striking style: Orthodox/muay Thai - Risk management: Fair Supplemental info: - + Regional MMA titles - + Brazilian jiu-jitsu brown belt - + 16 KO victories - + 3 submission wins - + 17 first-round finishes - + KO power - + Athletic and agile for size - + Sporadic shot selection - ^ Flying knees to spinning assaults - + Strong inside the clinch - ^ Dangerous strikes, improved defense - + Serviceable grappling ability - ^ Solid strikes from topside Zhang Mingyang UFC Fight Night 257 preview Staple info: - Record: 19-6 MMA, 3-0 UFC - Height: 6'2"" Age: 27 Weight: 205 lbs. Reach: 75"" - Last fight: TKO win over Anthony Smith (April 26, 2025) - Camp: BangTao Muay Thai (Thailand) - Stance/striking style: Orthodox/muay Thai - Risk management: Fair Supplemental info: - + Wushu Sanda championship - + Brazilian jiu-jitsu blue belt - + Amateur MMA accolades - + 13 KO victories - + 6 submission victories - + 19 first-round finishes - + KO power - + Accurate shot slection - ^J abs, hooks, crosses - + Hard leg kicks and dangerous elbows - + Strong inside the clinch - + Serviceable wrestling ability - + Good ground-and-pound from topside Johnny Walker vs. Zhang Mingyang point of interest: Violence The main event in Shanghai features a pairing of two light heavyweights who are very familiar with violence. Storming onto the UFC stage with a slew of violent stoppages is Zhang Mingyang. Despite hailing from a Sanda background, Zhang has steadily moved away from the bounce-step and spins associated with that art. Instead, Zhang has been leaning more toward boxing and muay Thai tactics in more recent years. At range, Zhang will measure with a prodding jab while whipping leg kicks with impunity. And once Zhang can enter the pocket, the Chinese fighter appears to keep vicious crosses and hooks on a hair-trigger. When feeling in stride, Zhang will unsheath some sharp elbow skills – both in the clinch and off the counter. Still, defense doesn’t appear to be a strong suit for Zhang, so the 27-year-old will need to be respectful of what’s coming back at him when standing across from a customer like Johnny Walker. An offensive marauder who towers over the majority of his peers, Walker brings a lot to the table if you’re a fan of explosive freak shows. Whether he’s parlaying spinning kicks into backfists or launching flying knees up the middle, Walker hits as hard as the liquor that his name is associated with. Between the Brazilian wildman’s aggressive nature to the nomadic history of his training camps, there’s not a lot of process in Walker’s game to speak of. Walker, in his defense, did show a bit more measured and processed version of himself when working with the SBG Ireland team, but those changes didn’t add much depth to his overall game (much less help improve his results). Since then, Walker has spent the last year working with Eric Nicksick and the Xtreme Couture MMA team in Las Vegas, Nevada. Not only is Nicksick a top-tier coach who has shown the ability to improve athletes of all levels, but Xtreme Couture is one of the best gyms on the planet when it comes to finding large, top-level training partners to work with. For that reason, I’ll be extra curious to see what kind of Walker we get this weekend. Johnny Walker vs. Zhang Mingyang breakdown: Potential grappling threats Considering the chaos that both of these two are prone to on the feet, no one should be shocked if this party hits the floor this Saturday. Despite not showing much of his grappling chops in the octagon, Zhang appears to be fairly well-trained in the wrestling department. Zhang may be at the level where he looks fluid in any sort of extended exchange, but the Chinese fighter’s head seems to be in the right place when it comes to first-layer defense and attacks. And when Zhang can get to the bodylock, he can competently hoist the hips of his opponent to take them down. Although Walker is not beyond being taken down, he has worked hard on his counter-wrestling in order to complement his already dangerous clinch work. Embracing the double-collar tie with a long and strong frame to boot, Walker effortlessly doles out knees and elbows from this position that can end a fight in an instant. And despite not being known for hitting takedowns, Walker has shown serviceable takedown abilities in both the open and from the clinch (areas I suspect that will only improve after training at a place like Xtreme Couture MMA). Should Walker find himself operating on top early, then Zhang will need to demonstrate good technique and urgency opposite a legitimate Brazilian jiu-jitsu brown belt who can offer some serious strikes and submission threats from topside. Johnny Walker vs. Zhang Mingyang odds The oddsmakers and the public are heavily favoring the Chinese fighter, listing Zhang -355 and Walker +270 via FanDuel. Johnny Walker vs. Zhang Mingyang prediction, pick Despite not disagreeing with who is favored in this spot, I warn anyone looking to empty their bankrolls on Zhang to win given the trap-fight feels attached. As impressive as Zhang has looked offensively, we have yet to see his defense under any real scrutiny in the octagon due to the context of his small sample size. I know we’ve seen Walker knocked out repeatedly at this level, but lest we forget that Zhang was knocked dead by the notoriously fraudulent Askar Mozharov on the Chinese regionals. Should Zhang turn out to be just another version of the glass cannons that have traditionally littered the light heavyweight division, then none of us should really be surprised. That said, I do suggest leaving some room to be surprised when it comes to Walker. All bias aside, I truly believe that he’s finally getting proper training in what is a rich environment for a fighter of his size. And though I kinda wish he would try his luck at heavyweight, I can’t hate the year off he’s taken to rest and re-strategize his training. Still, despite biasedly hoping for Walker and coach Nicksick to score the big upset, the analyst in me can’t ignore the chin issues of Walker and the danger that Zhang presents. I hope I’m wrong, but the official pick is Zhang by knockout in Round 2. Prediction: Mingyang inside the distance Johnny Walker vs. Zhang Mingyang start time, how to watch As the main event, Walker and Mingyang are expected to make their walks to the octagon at approximately 8:15 a.m. ET. The fight streams live on ESPN+.",2025-08-22,https://mmajunkie.usatoday.com/story/sports/ufc/2025/08/22/ufc-shanghai-johnny-walker-vs-zhang-mingyang-expert-prediction-pick-odds-time/85779602007/
UFC Shanghai live blog: Johnny Walker vs. Zhang Mingyang,"This is the live blog for Johnny Walker vs. Zhang Mingyang, the light heavyweight main event for Saturday’s UFC Shanghai fight card at Shanghai Indoor Stadium. Walker looks to snap a three-fight winless streak, which includes consecutive knockout losses to current champ Magomed Ankalaev and past title challenger Volkan Oezdemir. Walker is set for his 15th octagon appearance, and is in a near must-win situation if he hopes to remain a fighter that could contend for a world championship in the future. Mingyang gets his first UFC main event in just his fourth octagon appearance. The Road To UFC standout is 3-0 inside the octagon with three finishes, and a trio of Performance of the Night bonuses to boot. The 28-year-old stopped Anthony Smith in his retirement fight at UFC Kansas City in April and has knocked out his past nine opponents. Check out the live blog for Johnny Walker vs. Zhang Mingyang below. Closing Betting Odds According to FanDuel, Zhang Mingyang closes as a huge favorite at -370, with the comeback on Walker at +295. Final Prediction I think Johnny Walker will try and be more fun in this fight. Unfortunately, Zhang is going to hit the chin of his clean at some point, and when he does, the fight is going to be over moments later. A thrilling three or so minutes of action ends with Zhang brutally knocking Walker out in the first round. Walkouts As expected, massive ovation for Zhang Mingyang as he makes his first UFC main event walk. Walker makes his way to the octagon with some loud EDM music that has the Shanghai crowd having a good time. And here comes the dance moves for Walker. Final Announcements Joe Martinez getting everybody fired up. Marc Goddard is the referee for this main event, while the judges scoring the bout are Ben Cartlidge, David Tirelli and Clemons Werner. Round 1 This crowd is ready for this one, that’s for sure. We’re off. Johnny Walker tried a takedown attempt, and Zhang ran him over. Zhang on top in full control looking to do damage. Big elbow from Zhang. Walker desperately trying to hold Zhang’s arms, but Walker gets separation and back to his feet. Huge for Walker. Fastball right hand from Walker misses, Zhang grazes with a counter and it stings Walker. Right hand by Zhang wobbles Walker for a moment, Walker recovers while grabbing a clinch. Walker slowing the pace down, which is smart because Zhang is hurting him every time he lands, and he hasn’t landed anything fully clean yet. Zhang separates, jumping knee attempt from Walker. Zhang stalking Walker, lands a short right hand. Walker shoots for a takedown, Zhang defends easily, then lands a big elbow. Combination from Zhang doesn’t land flush, but definitely stung Walker. Final 30 seconds. Head kick from Zhang sneaks through the guard, and that’s the horn. First time in seven years Zhang will see a second round. MMAFighting scores the round 10-9 Zhang Round 2 Walker’s coach Eric Nicksick was telling his fighter what he’s seeing, and of course, the broadcast cuts away because who wants to hear interesting insight from one of the best coaches in the sport, right? Action slowing a touch at the start of Round 2. Zhang lands, and lands again. Everything he touches Walker with wobbles him. It’s pretty wild. Walker throws a calf kick, Zhang counters with a nasty right hand, but Zhang’s leg just went out on him. Walker pouncing on him now. Zhang trying to get back to his feet, but he simply can’t. His leg is cooked. Walker continues hammering away and Goddard stops it. Crazy! Official Result: Johnny Walker def. Zhang Mingyang via TKO - Round 2, 2:37 Post-Fight: Walker says he’s beginning a real title run this time, and then calls out Jan Blachowicz.",2025-08-23,https://www.mmafighting.com/ufc/400525/ufc-shanghai-live-blog-johnny-walker-vs-zhang-mingyang
