title,text,publish_date,url
"Roman Dolidze vs. Anthony Hernandez, UFC Fight Night | MMA Bout | Tapology","Fighter Comparison | Dolidze | Hernandez | ||| | #12 MiddleW (Worldwide) | Ranking | #9 MiddleW (Worldwide) | || | 15-3-0 MMA | Pro Record | 14-2-0 MMA | || | 2025 2023 | Last 5 Fights | 2025 2022 | || | +260 (Moderate Underdog) | Betting Odds | -310 (Moderate Favorite) | || | | Nation | | || | Las Vegas Nevada | Fights out of | Dunnigan California | || | 37 +3 wks, 4 days | Age at Fight | 31 +9 mos, 3 wks, 1 day | || | 186.0 lbs (84.4 kgs) | Latest Weight | 186.0 lbs (84.4 kgs) | || | 6'2"" (188cm) | Height | 6'0"" (183cm) | || | 76.0"" (193cm) | Reach | 75.0"" (191cm) | || | Xtreme Couture | Gym | MMA Gold Fight Team | Dolidze vs. Hernandez Fight Predictions Fight Predictions Tapology Community Picks: 2,856 Bout Information Event Poster Fight Details - Event: UFC Fight Night: Dolidze vs. Hernandez - Date: Saturday 08.09.2025 at 04:00 PM ET - Referee: N/A - Venue: UFC Apex - Enclosure: Octagon - Location: Las Vegas, Nevada, United States - Bout Billing: Main Event (fight 12 of 12) - Pro/Am: Professional - Weight: 185 lbs (83.9 kg) - Event Links:",2025-05-08,https://www.tapology.com/fightcenter/bouts/999906-ufc-fight-night-roman-the-caucasian-dolidze-vs-anthony-fluffy-hernandez
UFC Fight Night: Dolidze vs. Hernandez,"""Fluffy"" | Roman Dolidze | Anthony Hernandez | | |---|---|---| | Tale of the tape | || | Wins/Losses/Draws | 15-3-0 | 14-2-0 (1 NC) | | Average Fight Time | 12:24 | 9:47 | | Height | 6' 2"" | 6' 0"" | | Weight | 185 lbs. | 185 lbs. | | Reach | 76"" | 75"" | | Stance | Orthodox | Orthodox | | DOB | Jul 15, 1988 | Oct 18, 1993 | | Striking (Significant Strikes) | || | Strikes Landed per Min. (SLpM) | 3.58 | 4.50 | | Striking Accuracy | 42% | 63% | | Strikes Absorbed per Min. (SApM) | 3.56 | 2.61 | | Defense | 49% | 46% | | Grappling | || | Takedowns Average/15 min. | 1.11 | 6.27 | | Takedown Accuracy | 40% | 45% | | Takedown Defense | 33% | 66% | | Submission Average/15 min. | 0.9 | 1.9 | | Most recent fights (Newest First) | || | Win - Vettori | Win - Allen | | | Win - Holland | Win - Pereira | | | Win - Smith | Win - Kopylov | | | Loss - Imavov | Win - Shahbazyan | | | Loss - Vettori | Win - Barriault |",No date found,http://ufcstats.com/fight-details/68fe62bac7fd8bb0
"UFC Vegas 109: Roman Dolidze vs. Anthony Hernandez Start Time, Full Fight Card and More","Before the middleweight title fight at UFC 319, fans are getting a solid dose of action this week. No. 9 Roman Dolidze is set to face No. 10 Anthony Hernandez in a key middleweight clash. In the co-main, Iasmin Lucindo goes up against veteran Angela Hill in a strawweight bout. Expect fireworks, this card’s got banger potential. The UFC is back with another event at the APEX facility in Las Vegas. UFC Vegas 109 goes down this Saturday, August 9. The prelims start at 4 PM ET (1 PM PT / 9 PM BST), and the main card kicks off at 7 PM ET (4 PM PT / 12 AM BST). In the U.S., fans can catch the whole event live on ESPN and ESPN+. Over in the UK, prelims will stream on UFC Fight Pass, and the main card will be available on TNT Sports. And since it’s not a PPV event, you won’t need anything more than a basic subscription to watch. The main event features two rising contenders, and honestly, it’s shaping up to be one of those fights you don’t wanna miss. UFC Vegas 109: Full Fight Card and More Main card - Middleweight: Roman Dolidze vs. Anthony Hernandez - Women’s Strawweight: Iasmin Lucindo vs. Angela Hill - Featherweight: Andre Fili vs. Christian Rodriguez - Bantamweight: Miles Johns vs. Jean Matsumoto - Middleweight: Eryk Anders vs. Christian Leroy Duncan Prelims Click on ‘Follow Us’ and get notified of the most viral MMA stories via Google! Follow Us - Light Heavyweight: Julius Walker vs. Raffael Cerqueira - Bantamweight: Elijah Smith vs. Toshiomi Kazama - Women’s Bantamweight: Joselyne Edwards vs. Priscila Cachoeira - Welterweight: Uros Medic vs. Gilbert Urbina - Women’s Flyweight: Gabriella Fernandes vs. Julija Stoliarenko Fans can also look forward to exciting names on the card, including Andre Fili, Christian Rodriguez, and Miles Johns. This one’s shaping up to be one of the most action-packed events in recent memory. Also Read: Dana White Drops Bombshell As UFC 320 Delivers Two Epic Title Fights",2025-08-06,https://www.totalprosports.com/mma/ufc-vegas-109-roman-dolidze-vs-anthony-hernandez-start-time-full-fight-card-and-more/
"Roman Dolidze vs. Anthony Hernandez prediction, odds, pick for UFC Vegas 109","UFC Vegas 109: Roman Dolidze versus Anthony Hernandez continues with the main event fight between Roman Dolidze and Anthony Hernandez in the middleweight division on Saturday. Check out our UFC odds series for our Dolidze-Hernandez prediction and pick. Roman Dolidze (5-3) enters this weekend’s matchup against Anthony Hernandez riding a three-fight winning streak, including a TKO over Kevin Holland and a recent decision win against former title challenger Marvin Vettori. Dolidze has combined precise striking with tough grappling to build momentum heading into UFC Vegas 109. Anthony Hernandez (14-2) enters this weekend’s UFC Vegas 109 matchup against Roman Dolidze off strong recent performances. He secured a unanimous decision win over Brendan Allen back in February and displayed finishing power with a fifth-round KO of Michel Pereira in October 2024. Hernandez aims to extend his winning streak and move closer to title contention with a victory this weekend. Here are the UFC Vegas 109 Odds, courtesy of DraftKings. UFC Vegas 109 odds: Roman Dolidze-Anthony Hernandez odds Roman Dolidze: +250 Anthony Hernandez: -310 Over 3.5 Rounds: -130 Under 3.5 Rounds: +100 *Watch sports LIVE with fuboTV (Get Access | Save $30)* Why Roman Dolidze will win - Last Fight: (W) Marvin Vettori – DEC - Last 5: 3-2 - Finishes: 11 (8 KO/TKO/3 SUB) Roman Dolidze holds significant advantages over Anthony Hernandez heading into UFC Vegas 109 that could lead to his victory. Dolidze’s combination of elite grappling and knockout power makes him a formidable threat. Though Hernandez favors submissions, Dolidze’s grappling defense and ability to land heavy strikes give him the edge in both domains. At 37 years old, Dolidze is in peak physical condition and boasts quickness on his feet, aided by a lean frame despite his 6’3” height. His recent performances, including a TKO win over Kevin Holland and outstriking Marvin Vettori with a striking volume nearly double Vettori's, highlight his durability and precision. While Dolidze’s takedown defense is not the strongest (around 33%), he has shown the ability to escape submissions and maintain control, preventing Hernandez from capitalizing on his submission skills. Hernandez is the betting favorite with a record of 14-2-1, known for his striking volume and submission threats. However, his striking power may not be enough to finish Dolidze, who has never been knocked out and endures lengthy, high-pressure fights. Dolidze’s balance of grappling and striking, combined with his stamina through five-round fights, suggests he can maintain pressure, capitalize on openings, and frustrate Hernandez. This tactical blend positions Roman Dolidze well to upset the odds and secure a decision or possibly a late finish at UFC Vegas 109. Why Anthony Hernandez will win - Last Fight: (W) Brendan Allen – DEC - Last 5: 5-0 - Finishes: 11 (3 KO/TKO/8 SUB) Anthony Hernandez holds key advantages over Roman Dolidze heading into UFC Vegas 109 that make him a strong contender for victory. Hernandez’s youth and physical prime at 31 years old contrast with Dolidze’s 37 years, giving Hernandez potential advantages in speed, stamina, and recovery through the fight. His height of 6'0″ and reach of 75 inches allow him to control distance and impose his striking effectively. Hernandez’s striking is precise and high-volume, averaging about 4.8 significant strikes per minute, which can maintain pressure and score consistently throughout the rounds. He is known for his finishing ability, evidenced by a fifth-round KO of Michel Pereira and a unanimous decision win over Brendan Allen in early 2025. His improved fight IQ and tactical growth help him capitalize on opponent mistakes, integrating well-rounded grappling with striking. Dolidze’s strengths lie in power and grappling, but Hernandez’s solid takedown defense and ability to avoid being controlled on the ground reduce Dolidze’s impact in that area. Hernandez’s experience with high-pressure fights and ability to sustain pace against tough opponents suggest he will outwork Dolidze in exchanges and manage the fight’s tempo. If Hernandez can maintain range, avoid Dolidze’s power shots, and mix striking with takedown threats, he is poised to secure a decision or late finish win at UFC Vegas 109. His momentum and skill evolution position him to overcome Dolidze’s pressure style in a compelling middleweight clash. Final Roman Dolidze-Anthony Hernandez prediction & pick Anthony Hernandez enters UFC Vegas 109 as the favorite against Roman Dolidze, riding an impressive seven-fight winning streak that includes a fifth-round KO of Michel Pereira and a unanimous decision over Brendan Allen. Hernandez’s well-rounded skill set, combining precise striking with solid grappling, makes him a formidable opponent in the middleweight division. Hernandez’s high striking volume and efficiency, averaging 4.5 significant strikes per minute while absorbing fewer than 3 per minute — enable him to maintain pressure and control the pace. His reach advantage and ability to mix striking with takedown threats allow him to keep opponents off balance. The fight may hinge on Hernandez’s ability to avoid Dolidze’s power shots and impose his volume striking and grappling. Ultimately, Hernandez’s youth, striking volume, and tactical maturity position him to outpoint Dolidze over five rounds, securing a decision win at UFC Vegas 109. Final Roman Dolidze-Anthony Hernandez Prediction & Pick: Anthony Hernandez (-310), Over 3.5 Rounds (-130)",2025-08-07,https://clutchpoints.com/betting/roman-dolidze-vs-anthony-hernandez-prediction-odds-pick-for-ufc-vegas-109
Anthony Hernandez isn’t complaining about taking ‘the hard way’ to UFC gold - ‘It is what it is’,"Title shot? “Fluffy” don’t care … UFC Vegas 109’s Anthony Hernandez isn’t complaining about taking ‘the hard way’ to UFC gold - ‘It is what it is’ No. 10-ranked Ultimate Fighting Championship (UFC) Middleweight contender, Anthony Hernandez, competes in his second UFC main event against No. 9-seeded Roman Dolidze this weekend (Sat., Aug. 9, 2025) at UFC Vegas 109, which goes down inside the UFC Apex in Las Vegas, Nevada. Riding a seven-fight win streak — tied for second-longest in UFC’s 185-pound division — Hernandez is closing in on title contention with his relentless domination of every opponent he’s faced. Still, he’s not chasing a title shot just yet. He just loves “hurting people” and believes he’ll have to fight everyone in the division eventually, anyway. “I’m taking it one fight at a time,” Hernandez told UFC.com during UFC Vegas 109 media day. “It’s go out there and make a statement, and the rest will iron itself out, like I said, the matchmakers have done a great job of leading me the way they’ve led me. It’s been the hard way, but f—k it. I’m not b—ching about it because why the f—k would I complain about it. “I’m going to fight all these f—kers regardless, so it is what it is,” Hernandez added. The 31-year-old sees a win over Dolidze as a major step forward, noting that recent victors over Dolidze have landed “Top 5” matchups afterward. Hernandez exudes confidence, but respects Dolidze’s threat, though he’s certain the Georgian will tire out like others before him. “He throws bombs and tries to knock you out but gets tired doing that, so that alone is f—king awesome,” Hernandez said. “His jiu-jitsu is very dangerous, but at the same time, it’s a small cage, so if I keep him in the cage and pressure, he shouldn’t be able to do jiu-jitsu. “I plan on making it violent … I’m coming to f—king hurt people,” Hernandez concluded. MIDDLEWEIGHT MAYHEM! Ultimate Fighting Championship (UFC) returns to its APEX facility in Las Vegas, Nevada, on Sat., Aug. 9, 2025, with UFC Vegas 109. That’s where No. 8-ranked Middleweight contender, Roman Dolidze, clashes with No. 10-seeded Anthony Hernandez in a high-stakes main event showdown scheduled for five, five-minute rounds. In UFC Vegas 109’s co-main event, former Flyweight title challenger, Steve Erceg, takes on Ode Osbourne, with both fighters looking to climb the 125-pound rankings. MMAmania.com will deliver LIVE round-by-round, blow-by-blow coverage of the entire UFC Vegas 109 fight card RIGHT HERE, starting with the ESPN/ESPN+ “Prelims” undercard bouts at 4 p.m. ET, followed by the remaining main card balance on ESPN/ESPN+ at 7 p.m. ET. To checkout the latest and greatest UFC Vegas 109 news and notes be sure to hit up our comprehensive event archive here.",2025-08-06,https://www.mmamania.com/ufc-news/313785/ufc-vegas-109s-anthony-hernandez-isnt-complaining-about-taking-the-hard-way-to-ufc-gold-it-is-what-it-is
"Roman Dolidze vs. Anthony Hernandez – Result, Fight Stats & Highlights","Roman Dolidze and Anthony Hernandez faced each other in the at UFC 302: Makhachev vs. Poirier, which took place on Saturday, June 1, 2024, inside the Prudential Center in Newark, New Jersey, USA. There were fights on the card. You can view UFC 302 results and fight bonuses. UFC 302 card gave fight fans all they could ask for. In the five-round main event, defeated in round by . Here is what happened in the fight — Both fighters threw over strikes combined in this fight, of the strikes were significant strikes. Significant strikes refer to all strikes but don’t include small, short strikes in the clinch and on the ground. There were takedown attempts between the two fighters. Let’s go through each fighter’s stats below. Roman Dolidze full fight stats Roman Dolidze landed of all his strikes. There were significant strikes to the head, body shots, and leg kicks. Roman Dolidze attempted takedowns and landed . Here are all the strikes Roman Dolidze threw and landed against Anthony Hernandez. Strikes Thrown | () | Significant Strikes | () | Head Strikes | | Body Strikes | | Leg Strikes | | Takedowns | The current UFC record over the most significant strikes landed in a single UFC bout is 290. Let’s take a look at how Anthony Hernandez did against Roman Dolidze. Anthony Hernandez full fight stats Anthony Hernandez was firing at a accuracy, throwing strikes and landing . There were significant strikes, landing to the head, shots to the body and leg kicks. Anthony Hernandez went for takedowns and landed . Strikes Thrown | () | Significant Strikes | () | Head Strikes | | Body Strikes | | Leg Strikes | | Takedowns | Roman Dolidze won by . The fight ended in round at . Results & Fight Totals Event | UFC 302 | Date | June 1, 2024 | Fight | Roman Dolidze vs. Anthony Hernandez | Winner | Roman Dolidze | Method | | Fight End | Round at | Total Strikes Thrown | | Significant Strikes Thrown | Did you know: Max Holloway holds a UFC record over the most significant strikes landed in a single UFC match at 290. He also holds a UFC record for the most significant strikes landed in one round at 134. He achieved both records against Brian Ortega during his successful featherweight title defense on December 8, 2018, at UFC 231 in Toronto, Ontario, Canada. View complete UFC 302 results and don’t miss all the UFC events coming up.",2024-06-02,https://www.mmascene.com/news/roman-dolidze-vs-anthony-hernandez-full-fight-stats-highlights/
Roman Dolidze vs Anthony Hernandez,"SB Nation Login Sign Up Home UFC Videos The MMA Hour Photos Schedule Fight Results News Store Sections Podcasts Results BKFC Video Booth Bellator Full Archive About Masthead Community Guidelines More SB Nation All 245 blogs 🔎 Search Search Videos Latest News UFC Vegas 109 Roman Dolidze vs Anthony Hernandez August 9, 2025 UFC APEX in Las Vegas Main Card (ESPN, ESPN+ at 7 p.m. ET), Preliminary Card (ESPN, ESPN+ at 4 p.m. ET) More Roman Dolidze vs. Anthony Hernandez News Date: August 9, 2025 Roman Dolidze Anthony Hernandez age height 205lbs weight 185lbs",2025-01-01,https://www.mmafighting.com/fight/15802/roman-dolidze-vs-anthony-hernandez
"Roman Dolidze Vs. Anthony ""Fluffy"" Hernandez - UFC Odds And Match Preview","Roman Dolidze vs. Anthony “Fluffy” Hernandez – UFC Odds and Match Preview Roman Dolidze vs. Anthony Hernandez represents a classic stylistic clash between a powerful, well-rounded striker grappler in Dolidze and an aggressive, submission-oriented grappler in Hernandez. Both fighters bring solid experience, making this a highly anticipated middleweight bout in the UFC calendar. The winner could make significant strides toward climbing the rankings and earning bigger fights in the near future. The fight between Roman Dolidze and Anthony Hernandez is scheduled for August 9, 2025. It will take place at the UFC Apex in Enterprise, Nevada, which is part of the Las Vegas Valley in the United States. The event is a UFC Fight Night, with the Dolidze vs. Hernandez middleweight bout headlining the card. Roman Dolidze vs. Anthony “Fluffy” Hernandez The betting odds for the upcoming UFC fight between Roman Dolidze and Anthony Hernandez currently favor Hernandez as the favorite. Hernandez’s moneyline odds are around -330 to -345, indicating a strong likelihood of winning according to sportsbooks. Meanwhile, Dolidze is viewed as the underdog with odds near +250 to +275. Check out more numbers to play with Fugaso games pokies. Over time, the odds have reflected Hernandez’s momentum as he comes in on a seven-fight UFC win streak and is known for his relentless grappling pace. Dolidze, although ranked slightly higher, faces a tough stylistic challenge and is seen as having an outside chance to upset Hernandez. In terms of predicted methods of victory, the consensus betting lines suggest Hernandez winning either by decision or submission. Bets combining Hernandez to win with the fight lasting more than 2.5 rounds offer good value, as his cardio and grappling pressure are likely to wear down Dolidze before a finish. For Dolidze, the best value bets are on a straight upset win at +250, with the chance of a knockout or a rare submission as his path to victory. However, most bettors and analysts foresee Hernandez controlling the bout, particularly in the later rounds, leveraging top position grappling. The stakes of this fight are high as both fighters are jockeying for better positioning in the middleweight division. A win could propel one of them closer to top contender status and potential title contention. Dolidze will likely leverage his explosive striking to keep Hernandez guessing, while Hernandez will aim to impose his grappling dominance and pace. Anthony Hernandez, ranked just behind Dolidze at #10 in the UFC middleweight rankings, is an American fighter who has an extensive background in Brazilian jiu-jitsu and wrestling and is known for his submission skills as well as his ground control. Hernandez has been competing professionally since 2014 and has earned multiple Performance of the Night awards. His style involves pressure fighting combined with high-level grappling and significant striking accuracy, often controlling opponents on the ground. Betting odds strongly favor Anthony Hernandez to win by decision or submission, supported by his streak, fighting style, and momentum. Roman Dolidze is the underdog with potential for an upset via knockout or submission, but faces an uphill battle against Hernandez’s grappling and endurance.",2025-08-07,https://www.lowkickmma.com/roman-dolidze-vs-anthony-fluffy-hernandez-ufc-odds-and-match-preview/
UFC Fight Night: Dolidze vs. Hernandez | MMA Event | Tapology,"- Date: Saturday 08.09.2025 at 04:00 PM ET - U.S. Broadcast: ESPN+ - Promotion: Ultimate Fighting Championship - Venue: UFC Apex - MMA Bouts: 12 Fight Card add_circle grid_view - Professional MMA ""The Caucasian"" Nickname ""Fluffy"" #12MiddleW (Worldwide)Ranking #9MiddleW (Worldwide)+260 (Moderate Underdog)Betting Odds -310 (Moderate Favorite)37 +3 wks, 4 daysAge at Fight 31 +9 mos, 3 wks, 1 day186.0 lbs (84.4 kgs)Latest Weight 186.0 lbs (84.4 kgs)6'2"" (188cm)Height 6'0"" (183cm)76.0"" (193cm)Reach 75.0"" (191cm) - manage_search 12-4Unranked#11 add_circlemanage_search 13-8UnrankedProfessional MMA ""AstroBoy"" Nickname ""The Jamaican Sensation"" #10FlyW (Worldwide)Ranking #37FlyW (Worldwide)-400 (Heavy Favorite)Betting Odds +300 (Moderate Underdog)30 +1 week, 6 daysAge at Fight 33 +7 mos125.0 lbs (56.7 kgs)Latest Weight 125.5 lbs (56.9 kgs)5'8"" (173cm)Height 5'7"" (171cm)68.5"" (174cm)Reach 73.0"" (185cm) - Professional MMA Nickname ""Overkill"" #8StrawW (Worldwide)Ranking #11StrawW (Worldwide)-185 (Slight Favorite)Betting Odds +155 (Slight Underdog)23 +7 mos, 1 dayAge at Fight 40 +6 mos, 4 wks115.5 lbs (52.4 kgs)Latest Weight 115.5 lbs (52.4 kgs)5'3"" (160cm)Height 5'3"" (160cm)66.0"" (168cm)Reach 64.5"" (164cm) - Professional MMA ""Touchy"" Nickname ""CeeRod"" #33FeatherW (Worldwide)Ranking #43FeatherW (Worldwide)+180 (Slight Underdog)Betting Odds -215 (Moderate Favorite)35 +1 month, 2 wks, 1 dayAge at Fight 27 +7 mos, 3 wks, 2 days145.0 lbs (65.8 kgs)Latest Weight 146.0 lbs (66.2 kgs)5'11"" (180cm)Height 5'7"" (170cm)74.0"" (188cm)Reach 71.5"" (182cm) - Professional MMA ""Chapo"" Nickname #78FeatherW (Worldwide)Ranking #27BantamW (Worldwide)+225 (Moderate Underdog)Betting Odds -285 (Moderate Favorite)31 +4 mos, 1 week, 3 daysAge at Fight 25 +11 mos146.0 lbs (66.2 kgs)Latest Weight 139.0 lbs (63.0 kgs)5'7"" (170cm)Height 5'6"" (168cm)66.0"" (168cm)Reach 68.5"" (174cm) - Professional MMA ""Ya Boi"" Nickname ""CLD"" #46MiddleW (Worldwide)Ranking #38MiddleW (Worldwide)+425 (Heavy Underdog)Betting Odds -575 (Heavy Favorite)38 +3 mos, 2 wks, 5 daysAge at Fight 30 +2 wks, 2 days193.0 lbs (87.5 kgs)Latest Weight 186.0 lbs (84.4 kgs)6'1"" (185cm)Height 6'2"" (188cm)75.0"" (191cm)Reach 79.0"" (201cm) - Professional MMA ""Juice Box"" Nickname #38Light HW (Worldwide)Ranking #69Light HW (Worldwide)-605 (Huge Favorite)Betting Odds +455 (Heavy Underdog)26 +3 wks, 3 daysAge at Fight 35 +4 mos, 3 wks, 4 days205.0 lbs (93.0 kgs)Latest Weight 204.0 lbs (92.5 kgs)6'4"" (193cm)Height 6'3"" (191cm)78.0"" (198cm)Reach 76.0"" (193cm) - Professional MMA ""Swift"" Nickname ""Silent Finisher"" #62BantamW (Worldwide)Ranking #84BantamW (Worldwide)-515 (Heavy Favorite)Betting Odds +370 (Moderate Underdog)22 +11 mos, 4 daysAge at Fight 28 +2 mos, 3 wks, 4 days135.5 lbs (61.5 kgs)Latest Weight 136.0 lbs (61.7 kgs)5'9"" (175cm)Height 5'7"" (170cm)71.0"" (180cm)Reach 69.0"" (175cm) - Professional MMA ""La Pantera"" Nickname ""Zombie Girl"" #10BantamW (Worldwide)Ranking #18BantamW (Worldwide)-250 (Moderate Favorite)Betting Odds +205 (Moderate Underdog)29 +10 mos, 1 week, 4 daysAge at Fight 36 +11 mos, 3 wks136.0 lbs (61.7 kgs)Latest Weight 135.0 lbs (61.2 kgs)5'8"" (173cm)Height 5'7"" (170cm)70.0"" (178cm)Reach 65.0"" (165cm) - Professional MMA ""The Doctor"" Nickname ""The RGV Bad Boy"" #56WelterW (Worldwide)Ranking #207WelterW (Worldwide)-350 (Moderate Favorite)Betting Odds +285 (Moderate Underdog)32 +3 mos, 2 wks, 1 dayAge at Fight 29 +4 mos, 4 days171.0 lbs (77.6 kgs)Latest Weight 171.0 lbs (77.6 kgs)6'1"" (185cm)Height 6'3"" (191cm)71.0"" (180cm)Reach 75.0"" (191cm) - Professional MMA ""Gabi"" Nickname #23FlyW (Worldwide)Ranking #35FlyW (Worldwide)-400 (Heavy Favorite)Betting Odds +310 (Moderate Underdog)31 +11 mos, 3 wks, 6 daysAge at Fight 32 +4 mos, 1 day126.0 lbs (57.2 kgs)Latest Weight 126.0 lbs (57.2 kgs)5'6"" (168cm)Height 5'7"" (170cm)66.0"" (168cm)Reach 69.0"" (175cm) - manage_search 11-6-1Unranked#1 add_circlemanage_search 9-3-1UnrankedProfessional MMA#51MiddleW (Worldwide) Ranking #131MiddleW (Worldwide)-155 (Slight Favorite)Betting Odds +130 (Slight Underdog)31 +2 mos, 3 wks, 3 daysAge at Fight 35 +3 mos186.0 lbs (84.4 kgs)Latest Weight 184.0 lbs (83.5 kgs)6'0"" (183cm)Height 6'0"" (183cm)72.0"" (183cm)Reach 77.0"" (196cm) Cancelled & Fizzled Bouts Additional Event Information Weigh-In Results Tapology does not have the official fighter weights for this event. Contact us if you have a source for this data. Event Discussion Event Production - U.S. Broadcast: ESPN+ - Promotion: Ultimate Fighting Championship - Ownership: Endeavor - Venue: UFC Apex - Location: Las Vegas, Nevada, United States - Enclosure: Octagon - Promotion Links: - Event Links: Tapology Predictions Tapology users can make predictions for MMA & Boxing fights. UFC Fight Night is still open for picks to be entered. Create an account to make your predictions. Below is the current breakdown of event predictions: Update / Claim Event Verify your connection to this event promotion in order to update the fight card and other details. Update / Claim Page",2025-05-08,https://www.tapology.com/fightcenter/events/127957-ufc-fight-night
Roman Dolidze vs. Anthony Hernandez: Bloody Elbow predictions suggest that 'Fluffy' will be too much for the Georgian,"The main event of UFC Vegas 109 is an exciting Middleweight clash, but one that the Bloody Elbow experts see as belonging to only one of the competitors. Two top ten Middleweight contenders face off in a bout that could have huge implications on the division, as Anthony Hernandez looks to add an eighth consecutive victory to his record. The fighter known as “Fluffy” will have to contend with Roman Dolidze, an impressive Georgian fighter who could be in a make-or-break situation in regards to his chances of being a top Middleweight fighter. The Bloody Elbow staff has made their predictions about what will happen in the main event of UFC Vegas 109 between Dolidze and Hernandez. - READ MORE – UFC Vegas 109 Full fight card as Roman Dolidze battles Anthony Hernandez in the Middleweight main event Roman Dolidze vs. Anthony Hernandez predictions Kye Dimond: “‘Fluffy’ Hernandez is just a nightmare in this division because of his gas tank. I can’t see Roman Dolidze putting him away early, so I’m expecting another middleweight Merab performance.” PREDICTION: ANTHONY HERNANDEZ VIA DECISION Ross Markey: “It seems like Anthony Hernandez is riding an almost unstoppable streak at the moment, regardless of who he is matched up with. And whether it’s against similar styles to his own or dynamic strikers, ‘Fluffy’ seems to prevail regardless. “Against Roman Dolidze, I’m picking Hernandez to endure an early onslaught from the Georgian en route to a late stoppage deep into their headliner.” PREDICTION: ANTHONY HERNANDEZ VIA STOPPAGE Hamish Woodward: Anthony Hernandez’s winning streak doesn’t look like it will come to an end at UFC Vegas 109, despite what should be a tough opponent in Roman Dolidze. His seven wins on the bounce must make him the favorite, especially against some impressive fighters like Roman Kopylov and Brendan Allen. He is a strong finisher who likes to put away fighters in the later rounds, and this bout should be no different. Expect a late finish win for Fluffy to move ever closer to a title fight in the future. PREDICTION: ANTHONY HERNANDEZ VIA STOPPAGE",2025-08-06,https://bloodyelbow.com/2025/08/06/roman-dolidze-vs-anthony-hernandez-bloody-elbow-predictions-suggest-that-fluffy-will-be-too-much-for-the-georgian/
