"id";"name";"nickname";"dob";"age";"height";"weight";"reach";"stance";"winstreak";"wins";"losses";"draws";"belt";"SLpM";"Str_Acc";"SApM";"Str_Def";"TD_Avg";"TD_Acc";"TD_Def";"Sub_Avg"
7;"Shamil Abdurakhimov";"Abrek";"Sep 02, 1981";43;"6' 3""";235;76.0;"Orthodox";0;20;8;0;0;2.41;44;3.02;55;1.01;23;45;0.1
9;"Papy Abedi";"Makambo";"Jun 30, 1978";46;"5' 11""";185;0.0;"Southpaw";0;10;4;0;0;2.8;55;3.15;48;3.47;57;50;1.3
10;"Ricardo Abreu";"Demente";"Apr 27, 1984";41;"5' 11""";185;0.0;"Orthodox";0;5;1;0;0;3.79;31;3.98;68;2.13;42;100;0.7
18;"Israel Adesanya";"The Last Stylebender";"Jul 22, 1989";35;"6' 4""";185;80.0;"Switch";0;24;5;0;0;4.02;48;3.2;55;0.05;11;76;0.1
20;"Mohamed Ado";"";"May 03, 2000";25;"5' 11""";170;76.0;"Switch";0;5;1;0;0;1.66;83;0.33;75;4.97;50;50;5.0
22;"Mariya Agapova";"Money Mashka";"Apr 07, 1997";28;"5' 6""";125;68.0;"Southpaw";0;10;5;0;0;4.43;54;3.62;52;0.55;66;45;0.8
25;"Jessica Aguilar";"Jag";"May 08, 1982";43;"5' 3""";115;63.0;"Orthodox";0;20;8;0;0;4.93;50;7.19;53;0.94;25;50;0.2
27;"Jesus Aguilar";"";"Mar 13, 1996";29;"5' 4""";125;62.0;"Orthodox";0;11;3;0;0;1.73;45;1.1;59;1.83;35;40;1.8
29;"Nick Aguirre";"Slick";"Jan 15, 1996";29;"5' 9""";135;74.0;"Southpaw";0;7;2;0;0;0.73;33;2.89;45;1.16;20;33;0.6
33;"Omari Akhmedov";"Wolverine";"Oct 12, 1987";37;"6' 0""";185;73.0;"Orthodox";0;21;6;1;0;2.97;34;2.84;55;2.58;45;65;0.2
34;"Yoshihiro Akiyama";"";"Jul 29, 1975";49;"5' 10""";170;75.0;"Orthodox";0;14;6;0;0;3.1;41;3.62;57;2.29;67;92;1.0
41;"Amir Albazi";"The Prince";"Oct 27, 1993";31;"5' 5""";125;68.0;"Orthodox";0;17;2;0;0;2.72;34;3.71;61;1.39;32;50;0.5
43;"Aleksandra Albu";"Stitch";"Jul 14, 1990";34;"5' 2""";115;63.0;"Orthodox";0;3;2;0;0;4.83;47;5.56;38;2.27;50;77;0.4
44;"Iuri Alcantara";"Marajo";"Aug 04, 1980";44;"5' 9""";135;71.0;"Southpaw";0;35;10;0;0;2.72;45;2.79;49;1.44;62;60;0.8
45;"Ildemar Alcantara";"Marajo";"Nov 18, 1982";42;"6' 2""";185;78.0;"Orthodox";0;21;11;0;0;1.93;38;2.63;50;2.0;68;81;0.9
48;"Irene Aldana";"";"Mar 26, 1988";37;"5' 9""";135;68.0;"Orthodox";0;15;8;0;0;5.19;39;6.64;56;0.15;50;77;0.2
51;"Jose Aldo";"";"Sep 09, 1986";38;"5' 7""";135;70.0;"Orthodox";0;32;10;0;0;3.65;46;3.81;60;0.47;51;92;0.1
53;"Irina Alekseeva";"Russian Ronda";"Jun 27, 1990";34;"5' 8""";135;67.0;"Orthodox";0;5;2;0;0;3.84;43;3.55;48;0.87;20;100;0.9
54;"Talita Alencar";"Problem Child";"Oct 17, 1990";34;"5' 1""";115;58.0;"Orthodox";1;6;1;1;0;2.62;33;3.77;53;2.5;20;50;0.2
55;"Jim Alers";"The Beast";"Oct 14, 1986";38;"5' 9""";145;71.0;"Orthodox";0;13;3;0;0;2.9;40;4.38;56;2.26;41;80;0.3
56;"John Alessio";"The Natural";"Jul 05, 1979";45;"5' 10""";155;72.0;"Orthodox";0;35;17;0;0;2.1;39;2.91;54;1.85;38;70;1.2
60;"Marcio Alexandre Junior";"Lyoto";"May 05, 1989";36;"6' 0""";185;75.0;"Southpaw";1;17;4;0;0;1.61;45;2.89;42;0.35;20;66;0.7
61;"Olaf Alfonso";"";"Aug 06, 1974";50;"6' 2""";170;0.0;"Orthodox";0;8;12;0;0;1.65;38;4.77;53;0.37;7;22;0.7
63;"Bill Algeo";"Senor Perfecto";"Jun 09, 1989";35;"6' 0""";145;73.0;"Switch";0;18;9;0;0;5.88;51;4.38;47;1.03;50;55;0.1
67;"Ikram Aliskerov";"";"Dec 07, 1992";32;"6' 0""";185;76.0;"Southpaw";1;16;2;0;0;7.76;62;5.78;41;1.14;33;100;1.1
69;"John Allan";"";"Feb 22, 1993";32;"6' 1""";205;75.0;"Orthodox";0;13;7;0;0;3.56;42;5.74;52;1.4;71;50;0.8
71;"Arnold Allen";"Almighty";"Jan 22, 1994";31;"5' 8""";145;70.0;"Southpaw";1;20;3;0;0;3.45;41;2.88;61;0.93;47;75;0.3
72;"Brendan Allen";"All In";"Dec 28, 1995";29;"6' 2""";185;75.0;"Orthodox";0;24;7;0;0;3.55;53;3.67;45;1.53;38;56;1.3
75;"Asu Almabayev";"Zulfikar";"Jan 25, 1994";31;"5' 4""";125;65.0;"Orthodox";0;21;3;0;0;2.32;54;1.76;53;4.13;42;66;1.4
78;"Ricardo Almeida";"Big Dog";"Nov 29, 1976";48;"6' 0""";170;74.0;"Orthodox";0;13;5;0;0;2.02;49;1.2;61;3.74;38;31;1.2
83;"Jailton Almeida";"Malhadinho";"Jun 26, 1991";33;"6' 3""";205;79.0;"Orthodox";2;22;3;0;0;2.62;65;0.89;41;6.58;60;60;2.4
86;"Sarah Alpar";"Too Sweet";"Jun 01, 1991";33;"5' 4""";135;63.0;"Southpaw";0;9;6;0;0;2.36;44;6.06;38;1.61;26;20;0.4
87;"Ali AlQaisi";"The Royal Fighter";"Sep 23, 1990";34;"5' 6""";135;68.0;"Orthodox";0;8;5;0;0;2.43;42;1.97;56;3.5;29;60;1.0
91;"Eddie Alvarez";"";"Jan 11, 1984";41;"5' 9""";155;69.0;"Orthodox";0;29;6;0;0;4.32;41;4.39;55;2.92;36;92;0.5
94;"Thiago Alves";"Pitbull";"Oct 03, 1983";41;"5' 9""";170;70.0;"Orthodox";0;23;15;0;0;3.73;41;3.42;62;0.71;60;63;0.3
96;"Warlley Alves";"";"Jan 04, 1991";34;"5' 11""";185;72.0;"Orthodox";0;15;8;0;0;3.04;48;3.95;50;1.22;50;62;0.8
97;"Rafael Alves";"The Turn";"Nov 14, 1990";34;"5' 8""";155;68.0;"Orthodox";0;20;12;0;0;1.85;48;3.3;58;0.29;25;44;1.5
98;"Sam Alvey";"Smile'N";"May 06, 1986";39;"6' 2""";185;75.0;"Southpaw";0;33;18;1;0;3.28;44;3.63;52;0.06;14;82;0.1
102;"Jimmy Ambriz";"The Titan";"Jan 26, 1970";55;"6' 2""";315;0.0;"Southpaw";0;17;21;1;0;0.83;29;3.76;40;3.13;57;100;0.8
105;"Makwan Amirkhani";"Mr. Finland";"Nov 08, 1988";36;"5' 10""";145;72.0;"Southpaw";0;17;9;0;0;1.33;44;2.98;46;3.96;43;35;1.1
108;"Eryk Anders";"Ya Boi";"Apr 21, 1987";38;"6' 1""";185;75.0;"Southpaw";2;17;8;0;0;3.54;48;4.05;50;1.71;24;80;0.1
113;"Megan Anderson";"";"Feb 11, 1990";35;"6' 0""";145;72.0;"Orthodox";0;11;5;0;0;1.76;46;3.35;37;0.52;25;53;0.5
117;"Jessica Andrade";"Bate Estaca";"Sep 25, 1991";33;"5' 1""";125;62.0;"Orthodox";0;26;14;0;0;6.39;50;5.49;54;2.21;54;71;0.3
118;"Viscardi Andrade";"";"Mar 08, 1984";41;"5' 11""";170;75.0;"Orthodox";2;19;6;0;0;3.26;42;2.77;63;1.93;50;66;0.3
121;"Dylan Andrews";"The Villain";"Nov 15, 1979";45;"6' 1""";185;74.0;"Switch";0;18;7;0;0;2.21;50;2.72;46;2.83;50;57;0.4
124;"Julius Anglickas";"";"Jul 23, 1991";33;"6' 3""";205;0.0;"Orthodox";1;5;1;0;0;4.62;78;1.86;50;4.47;50;60;1.1
125;"Chad Anheliger";"The Monster";"Dec 01, 1986";38;"5' 6""";135;64.0;"Orthodox";0;13;8;0;0;3.11;46;2.76;53;0.68;30;38;0.5
134;"Shinya Aoki";"Tobikan Judan";"May 09, 1983";42;"5' 11""";154;0.0;"Southpaw";8;39;7;0;0;0.97;58;1.25;58;2.54;41;60;4.0
